TCGA-BL-A13J	TCGA-BT-A20P	TCGA-BT-A20Q	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-C4-A0F7	TCGA-CF-A27C	TCGA-CF-A3MF	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A1AG	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0566718	0.0496622	0.0407551	0.0329531	0.0474804	0.0386802	0.0344185	0.0704091	0.0385441	0.0689189	0.0362799	0.0432744	0.0694805	0.0557507	0.0342516	0.0842054	0.0494856	0.0393356	0.0602877
0.035377	0.0253378	0.0188779	0.0159133	0.0367301	0.0202447	0.0154098	0.0466223	0.018403	0.0472973	0.0162555	0.0219175	0.0581169	0.0422886	0.0166157	0.0749574	0.034232	0.0211807	0.0407594
0.00738451	0.0035473	0.00405787	0.00408393	0.00716685	0.00387664	0.0024865	0.00951475	0.004703	0.0135135	0.00296939	0.00423059	0.011039	0.0086333	0.00306078	0.0114383	0.00815892	0.00654563	0.00757219
0.0563284	0.0363176	0.0314044	0.0207952	0.0597984	0.0267919	0.0202846	0.0666032	0.0246396	0.137838	0.0225369	0.03517	0.0590909	0.0481416	0.025798	0.100754	0.063143	0.0328517	0.046194
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.150953	0.220101	0.142908	0.154344	0.141769	0.152826	0.200752	0.126546	0.170637	0.0256757	0.182656	0.187318	0.11526	0.137548	0.182772	0.101485	0.149166	0.163703	0.160828
0.0376095	0.0445946	0.0359915	0.0324837	0.0421053	0.0355789	0.0444299	0.0444022	0.0352725	0.0162162	0.0373078	0.0415923	0.0295455	0.0370208	0.0393529	0.0362619	0.0391983	0.0371125	0.0435491
0.00807144	0.00945946	0.00511644	0.0059616	0.00806271	0.00465196	0.00902994	0.00919759	0.0105306	0.00810811	0.00609106	0.00846119	0.00551948	0.00936494	0.00757907	0.00754441	0.0147215	0.0120415	0.0107242
0.20814	0.259291	0.202188	0.195465	0.182531	0.200379	0.234091	0.177291	0.222677	0.0554054	0.218936	0.212345	0.16039	0.1952	0.233056	0.126308	0.175062	0.213845	0.217456
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.193371	0.171622	0.271877	0.290757	0.2	0.26611	0.256012	0.195052	0.249259	0.171622	0.261916	0.242163	0.216558	0.23705	0.251275	0.156242	0.20752	0.248425	0.220427
0.0738451	0.0429054	0.0636909	0.0653429	0.0665174	0.0600448	0.0472109	0.0675547	0.0558225	0.0891892	0.0526877	0.0581069	0.0798701	0.0589699	0.0543653	0.102945	0.0665129	0.0557614	0.051701
0.0461961	0.0464527	0.0499294	0.0332817	0.0734602	0.0583218	0.0277114	0.0688233	0.0338411	0.239189	0.0315593	0.028187	0.0477273	0.0399473	0.0374581	0.0515941	0.0606598	0.0375448	0.0287671
0.126052	0.0907095	0.133204	0.148618	0.134378	0.132495	0.108163	0.117983	0.135671	0.127027	0.130806	0.117233	0.147403	0.130085	0.114415	0.146264	0.132139	0.131654	0.111735
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
