TCGA-BT-A3PJ	TCGA-DK-A1A7	TCGA-FD-A3N5	TCGA-FT-A3EE
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.0328547	0.0684054	0.0807775	0.0553279
0.0168534	0.0523908	0.0789057	0.0366291
0.00268266	0.00754976	0.0102232	0.00640369
0.0220925	0.0732098	0.0814975	0.0471311
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.133281	0.0848776	0.0921526	0.120133
0.0295092	0.0471288	0.0455004	0.0348361
0.00719583	0.0283688	0.0136789	0.00461066
0.15894	0.100206	0.0935925	0.130123
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.316396	0.21208	0.174226	0.264857
0.0694335	0.10501	0.104104	0.0858094
0.0394824	0.0754976	0.0416127	0.0558402
0.17128	0.145276	0.183729	0.158299
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
