TCGA-BL-A13J	TCGA-BT-A20P	TCGA-BT-A20Q	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-C4-A0F7	TCGA-CF-A27C	TCGA-CF-A3MF	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A1AG	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
0.020463	0.01473	0.0209143	0.0161113	0.0229045	0.0158076	0.020748	0.0267979	0.0202252	0.0211911	0.0145631	0.0183605	0.0159925	0.0351215	0.0204082	0.0341099	0.0258279	0.0220772	0.0273093
0.0117817	0.00841711	0.01464	0.0104073	0.0179094	0.0106529	0.0111008	0.0225587	0.0137899	0.0168067	0.00958427	0.0116369	0.013902	0.0182276	0.0171688	0.0289033	0.0127861	0.0126156	0.0160968
0.00392724	0.0025719	0.00268898	0.00490343	0.00231481	0.00274914	0.00237875	0.00242241	0.00344748	0.00365364	0.00547672	0.00459012	0.00459914	0.00222288	0.00259151	0.00347106	0.00255722	0.00413268	0.00451571
0.0126085	0.00911854	0.0095608	0.0107075	0.0177875	0.00733104	0.0101758	0.0178653	0.00988279	0.012057	0.00672143	0.0116369	0.00982544	0.0183758	0.0100421	0.0184901	0.0154712	0.0140294	0.0188001
0.0206697	0.0187047	0.0128473	0.0180126	0.0176657	0.0161512	0.0211444	0.0204391	0.0222937	0.0135185	0.0174259	0.022692	0.0229957	0.023118	0.0174927	0.0228957	0.0263393	0.0231648	0.032808
0.0148822	0.0133271	0.0134449	0.0134094	0.0142544	0.0152348	0.0174442	0.0140802	0.0202252	0.0135185	0.0112024	0.0141583	0.0181875	0.0143746	0.00421121	0.0200921	0.0112518	0.018162	0.0255276
0.00475403	0.00327332	0.00209143	0.00570399	0.00194932	0.00469645	0.00422889	0.00302801	0.00459664	0.00109609	0.00547672	0.00459012	0.00553988	0.00414938	0.0016197	0.00387157	0.00332438	0.00554649	0.00595951
0.0149855	0.00958616	0.0113535	0.0126088	0.017422	0.0130584	0.0142725	0.0152914	0.0167778	0.016076	0.0115758	0.0180372	0.0175604	0.0191168	0.0126336	0.0196916	0.0173891	0.0171833	0.0271864
0.0140554	0.0114566	0.0182253	0.0105074	0.0147417	0.016953	0.0125545	0.0145344	0.0121811	0.0204604	0.0138163	0.0182312	0.011916	0.0204505	0.0152251	0.0252987	0.0374632	0.0163132	0.0158818
0.00795783	0.00771569	0.00926203	0.00810567	0.00999025	0.00882016	0.0104401	0.00968963	0.0110319	0.00840336	0.00784167	0.0100207	0.0102435	0.0158566	0.0126336	0.0217609	0.0127861	0.0114192	0.0126256
0.00403059	0.0025719	0.0035853	0.00490343	0.00182749	0.00412371	0.00198229	0.00317941	0.00528614	0.00219218	0.00311177	0.00349108	0.00491272	0.00355661	0.00323939	0.00507309	0.00281294	0.00369766	0.00310263
0.0108516	0.00771569	0.0128473	0.00850595	0.0137671	0.0104238	0.00885424	0.0109008	0.00896346	0.0116916	0.0118247	0.0131239	0.00825755	0.0160047	0.01069	0.0259662	0.019307	0.0105492	0.0118883
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
