pooled_low_WT	TCGA-BL-A13J	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-CF-A27C	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
0.0101663	0.012775	0.00514443	0.0148347	0.00678533	0.00411728	0.006227	0.00341088	0.00809417	0.0120977	0.0174496	0.0267679	0.0150085	0.00799559	0.0147787
0.0078547	0.00735531	0.00332311	0.0115995	0.00457272	0.00220287	0.00424568	0.00224477	0.00513011	0.0105163	0.0090561	0.022682	0.00742997	0.00456891	0.00871098
0.00127374	0.00245177	0.0015657	0.00149925	0.00118006	0.000472044	0.00106142	0.00128272	0.00202354	0.00347909	0.0011044	0.00272394	0.00148599	0.00149671	0.00244373
0.00596768	0.00787148	0.00341897	0.0115206	0.00314682	0.0020193	0.00304274	0.00157425	0.00513011	0.00743259	0.00912973	0.0145102	0.00899027	0.00508094	0.0101739
0.0082321	0.0129041	0.00575153	0.0114416	0.00693284	0.00419595	0.00686386	0.00408139	0.0100037	0.0173954	0.0114858	0.0179675	0.0153057	0.00838946	0.0177544
0.00577898	0.00929092	0.0042817	0.00923223	0.00653948	0.00346166	0.006227	0.00262375	0.00624163	0.0137582	0.00714181	0.0157674	0.00653838	0.00657765	0.0138145
0.0011558	0.00296793	0.00182132	0.00126253	0.00201593	0.00083919	0.00141523	0.00128272	0.00202354	0.00419072	0.00206155	0.00303824	0.00193179	0.00200874	0.00322506
0.00620356	0.00935544	0.00402607	0.0112838	0.00560527	0.00283227	0.00516558	0.00271121	0.00795166	0.0132838	0.00949786	0.0154531	0.0101048	0.00622317	0.0147122
0.0072886	0.00877476	0.00335506	0.00954786	0.00727702	0.00249135	0.00375035	0.00323596	0.00803716	0.009014	0.0101605	0.0198533	0.0217698	0.00590807	0.00859461
0.00448166	0.00496806	0.00258819	0.00647045	0.00378602	0.00207175	0.00339655	0.00183663	0.00441759	0.00774887	0.00787807	0.017077	0.00742997	0.00413565	0.00683246
0.00141526	0.00251629	0.0015657	0.00118362	0.00177009	0.00039337	0.00162751	0.00072882	0.00153903	0.0037163	0.00176704	0.00398114	0.00163459	0.00133916	0.00167902
0.00502418	0.00677463	0.002716	0.00891659	0.00447438	0.00175705	0.00275969	0.00276952	0.00578562	0.00624654	0.0079517	0.0203772	0.0112193	0.00382055	0.00643349
0.0243661	0.0212917	0.022431	0.0167285	0.0220769	0.0275884	0.026677	0.0277826	0.024197	0.016921	0.0280518	0.0181247	0.0207296	0.0250896	0.0276623
0.013044	0.0132912	0.0108321	0.0129409	0.0115547	0.0123518	0.0127371	0.0124483	0.0122553	0.0141536	0.0212782	0.0161341	0.0143398	0.0135098	0.018702
0.00247671	0.00277437	0.00277991	0.00252505	0.00221261	0.00199308	0.00325502	0.00227392	0.00236555	0.00268838	0.00434398	0.00246202	0.00341779	0.00417504	0.00347442
0.0208043	0.0211627	0.0141552	0.0210684	0.0152916	0.0162593	0.0170535	0.0172585	0.0196654	0.0143908	0.0242232	0.0216867	0.0264507	0.020954	0.0211956
0.00436372	0.00535518	0.00303553	0.00765407	0.00358934	0.00364523	0.00318426	0.0031485	0.0047311	0.00363723	0.00721543	0.00670508	0.00638978	0.00378117	0.0069987
0.00264182	0.00238725	0.00137398	0.00473447	0.00167175	0.00125879	0.00148599	0.00125357	0.00182404	0.00260931	0.00331321	0.00555265	0.00364069	0.0015361	0.00319181
0.000707631	0.00116137	0.000351483	0.00142034	0.000835874	0.000340921	0.000424568	0.000495598	0.000940519	0.00110698	0.000589015	0.00130959	0.00156029	0.000787743	0.00121355
0.00535441	0.00658107	0.00290772	0.00773298	0.00339266	0.00367146	0.00290122	0.0031485	0.0047596	0.00490235	0.00647916	0.00550026	0.00586968	0.00342668	0.0071317
0.00342021	0.00432286	0.00357873	0.00552355	0.00299931	0.00458932	0.00332579	0.00326512	0.00356257	0.0029256	0.00419673	0.00717653	0.00482948	0.00334791	0.00606776
0.00235877	0.00290341	0.00153374	0.00433994	0.00172092	0.00104899	0.00198132	0.00102035	0.00228005	0.00411165	0.00360772	0.00508119	0.00371499	0.0018512	0.00370715
0.000967095	0.00193561	0.000702965	0.00149925	0.00137673	0.00039337	0.000849137	0.000699668	0.00111152	0.00205582	0.00176704	0.00120482	0.00163459	0.00118161	0.00221099
0.00540158	0.00554875	0.00424974	0.00733844	0.00481857	0.00487779	0.00580243	0.00384817	0.0050446	0.00545584	0.00552201	0.00754322	0.00549818	0.00484462	0.0070652
0.00224083	0.00258081	0.00140593	0.00331413	0.00181925	0.00136368	0.00148599	0.00137018	0.00176704	0.00253024	0.00176704	0.00764798	0.00304629	0.00137855	0.00372378
0.00181625	0.00245177	0.00124617	0.00355086	0.00118006	0.00112766	0.000707614	0.00102035	0.00190954	0.00181861	0.00287145	0.00450498	0.00185749	0.00133916	0.0029092
0.000518929	0.00109684	0.000383436	0.000867987	0.000639198	0.000183573	0.000919898	0.000466445	0.000741015	0.000711631	0.000736269	0.00136197	0.000817297	0.000472646	0.00091432
0.00285411	0.00303245	0.00185327	0.00378758	0.00211427	0.00209798	0.00155675	0.00192409	0.00279306	0.00229303	0.0038286	0.00460974	0.00378929	0.00220568	0.00435549
0.0892794	0.0567133	0.105061	0.0499487	0.0872259	0.160915	0.118101	0.139875	0.10474	0.0280699	0.0692092	0.0218439	0.0624861	0.104415	0.0737939
0.020993	0.0141299	0.0221115	0.0148347	0.0203068	0.0356131	0.0244127	0.0285698	0.0232565	0.00719538	0.0186276	0.00780513	0.0164202	0.0236717	0.019982
0.00405708	0.00303245	0.00405803	0.00284068	0.00265513	0.00723802	0.00728842	0.00466445	0.0047311	0.00134419	0.00471212	0.00162389	0.00616688	0.00768049	0.0049207
0.115108	0.0781986	0.133052	0.06431	0.114367	0.187638	0.154118	0.167658	0.118733	0.0390606	0.0982182	0.027187	0.0733338	0.136398	0.0997772
0.0117703	0.0163882	0.0119504	0.0138878	0.0122923	0.00595301	0.0102604	0.00790041	0.0138798	0.0189768	0.0133265	0.0194343	0.0161973	0.0104376	0.0110217
0.00627432	0.00812956	0.00520833	0.00915332	0.0049169	0.00291094	0.00417492	0.00428546	0.00678314	0.0117815	0.00728906	0.0150864	0.00720707	0.00484462	0.00515344
0.0320793	0.0198077	0.00987347	0.035982	0.0467598	0.00896885	0.0135154	0.00897907	0.0112862	0.0170001	0.0156089	0.0178628	0.027268	0.00992556	0.00413938
0.0084208	0.0129686	0.0065184	0.0133354	0.00609696	0.00367146	0.00601472	0.00559734	0.00837917	0.0131256	0.011044	0.0179675	0.0106992	0.00744417	0.00716494
0.0133506	0.0209046	0.0188203	0.0155449	0.0151932	0.0112766	0.0155675	0.0134394	0.0234275	0.0309164	0.0157561	0.0164484	0.0159001	0.0156761	0.012468
0.0109211	0.0186464	0.0126853	0.0108893	0.00870292	0.00618903	0.00834984	0.0077255	0.0144498	0.0284652	0.0123693	0.0192771	0.012631	0.00937414	0.00758054
0.0221488	0.015743	0.00859535	0.0275389	0.041007	0.0081821	0.0104019	0.00795872	0.0110867	0.0173954	0.0113385	0.0135673	0.0230329	0.0085864	0.00488746
0.0148131	0.0234209	0.0180534	0.0151503	0.014554	0.00676597	0.0144353	0.012973	0.0199219	0.037163	0.0146517	0.0219487	0.0152314	0.013943	0.012734
0.00993042	0.0101942	0.00824387	0.0135722	0.00806372	0.00694954	0.00863289	0.00655938	0.00860718	0.0120187	0.0118539	0.0237297	0.0122595	0.00771988	0.00844499
0.00983607	0.0103878	0.00562372	0.0104948	0.00717868	0.00579566	0.00679309	0.00483937	0.00627013	0.0113861	0.00971875	0.0197486	0.0112193	0.00728662	0.00613426
0.0288477	0.0162591	0.00757285	0.0346406	0.0330416	0.00991293	0.010968	0.00647193	0.0095477	0.0128094	0.0134737	0.0160817	0.0255591	0.00807436	0.00375702
0.0123835	0.0122589	0.00587935	0.0124675	0.00801455	0.00542851	0.0071469	0.00655938	0.00661214	0.0148652	0.00942424	0.0279728	0.0127053	0.00771988	0.00704858
0.118481	0.0726498	0.197917	0.0704648	0.151883	0.205208	0.172516	0.200571	0.135406	0.0527398	0.119276	0.0336302	0.0869307	0.158454	0.10114
