Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_Mutant	994	1032	1009	1099	1109	1023.72	1030.2	1032.64	1023.14	1038.79	0.970968624233189	1.00174723354688	0.977107220328478	1.07414430087769	1.06758825171594
pooled_low_WT	3505	3597	3784	3631	3466	3526.56	3521.67	3538.46	3548.33	3550.53	0.993886393539313	1.02139041988602	1.06939176930077	1.02329828398148	0.976192286785353
TCGA-BT-A20T	1394	1471	1460	1530	1502	1436.21	1436.14	1436.81	1440.38	1436.81	0.970610147541098	1.02427339952929	1.01613992107516	1.06221969202572	1.04537134346225
TCGA-BT-A2LA	781	821	824	847	791	781.68	781.95	783.77	782.8	788.11	0.999130078804626	1.04993925442803	1.05132883371397	1.08201328564129	1.00366700079938
TCGA-BT-A3PH	2094	2129	2124	2202	2271	2064.47	2067.46	2062.44	2067.71	2065.28	1.01430391335306	1.02976599305428	1.02984814103683	1.0649462448796	1.09960876975519
TCGA-BT-A3PJ	2154	2141	2296	2242	2212	2128.35	2142.94	2142.05	2141.85	2144.03	1.01205158925929	0.999094701671535	1.07187040451904	1.04675864322898	1.03170198178197
TCGA-CF-A27C	645	687	668	684	697	658.82	657.22	664.04	659.71	664.74	0.979023101909474	1.04531207206111	1.00596349617493	1.03681920844007	1.04853025242952
TCGA-DK-A1A5	1755	1917	1942	1775	1816	1778.35	1776.55	1771.52	1780.24	1772.97	0.986869851266624	1.0790577242408	1.09623374277457	0.997056576641352	1.02427001020886
TCGA-DK-A1A6	1282	1415	1287	1338	1365	1319.89	1326.12	1326.46	1327.82	1328.17	0.971293062300646	1.06702259222393	0.97025164724153	1.00766670181199	1.0277298839757
TCGA-GD-A2C5	1104	1137	1090	1117	1141	1089.19	1092.02	1098.61	1095.28	1094.16	1.01359726034943	1.04118972179997	0.99216282393206	1.01983054561391	1.04280909556189
TCGA-H4-A2HQ	1875	1932	1928	1906	1916	1868.8	1861.32	1871.11	1862.53	1871.79	1.0033176369863	1.03797305138289	1.03040441235416	1.02333922138167	1.02361910257027
