Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	2819	2938	3065	2930	2804	2877.76	2856.48	2865.03	2864.09	2906.07	0.979581341043033	1.02853862096006	1.06979682586221	1.02301254499684	0.964876964422743
TCGA-BL-A13J	1129	1109	1116	1080	976	1053.65	1044	1048	1047.72	1059.59	1.07151331087173	1.06226053639847	1.06488549618321	1.03080975833238	0.921110995762512
TCGA-BT-A20T	2100	2196	2165	2151	2085	2115.97	2110.38	2113.45	2114.23	2123.02	0.99245263401655	1.04057089244591	1.02439139795122	1.01739167451034	0.982091548831382
TCGA-BT-A20V	799	866	825	773	741	854.38	849.71	848.32	859.91	869.09	0.935181066972541	1.01917124666063	0.972510373443983	0.898931283506413	0.852615954619199
TCGA-BT-A2LA	1369	1444	1421	1477	1399	1375.53	1366.02	1368.83	1371.13	1404.63	0.995252738944261	1.05708554779579	1.03811284089332	1.07721368506269	0.995991827029182
TCGA-BT-A3PH	2609	2674	2640	2733	2799	2580.87	2570.45	2570.78	2577.16	2592.51	1.01089942538756	1.04028477503939	1.02692568014377	1.06046966428161	1.07964868023653
TCGA-BT-A3PJ	3485	3624	3762	3661	3623	3525.44	3526.87	3533.71	3532.26	3550.71	0.988529091404194	1.02754000005671	1.06460349038263	1.03644692066835	1.02035930842001
TCGA-CF-A27C	971	1029	985	981	961	952.41	948.51	958.8	953.91	965.34	1.01951890467341	1.08485941107632	1.0273258239466	1.02839890555713	0.995504174694926
TCGA-DK-A1A5	2332	2532	2526	2295	2301	2321.59	2319.31	2314.18	2317.27	2326.63	1.00448399588213	1.09170399817187	1.09153134155511	0.990389553224268	0.988984067084152
TCGA-DK-A1A6	2376	2554	2365	2348	2332	2370.17	2366	2369.47	2372.67	2395.22	1.00245973917483	1.07945900253593	0.998113502175592	0.989602431016534	0.973605764814923
TCGA-DK-A1A7	1282	1435	1339	1415	1407	1349.46	1344.26	1343.08	1347.39	1359.1	0.950009633483023	1.06750182256409	0.996962206272151	1.05017849323507	1.03524391141196
TCGA-DK-A1AA	951	909	889	856	723	853.11	851.76	851.98	856.23	863.06	1.11474487463516	1.06720202874049	1.04345172421888	0.999731380586992	0.837716960582115
TCGA-DK-A1AE	896	989	1021	928	841	911.26	914.46	917.45	924.93	930.25	0.983253956060839	1.08151258666317	1.11286718622268	1.00331917009936	0.904058048911583
TCGA-DK-A3IL	1284	1331	1300	1283	1138	1290.9	1282.19	1290.59	1293.79	1312.79	0.994654891935859	1.03806768107691	1.00729123889074	0.99166016123173	0.866856085131666
TCGA-FD-A3N5	2568	2655	2635	2600	2618	2509.35	2505.71	2515.27	2508.18	2522.47	1.02337258652639	1.05957991946394	1.0476012515555	1.036608217911	1.03787160996959
TCGA-FD-A3N6	893	959	870	902	762	913.78	896.49	908.85	913.36	922.76	0.977259296548403	1.06972749277739	0.957253672223139	0.987562406937024	0.825783519008193
TCGA-FT-A3EE	810	829	812	871	864	818.55	816.26	821.96	820.59	829.41	0.989554700384827	1.01560777203342	0.987882622025403	1.06143140910808	1.0417043440518
TCGA-GD-A2C5	1764	1867	1719	1748	1688	1714.51	1711.15	1719.53	1718.62	1729.05	1.02886539011146	1.09107909885165	0.999691776241182	1.01709511119386	0.976258639137098
TCGA-H4-A2HQ	4241	4320	4294	4039	3745	4071.54	4051.34	4072.79	4064.17	4077.82	1.04162061529544	1.06631386158654	1.05431411882272	0.993806853551894	0.918382861430863
