Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	3132	3381	3278	3160	2828	3163.94	3114.23	3135.21	3145.63	3226.04	0.989904991877216	1.08566162422172	1.04554399864762	1.00456824229169	0.876616532963013
TCGA-BL-A13J	713	700	674	651	586	659.38	651.4	656.96	651.3	663.56	1.08131881464406	1.07460853546208	1.02593765221627	0.999539382772916	0.883115317378986
TCGA-BT-A20T	706	725	705	621	583	679.76	674.24	676.64	673.85	686.21	1.03860185947982	1.07528476506882	1.04191298179239	0.921570082362544	0.849594147564157
TCGA-BT-A20V	522	556	507	511	477	554.28	550.23	548.87	555.63	567.74	0.941762286209136	1.01048652381731	0.923715998323829	0.919676763313716	0.840173318772678
TCGA-BT-A2LA	588	623	597	630	608	593.85	584.07	585.06	588.33	616.52	0.990149027532205	1.06665296967829	1.02040816326531	1.07082759675692	0.986180496983066
TCGA-BT-A3PJ	1331	1483	1466	1419	1411	1397.09	1383.93	1391.66	1390.41	1406.68	0.952694529343135	1.07158599062091	1.05341821996752	1.02056228019074	1.00307106093781
TCGA-DK-A1A5	577	615	584	520	485	543.24	542.76	542.66	537.03	553.66	1.06214564465061	1.13309750165819	1.07618029705525	0.968288549987896	0.875988874038218
TCGA-DK-A1A6	1094	1139	1078	1010	967	1050.28	1039.88	1043.01	1044.85	1067.05	1.04162699470617	1.09531869061815	1.03354713761134	0.966645930037805	0.906236821142402
TCGA-DK-A1A7	1006	1114	1062	1122	1094	1056.1	1048.36	1047.47	1050.98	1060.67	0.952561310481962	1.06261207981991	1.01387151899338	1.06757502521456	1.03142353418123
TCGA-DK-A1AA	744	704	658	641	548	645.85	644.45	642.27	648.21	652.43	1.15197027173492	1.09240437582435	1.0244912575708	0.988877061446136	0.839936851462992
TCGA-DK-A3IL	996	1050	1018	986	872	1014.82	1007.39	1011.55	1014.58	1031.14	0.981454839281843	1.04229742205104	1.00637635312145	0.971830708273374	0.845665961945032
TCGA-FD-A3N5	2105	2198	2166	2071	2124	2039.4	2035.71	2044.67	2043.9	2048.63	1.03216632342846	1.07972157134366	1.0593396489409	1.01325896570282	1.03679044044068
TCGA-FT-A3EE	555	575	549	594	562	558.14	551.96	555.53	558.14	562.89	0.994374171354857	1.04174215522864	0.988245459291127	1.06424911312574	0.99841887402512
TCGA-GD-A2C5	660	730	629	631	547	625.32	619.13	620.92	623.34	634.89	1.0554596046824	1.17907386170917	1.01301294852799	1.01228863862419	0.861566570587031
TCGA-H4-A2HQ	2366	2388	2366	2133	1829	2202.74	2190.02	2201.68	2201.64	2206.03	1.07411678182627	1.0904010009041	1.07463391591875	0.968823240856816	0.829091172830832
