obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
10	978	638213	1.02249
8	1017	642476	0.786627
10	1019	643713	0.981354
14	1034	644139	1.35397
5	999	644353	0.500501
12	1029	644502	1.16618
16	1007	644528	1.58888
14	994	644570	1.40845
10	1012	644590	0.988142
8	995	644601	0.80402
14	1033	644611	1.35528
13	1038	644613	1.25241
9	1024	644622	0.878906
10	1001	644628	0.999001
13	998	644631	1.30261
12	1004	644634	1.19522
17	966	644637	1.75983
18	1030	644637	1.74757
11	985	644637	1.11675
13	1015	644637	1.28079
14	1020	644637	1.37255
14	1006	644638	1.39165
9	973	644638	0.924974
16	972	644638	1.64609
13	953	644638	1.36411
9	1009	644638	0.891972
14	956	644638	1.46444
12	982	644637	1.222
12	983	644636	1.22075
15	944	644636	1.58898
18	1049	644634	1.71592
10	1024	644634	0.976562
20	1017	644635	1.96657
20	1047	644640	1.91022
11	1019	644635	1.07949
18	987	644627	1.82371
11	948	644620	1.16034
13	999	644618	1.3013
14	991	644615	1.41271
8	1006	644588	0.795229
8	1009	644582	0.792864
12	1005	644570	1.19403
15	1041	644543	1.44092
11	996	644512	1.10442
15	1032	644472	1.45349
7	1013	644409	0.691017
12	1003	644310	1.19641
10	989	644076	1.01112
14	988	643259	1.417
9	972	638995	0.925926
