obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
156	7142	4556415	2.18426
148	7872	4913461	1.88008
105	7940	4941776	1.32242
128	7955	4950839	1.60905
111	7982	4954989	1.39063
106	7993	4957173	1.32616
102	8021	4958497	1.27166
82	8054	4959094	1.01813
86	8055	4959494	1.06766
94	7897	4959680	1.19033
83	7768	4959827	1.06849
91	7953	4959959	1.14422
76	7973	4960088	0.953217
99	8061	4960151	1.22814
80	7936	4960187	1.00806
93	7970	4960271	1.16688
63	7985	4960289	0.788979
88	7908	4960293	1.1128
65	7997	4960302	0.812805
87	8068	4960302	1.07833
88	7913	4960303	1.11209
91	8000	4960308	1.1375
94	7854	4960308	1.19684
87	7911	4960311	1.09973
90	7872	4960317	1.14329
89	7939	4960323	1.12105
102	7837	4960329	1.30152
65	7961	4960334	0.81648
82	7961	4960334	1.03002
73	7821	4960334	0.933384
83	7983	4960334	1.03971
75	7887	4960334	0.950932
88	7867	4960334	1.1186
86	7802	4960334	1.10228
96	7954	4960334	1.20694
102	8016	4960340	1.27246
82	7834	4960340	1.04672
102	7918	4960340	1.2882
95	7985	4960340	1.18973
74	7824	4960340	0.945808
81	7985	4960341	1.0144
104	8091	4960343	1.28538
103	8172	4960350	1.2604
109	7862	4960353	1.38642
105	7921	4960354	1.32559
77	7790	4960354	0.988447
95	7835	4960354	1.21251
84	8010	4960354	1.04869
101	7939	4960354	1.2722
95	8113	4960354	1.17096
85	7957	4960354	1.06824
84	8057	4960354	1.04257
85	8110	4960354	1.04809
88	8040	4960354	1.09453
88	7797	4960356	1.12864
67	7911	4960356	0.846922
90	8000	4960356	1.125
88	7938	4960356	1.10859
69	8092	4960356	0.852694
82	7976	4960356	1.02808
87	7971	4960356	1.09146
84	7926	4960356	1.0598
92	7983	4960356	1.15245
89	7924	4960356	1.12317
86	7919	4960356	1.086
81	7798	4960356	1.03873
91	8032	4960356	1.13297
86	7972	4960356	1.07878
89	7862	4960356	1.13203
101	7983	4960356	1.26519
83	7987	4960356	1.03919
100	7987	4960356	1.25203
99	7945	4960358	1.24607
86	7919	4960358	1.086
78	7961	4960358	0.979776
77	7879	4960358	0.977281
85	8052	4960358	1.05564
87	8018	4960356	1.08506
97	7738	4960356	1.25355
84	7839	4960356	1.07157
85	7948	4960356	1.06945
87	7830	4960356	1.11111
78	7999	4960356	0.975122
78	7999	4960356	0.975122
72	7823	4960356	0.920363
85	8172	4960356	1.04014
78	7950	4960356	0.981132
84	7914	4960356	1.06141
90	8060	4960356	1.11663
85	8043	4960356	1.05682
69	7986	4960356	0.864012
91	7970	4960356	1.14178
107	7872	4960356	1.35925
71	7982	4960356	0.889501
74	8096	4960356	0.914032
67	7896	4960356	0.848531
85	7891	4960356	1.07718
78	7932	4960356	0.983359
81	7849	4960356	1.03198
81	7975	4960356	1.01567
79	7928	4960354	0.996468
75	7923	4960354	0.946611
84	8106	4960354	1.03627
93	7889	4960354	1.17886
83	8031	4960354	1.0335
95	8031	4960352	1.18292
78	8038	4960350	0.970391
91	7882	4960349	1.15453
77	8050	4960346	0.956522
67	7862	4960346	0.8522
77	7895	4960344	0.975301
97	8022	4960344	1.20917
67	8033	4960344	0.83406
87	7816	4960343	1.1131
82	7850	4960342	1.04459
77	7950	4960342	0.968553
87	8097	4960342	1.07447
86	8009	4960341	1.07379
77	7791	4960339	0.98832
85	8019	4960339	1.05998
67	8037	4960339	0.833644
86	7986	4960338	1.07688
91	8013	4960335	1.13565
77	8112	4960335	0.949211
86	7954	4960334	1.08122
79	7897	4960328	1.00038
73	8123	4960325	0.898683
86	7983	4960320	1.07729
83	8034	4960314	1.03311
63	8072	4960299	0.780476
76	8038	4960281	0.945509
80	8138	4960271	0.983043
70	7922	4960257	0.883615
99	8065	4960236	1.22753
71	7980	4960209	0.889724
82	7995	4960196	1.02564
81	7905	4960149	1.02467
80	8088	4960098	0.98912
88	7792	4959999	1.12936
62	8017	4959887	0.773357
73	7990	4959665	0.913642
76	7948	4959287	0.956215
81	8051	4958826	1.00609
80	8011	4958185	0.998627
87	7999	4956852	1.08764
91	7946	4954426	1.14523
74	7757	4949969	0.953977
97	7860	4940637	1.2341
70	7853	4910972	0.891379
80	7123	4554500	1.12312
