obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
11	1043	638217	1.05465
19	991	642893	1.91726
11	1017	644197	1.08161
17	966	644593	1.75983
7	1003	644787	0.697906
18	977	644923	1.84237
14	1056	644949	1.32576
17	1062	644991	1.60075
14	1007	645011	1.39027
14	1007	645022	1.39027
12	996	645032	1.20482
17	994	645034	1.71026
14	1026	645039	1.36452
8	997	645044	0.802407
12	972	645046	1.23457
12	982	645049	1.222
9	1036	645053	0.868726
14	1009	645053	1.38751
14	1007	645053	1.39027
19	1016	645053	1.87008
13	1043	645053	1.2464
8	1045	645053	0.76555
14	976	645053	1.43443
13	1082	645053	1.20148
16	1043	645053	1.53404
21	970	645053	2.16495
15	957	645053	1.5674
21	1035	645052	2.02899
26	1004	645051	2.58964
17	1057	645051	1.60833
14	980	645049	1.42857
18	1021	645049	1.76298
17	990	645050	1.71717
24	995	645055	2.41206
14	1000	645056	1.4
23	977	645056	2.35415
19	995	645053	1.90955
31	1022	645053	3.03327
27	1003	645049	2.69192
20	940	645019	2.12766
18	1010	645013	1.78218
23	1017	645001	2.26155
17	999	644974	1.7017
23	1028	644943	2.23735
37	1073	644909	3.44828
24	974	644857	2.46407
27	1001	644766	2.6973
27	949	644535	2.8451
26	858	643692	3.0303
23	910	639259	2.52747
