obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
19	1628	638213	1.16708
18	1680	642476	1.07143
13	1595	643713	0.815047
16	1608	644139	0.995025
10	1692	644353	0.591017
16	1696	644502	0.943396
11	1691	644528	0.650503
9	1689	644570	0.53286
16	1634	644590	0.979192
6	1714	644601	0.350058
18	1638	644611	1.0989
10	1713	644613	0.583771
10	1661	644622	0.602047
16	1649	644628	0.970285
16	1677	644631	0.954085
12	1721	644634	0.697269
19	1635	644637	1.16208
19	1718	644637	1.10594
16	1647	644637	0.971463
16	1578	644637	1.01394
17	1618	644637	1.05068
10	1679	644638	0.595593
22	1775	644638	1.23944
14	1732	644638	0.808314
20	1794	644638	1.11483
16	1714	644638	0.933489
12	1663	644638	0.721587
14	1656	644637	0.845411
15	1663	644636	0.901984
11	1671	644636	0.658288
17	1710	644634	0.994152
14	1700	644634	0.823529
20	1657	644635	1.207
20	1618	644640	1.23609
23	1665	644635	1.38138
12	1677	644627	0.715564
16	1589	644620	1.00692
14	1627	644618	0.860479
21	1738	644615	1.20829
15	1695	644588	0.884956
14	1660	644582	0.843373
12	1710	644570	0.701754
15	1708	644543	0.87822
12	1688	644512	0.7109
17	1676	644472	1.01432
21	1683	644409	1.24777
25	1681	644310	1.48721
9	1622	644076	0.554871
20	1776	643259	1.12613
17	1641	638995	1.03595
