obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
222	16623	4556415	1.3355
182	14877	4913461	1.22336
175	13962	4941776	1.2534
163	13748	4950839	1.18563
137	13502	4954989	1.01466
137	13211	4957173	1.03701
137	13060	4958497	1.049
139	13222	4959094	1.05128
125	12910	4959494	0.968242
139	13167	4959680	1.05567
148	13082	4959827	1.13133
148	13109	4959959	1.129
128	12947	4960088	0.988646
130	12928	4960151	1.00557
134	12895	4960187	1.03916
106	13085	4960271	0.810088
152	12902	4960289	1.17811
133	12837	4960293	1.03607
143	12699	4960302	1.12607
128	12858	4960302	0.995489
123	13008	4960303	0.945572
114	13070	4960308	0.872226
121	12859	4960308	0.940975
125	13072	4960311	0.956242
130	13073	4960317	0.994416
122	12975	4960323	0.94027
129	12829	4960329	1.00553
150	12835	4960334	1.16868
126	12871	4960334	0.978945
146	12796	4960334	1.14098
117	12752	4960334	0.917503
111	12914	4960334	0.859532
145	12837	4960334	1.12955
104	12758	4960334	0.815175
126	12844	4960334	0.981003
125	12817	4960340	0.975267
142	12951	4960340	1.09644
110	12886	4960340	0.85364
114	12851	4960340	0.88709
100	12867	4960340	0.777182
118	13057	4960341	0.90373
120	12830	4960343	0.935308
120	12915	4960350	0.929152
124	12823	4960353	0.967012
137	12609	4960354	1.08653
109	12879	4960354	0.846339
158	12817	4960354	1.23274
122	12906	4960354	0.945297
131	12877	4960354	1.01732
120	12781	4960354	0.938894
114	13049	4960354	0.87363
123	12904	4960354	0.953193
138	13050	4960354	1.05747
129	12913	4960354	0.998993
138	12820	4960356	1.07644
134	12799	4960356	1.04696
107	12842	4960356	0.833204
129	12679	4960356	1.01743
125	12856	4960356	0.972309
130	12700	4960356	1.02362
126	12924	4960356	0.97493
121	12906	4960356	0.937548
108	12691	4960356	0.850997
132	12905	4960356	1.02286
143	12869	4960356	1.1112
119	12825	4960356	0.927875
121	12747	4960356	0.949243
112	12927	4960356	0.866404
129	13031	4960356	0.989947
130	12897	4960356	1.00799
133	12658	4960356	1.05072
116	12815	4960356	0.905189
133	12767	4960358	1.04175
146	12648	4960358	1.15433
112	12849	4960358	0.871663
122	12766	4960358	0.955663
116	12763	4960358	0.908877
133	12999	4960356	1.02316
107	12857	4960356	0.832231
125	12947	4960356	0.965475
122	12706	4960356	0.960176
121	12778	4960356	0.94694
115	12906	4960356	0.891058
122	12772	4960356	0.955215
128	12887	4960356	0.993249
114	12944	4960356	0.880717
105	12950	4960356	0.810811
123	12871	4960356	0.955637
117	12994	4960356	0.900416
116	12713	4960356	0.912452
121	12827	4960356	0.943323
127	13141	4960356	0.966441
120	12955	4960356	0.926283
136	12987	4960356	1.0472
110	12819	4960356	0.858101
140	12838	4960356	1.09051
118	12797	4960356	0.922091
144	12941	4960356	1.11274
135	12988	4960356	1.03942
125	12969	4960356	0.963837
104	13024	4960354	0.798526
140	12765	4960354	1.09675
109	13041	4960354	0.835825
121	12772	4960354	0.947385
116	12909	4960354	0.898598
105	12838	4960352	0.817884
120	12914	4960350	0.929224
117	12967	4960349	0.90229
157	13034	4960346	1.20454
127	12924	4960346	0.982668
127	13019	4960344	0.975497
119	12837	4960344	0.927008
121	12855	4960344	0.941268
134	13068	4960343	1.02541
131	12745	4960342	1.02785
127	12909	4960342	0.98381
139	12962	4960342	1.07237
123	12853	4960341	0.956975
114	12999	4960339	0.876991
119	12824	4960339	0.927948
104	13142	4960339	0.791356
132	12856	4960338	1.02676
116	12989	4960335	0.893063
117	13077	4960335	0.894701
118	12983	4960334	0.908881
112	13091	4960328	0.85555
114	13008	4960325	0.876384
125	12938	4960320	0.966146
116	13064	4960314	0.887936
123	13067	4960299	0.941303
119	12975	4960281	0.917148
109	12857	4960271	0.847787
128	12834	4960257	0.997351
132	13073	4960236	1.00971
125	12963	4960209	0.964283
117	12884	4960196	0.908103
108	12870	4960149	0.839161
132	13095	4960098	1.00802
111	12774	4959999	0.868953
123	12806	4959887	0.960487
131	12927	4959665	1.01338
117	12810	4959287	0.913349
104	12894	4958826	0.806577
123	13167	4958185	0.934154
113	13055	4956852	0.865569
108	12801	4954426	0.843684
130	13033	4949969	0.997468
111	12999	4940637	0.853912
95	13101	4910972	0.725135
110	11877	4554500	0.92616
