obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
15	1670	638217	0.898204
13	1729	642893	0.75188
17	1694	644197	1.00354
16	1734	644593	0.922722
12	1708	644787	0.702576
19	1665	644923	1.14114
5	1719	644949	0.290867
15	1665	644991	0.900901
14	1656	645011	0.845411
23	1646	645022	1.39733
18	1641	645032	1.09689
22	1597	645034	1.37758
19	1752	645039	1.08447
12	1621	645044	0.740284
14	1725	645046	0.811594
21	1632	645049	1.28676
18	1678	645053	1.07271
22	1588	645053	1.38539
24	1663	645053	1.44317
23	1724	645053	1.33411
12	1707	645053	0.702988
14	1627	645053	0.860479
18	1710	645053	1.05263
19	1655	645053	1.14804
21	1735	645053	1.21037
28	1673	645053	1.67364
15	1779	645053	0.84317
18	1724	645052	1.04408
22	1707	645051	1.28881
25	1730	645051	1.44509
19	1754	645049	1.08324
19	1678	645049	1.1323
22	1718	645050	1.28056
22	1713	645055	1.2843
28	1754	645056	1.59635
26	1835	645056	1.41689
26	1798	645053	1.44605
32	1927	645053	1.66061
23	1886	645049	1.21951
30	1984	645019	1.5121
37	1979	645013	1.86963
22	1981	645001	1.11055
26	2147	644974	1.21099
34	2103	644943	1.61674
35	2081	644909	1.68188
28	2185	644857	1.28146
28	2303	644766	1.21581
39	2372	644535	1.64418
39	2558	643692	1.52463
47	2633	639259	1.78504
