obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
39	4432	638213	0.879964
45	4295	642476	1.04773
50	4436	643713	1.12714
41	4482	644139	0.91477
34	4543	644353	0.748404
50	4455	644502	1.12233
51	4526	644528	1.12682
59	4394	644570	1.34274
49	4598	644590	1.06568
47	4577	644601	1.02687
67	4386	644611	1.52759
45	4455	644613	1.0101
44	4517	644622	0.974098
62	4618	644628	1.34257
46	4336	644631	1.06089
43	4543	644634	0.946511
37	4535	644637	0.815877
46	4570	644637	1.00656
72	4574	644637	1.57411
59	4610	644637	1.27983
42	4540	644637	0.92511
50	4554	644638	1.09794
54	4481	644638	1.20509
56	4581	644638	1.22244
47	4559	644638	1.03093
42	4494	644638	0.934579
55	4423	644638	1.2435
53	4523	644637	1.17179
54	4640	644636	1.16379
42	4617	644636	0.909682
46	4513	644634	1.01928
69	4369	644634	1.57931
43	4556	644635	0.94381
52	4469	644640	1.16357
42	4494	644635	0.934579
59	4630	644627	1.2743
48	4515	644620	1.06312
53	4619	644618	1.14743
56	4601	644615	1.21713
52	4563	644588	1.1396
54	4551	644582	1.18655
44	4581	644570	0.960489
60	4535	644543	1.32304
42	4442	644512	0.94552
46	4620	644472	0.995671
42	4544	644409	0.924296
53	4517	644310	1.17335
45	4609	644076	0.976351
53	4523	643259	1.17179
53	4493	638995	1.17961
