obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
476	31464	4556415	1.51284
422	35316	4913461	1.19493
384	35726	4941776	1.07485
386	35946	4950839	1.07383
444	36207	4954989	1.22628
368	36308	4957173	1.01355
372	36343	4958497	1.02358
370	36387	4959094	1.01685
325	36514	4959494	0.89007
316	36531	4959680	0.865019
368	36349	4959827	1.01241
368	36259	4959959	1.01492
361	36145	4960088	0.998755
341	36531	4960151	0.933454
306	36697	4960187	0.833856
348	36428	4960271	0.955309
340	36511	4960289	0.931226
340	36178	4960293	0.939798
344	36408	4960302	0.944847
323	36527	4960302	0.884277
339	36266	4960303	0.93476
316	36607	4960308	0.863223
385	36538	4960308	1.0537
383	36265	4960311	1.05611
355	36425	4960317	0.974605
371	36485	4960323	1.01686
342	36488	4960329	0.937294
344	36462	4960334	0.943448
360	36410	4960334	0.988739
365	36790	4960334	0.992117
379	36338	4960334	1.04299
361	36232	4960334	0.996357
362	36229	4960334	0.9992
335	36537	4960334	0.916879
401	36213	4960334	1.10734
366	36269	4960340	1.00913
331	36145	4960340	0.915756
338	36361	4960340	0.929567
346	36275	4960340	0.953825
351	37000	4960340	0.948649
356	36420	4960341	0.977485
324	36243	4960343	0.893966
395	36602	4960350	1.07918
377	36590	4960353	1.03034
371	36654	4960354	1.01217
364	36720	4960354	0.991285
357	36815	4960354	0.969713
332	36444	4960354	0.910987
337	36509	4960354	0.92306
345	36821	4960354	0.936965
381	36283	4960354	1.05008
376	36361	4960354	1.03407
363	36437	4960354	0.99624
368	36073	4960354	1.02015
370	36199	4960356	1.02213
325	35803	4960356	0.907745
353	36402	4960356	0.969727
334	36554	4960356	0.913717
347	36435	4960356	0.952381
353	36616	4960356	0.964059
343	36400	4960356	0.942308
395	36584	4960356	1.07971
332	36436	4960356	0.911187
389	36028	4960356	1.07972
368	36283	4960356	1.01425
400	36356	4960356	1.10023
357	36414	4960356	0.980392
385	36420	4960356	1.05711
336	36548	4960356	0.919339
363	36402	4960356	0.997198
365	36512	4960356	0.999671
380	36548	4960356	1.03973
341	36790	4960358	0.926882
365	36442	4960358	1.00159
339	36119	4960358	0.938564
383	36595	4960358	1.04659
372	36235	4960358	1.02663
381	36313	4960356	1.04921
316	36666	4960356	0.861834
380	36431	4960356	1.04307
349	36207	4960356	0.963902
405	36315	4960356	1.11524
362	36222	4960356	0.999393
389	36464	4960356	1.06681
339	36675	4960356	0.924335
339	36740	4960356	0.9227
356	36443	4960356	0.976868
361	36639	4960356	0.985289
336	36583	4960356	0.918459
344	36578	4960356	0.940456
353	36590	4960356	0.964744
388	36787	4960356	1.05472
397	36679	4960356	1.08236
391	36464	4960356	1.07229
337	36671	4960356	0.918982
381	36497	4960356	1.04392
369	36220	4960356	1.01877
396	36343	4960356	1.08962
350	36353	4960356	0.962782
332	36399	4960356	0.912113
364	36407	4960354	0.999808
366	36219	4960354	1.01052
390	36234	4960354	1.07634
401	36211	4960354	1.1074
370	36572	4960354	1.0117
383	36232	4960352	1.05708
370	36194	4960350	1.02227
393	36548	4960349	1.0753
370	36619	4960346	1.0104
358	36955	4960346	0.968746
365	36747	4960344	0.993278
346	37052	4960344	0.933823
387	36682	4960344	1.05501
355	36748	4960343	0.966039
362	36655	4960342	0.987587
344	36597	4960342	0.939968
368	36466	4960342	1.00916
385	36408	4960341	1.05746
376	36356	4960339	1.03422
371	36594	4960339	1.01383
355	36430	4960339	0.974472
388	36543	4960338	1.06176
387	36819	4960335	1.05109
339	36690	4960335	0.923957
396	36540	4960334	1.08374
339	36348	4960328	0.932651
368	36653	4960325	1.00401
372	36438	4960320	1.02091
378	36711	4960314	1.02966
362	36638	4960299	0.988045
347	36521	4960281	0.950138
370	36249	4960271	1.02072
356	36688	4960257	0.970345
331	36659	4960236	0.902916
362	36451	4960209	0.993114
388	36237	4960196	1.07073
371	36464	4960149	1.01744
328	36905	4960098	0.888768
385	36550	4959999	1.05335
398	36918	4959887	1.07806
385	36684	4959665	1.0495
372	36684	4959287	1.01407
369	36435	4958826	1.01276
413	36272	4958185	1.13862
390	36245	4956852	1.07601
355	36343	4954426	0.976804
333	36232	4949969	0.919077
340	36248	4940637	0.937983
325	35536	4910972	0.914566
338	32104	4554500	1.05283
