obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
37	4682	638217	0.790261
53	4462	642893	1.18781
47	4506	644197	1.04305
55	4581	644593	1.20061
45	4499	644787	1.00022
54	4549	644923	1.18707
58	4477	644949	1.29551
62	4729	644991	1.31106
57	4602	645011	1.23859
42	4683	645022	0.896861
46	4499	645032	1.02245
63	4488	645034	1.40374
55	4569	645039	1.20376
51	4587	645044	1.11184
48	4501	645046	1.06643
62	4543	645049	1.36474
44	4554	645053	0.966184
61	4582	645053	1.3313
55	4607	645053	1.19384
59	4549	645053	1.29699
60	4599	645053	1.30463
42	4572	645053	0.918635
63	4493	645053	1.40218
58	4496	645053	1.29004
55	4707	645053	1.16847
54	4576	645053	1.18007
56	4565	645053	1.22673
56	4578	645052	1.22324
60	4575	645051	1.31148
71	4515	645051	1.57254
63	4609	645049	1.36689
59	4562	645049	1.29329
48	4494	645050	1.06809
59	4600	645055	1.28261
56	4523	645056	1.23812
66	4464	645056	1.47849
44	4487	645053	0.980611
71	4487	645053	1.58235
60	4440	645049	1.35135
71	4472	645019	1.58766
70	4464	645013	1.5681
58	4492	645001	1.29118
68	4500	644974	1.51111
65	4438	644943	1.46462
79	4433	644909	1.78209
84	4334	644857	1.93816
76	4219	644766	1.80137
75	4053	644535	1.85048
74	3878	643692	1.9082
81	3828	639259	2.11599
