obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
23	3808	638213	0.603992
22	3933	642476	0.559369
20	3999	643713	0.500125
27	4025	644139	0.670807
22	4001	644353	0.549863
25	3972	644502	0.629406
23	3957	644528	0.581248
25	4030	644570	0.620347
17	4050	644590	0.419753
16	3901	644601	0.410151
23	3945	644611	0.583016
24	3977	644613	0.60347
25	4080	644622	0.612745
31	4060	644628	0.763547
27	4114	644631	0.656296
15	4014	644634	0.373692
19	3952	644637	0.480769
25	4110	644637	0.608273
24	4029	644637	0.595681
17	3975	644637	0.427673
22	4057	644637	0.542273
23	4001	644638	0.574856
26	4091	644638	0.635541
28	4032	644638	0.694444
24	4125	644638	0.581818
25	4028	644638	0.620655
24	4085	644638	0.587515
19	3985	644637	0.476788
30	4027	644636	0.744971
27	4022	644636	0.671308
23	4109	644634	0.559747
25	4128	644634	0.60562
31	3963	644635	0.782236
26	4084	644640	0.636631
22	4111	644635	0.53515
21	4155	644627	0.505415
19	4238	644620	0.448325
21	4034	644618	0.520575
21	4014	644615	0.523169
16	4120	644588	0.38835
29	4063	644582	0.713758
26	3993	644570	0.651139
25	3988	644543	0.626881
26	4169	644512	0.623651
23	4153	644472	0.553817
30	4086	644409	0.734214
21	4136	644310	0.507737
24	4153	644076	0.577895
21	4192	643259	0.500954
18	4100	638995	0.439024
