obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
246	46289	4556415	0.531444
232	38799	4913461	0.597954
216	34829	4941776	0.620173
210	33327	4950839	0.63012
189	32605	4954989	0.579666
197	31738	4957173	0.620707
207	31581	4958497	0.655457
204	31060	4959094	0.656793
199	30909	4959494	0.643825
210	30660	4959680	0.684932
204	31009	4959827	0.657874
203	30809	4959959	0.658898
194	30565	4960088	0.634713
211	30460	4960151	0.692712
190	30554	4960187	0.62185
176	30610	4960271	0.574975
218	30422	4960289	0.716587
199	30095	4960293	0.661239
215	30140	4960302	0.713338
200	30333	4960302	0.659348
181	30289	4960303	0.597577
199	30275	4960308	0.657308
201	30301	4960308	0.663344
192	29993	4960311	0.640149
191	30053	4960317	0.635544
214	30273	4960323	0.706901
188	30285	4960329	0.620769
213	30075	4960334	0.708229
206	30089	4960334	0.684636
206	30344	4960334	0.678882
209	30094	4960334	0.694491
206	30387	4960334	0.677921
196	30196	4960334	0.649093
220	29830	4960334	0.737513
198	30034	4960334	0.659253
182	29875	4960340	0.609205
190	30135	4960340	0.630496
195	30181	4960340	0.646102
182	30170	4960340	0.603248
210	30228	4960340	0.69472
183	30341	4960341	0.603144
216	30304	4960343	0.712777
188	29784	4960350	0.631211
179	30133	4960353	0.594033
189	30139	4960354	0.627094
201	30056	4960354	0.668752
204	30183	4960354	0.675877
203	30117	4960354	0.674038
208	30058	4960354	0.691995
181	29840	4960354	0.606568
216	29806	4960354	0.724686
205	30078	4960354	0.681561
184	29720	4960354	0.619112
177	29808	4960354	0.5938
235	30151	4960356	0.77941
185	30256	4960356	0.611449
196	29895	4960356	0.655628
176	30194	4960356	0.582897
204	29956	4960356	0.680999
209	29759	4960356	0.702309
208	30080	4960356	0.691489
193	30104	4960356	0.641111
196	30223	4960356	0.648513
189	30098	4960356	0.627949
195	29928	4960356	0.651564
197	30238	4960356	0.651498
190	30160	4960356	0.629973
217	29942	4960356	0.724734
220	30008	4960356	0.733138
212	29949	4960356	0.70787
210	29837	4960356	0.703824
220	29955	4960356	0.734435
198	30203	4960358	0.655564
180	29894	4960358	0.602128
198	29947	4960358	0.661168
186	30036	4960358	0.619257
209	30091	4960358	0.69456
209	29918	4960356	0.698576
177	29739	4960356	0.595178
205	30248	4960356	0.677731
239	30147	4960356	0.792782
184	29977	4960356	0.613804
203	30389	4960356	0.668005
174	29902	4960356	0.581901
196	29773	4960356	0.658315
206	29906	4960356	0.688825
202	30012	4960356	0.673064
197	30178	4960356	0.652793
199	30152	4960356	0.659989
194	29899	4960356	0.648851
199	30229	4960356	0.658308
215	30175	4960356	0.71251
204	30037	4960356	0.679162
210	30283	4960356	0.693458
209	30243	4960356	0.691069
197	30404	4960356	0.647941
194	30088	4960356	0.644775
217	29791	4960356	0.728408
192	30412	4960356	0.63133
192	29634	4960356	0.647904
186	29878	4960354	0.622532
180	29885	4960354	0.602309
188	30106	4960354	0.62446
179	30262	4960354	0.591501
199	30080	4960354	0.661569
207	30291	4960352	0.683371
212	30473	4960350	0.695698
213	30371	4960349	0.701327
207	30507	4960346	0.678533
189	30505	4960346	0.619571
196	30486	4960344	0.642918
190	30052	4960344	0.632237
167	30137	4960344	0.554136
197	29857	4960343	0.659812
214	30331	4960342	0.705549
195	30246	4960342	0.644713
203	30237	4960342	0.671363
197	30477	4960341	0.646389
221	30326	4960339	0.728748
193	30289	4960339	0.637195
215	30505	4960339	0.704802
184	30498	4960338	0.603318
229	30458	4960335	0.751855
198	30188	4960335	0.65589
212	30362	4960334	0.698241
204	30420	4960328	0.670611
190	30637	4960325	0.620165
161	30546	4960320	0.527074
212	30677	4960314	0.691071
162	30599	4960299	0.529429
195	30604	4960281	0.637172
179	30789	4960271	0.581376
193	30193	4960257	0.639221
179	30437	4960236	0.5881
219	30324	4960209	0.7222
204	30694	4960196	0.664625
193	30144	4960149	0.64026
218	30708	4960098	0.709913
205	30913	4959999	0.663151
203	30827	4959887	0.658514
182	30535	4959665	0.596037
221	30957	4959287	0.713893
170	31055	4958826	0.547416
197	30652	4958185	0.642699
176	31160	4956852	0.564827
186	30956	4954426	0.600853
181	30965	4949969	0.584531
186	31112	4940637	0.59784
205	30770	4910972	0.666233
176	27462	4554500	0.640886
