obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
30	3917	638217	0.765892
25	4084	642893	0.612145
23	4062	644197	0.566224
23	3977	644593	0.578325
22	3896	644787	0.564682
24	4126	644923	0.581677
18	4022	644949	0.447539
21	3922	644991	0.535441
20	3945	645011	0.506971
20	4119	645022	0.485555
33	4043	645032	0.816226
25	4012	645034	0.623131
36	4122	645039	0.873362
36	4111	645044	0.875699
22	4064	645046	0.541339
31	4128	645049	0.750969
12	4059	645053	0.295639
25	4033	645053	0.619886
32	4070	645053	0.786241
21	4048	645053	0.518775
23	4053	645053	0.567481
23	4192	645053	0.548664
23	4036	645053	0.569871
27	4102	645053	0.658216
35	4091	645053	0.855537
30	4250	645053	0.705882
29	4392	645053	0.660291
27	4260	645052	0.633803
25	4292	645051	0.582479
18	4366	645051	0.412277
25	4434	645049	0.563825
18	4375	645049	0.411429
24	4520	645050	0.530973
26	4624	645055	0.562284
26	4587	645056	0.566819
31	4707	645056	0.658594
26	4962	645053	0.523982
23	5024	645053	0.457803
38	4923	645049	0.771887
18	4988	645019	0.360866
28	5304	645013	0.527903
24	5299	645001	0.452916
33	5540	644974	0.595668
37	5586	644943	0.66237
28	5782	644909	0.484262
33	6076	644857	0.54312
41	6513	644766	0.62951
33	6766	644535	0.487733
48	7310	643692	0.656635
48	7845	639259	0.611855
