obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
3	246	144670	1.21951
0	243	145054	0
2	224	145111	0.892857
3	209	145111	1.43541
3	254	145111	1.1811
2	208	145111	0.961538
3	216	145111	1.38889
2	215	145111	0.930233
1	249	145111	0.401606
1	238	145111	0.420168
3	207	145111	1.44928
1	246	145113	0.406504
1	226	145114	0.442478
2	234	145114	0.854701
3	240	145114	1.25
1	223	145114	0.44843
0	199	145114	0
2	251	145114	0.796813
2	206	145114	0.970874
2	227	145114	0.881057
3	198	145114	1.51515
1	231	145114	0.4329
2	239	145114	0.83682
2	234	145114	0.854701
2	212	145113	0.943396
3	209	145113	1.43541
2	224	145114	0.892857
1	233	145114	0.429185
2	223	145114	0.896861
4	228	145114	1.75439
2	239	145114	0.83682
1	223	145114	0.44843
1	227	145114	0.440529
2	244	145114	0.819672
3	229	145114	1.31004
1	207	145114	0.483092
2	226	145114	0.884956
2	217	145114	0.921659
2	248	145114	0.806452
1	199	145112	0.502513
2	250	145112	0.8
2	243	145112	0.823045
5	207	145112	2.41546
4	222	145112	1.8018
1	237	145112	0.421941
1	246	145112	0.406504
3	250	145112	1.2
2	216	145108	0.925926
0	215	145074	0
1	242	144636	0.413223
