obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
6	547	327200	1.09689
12	573	360866	2.09424
6	595	366761	1.0084
5	585	369200	0.854701
3	603	370222	0.497512
4	555	370903	0.720721
3	627	371760	0.478469
3	634	372157	0.473186
4	584	372347	0.684932
5	601	372519	0.831947
5	584	372698	0.856164
5	627	372869	0.797448
8	576	373098	1.38889
6	588	373294	1.02041
11	600	373464	1.83333
11	648	373715	1.69753
7	595	373949	1.17647
4	570	374092	0.701754
3	570	374180	0.526316
2	610	374221	0.327869
9	556	374260	1.61871
8	597	374288	1.34003
4	626	374299	0.638978
9	623	374324	1.44462
4	607	374334	0.658979
4	611	374348	0.654664
3	631	374353	0.475436
3	582	374360	0.515464
8	622	374374	1.28617
7	627	374379	1.11643
3	594	374388	0.505051
6	591	374399	1.01523
5	619	374406	0.807754
4	604	374416	0.662252
2	657	374422	0.304414
7	601	374425	1.16473
4	662	374432	0.60423
5	591	374436	0.846024
4	618	374440	0.647249
7	600	374449	1.16667
3	610	374457	0.491803
4	615	374471	0.650407
8	612	374478	1.30719
7	585	374482	1.19658
8	576	374497	1.38889
2	599	374511	0.33389
3	612	374525	0.490196
3	598	374539	0.501672
7	621	374553	1.12721
5	596	374575	0.838926
4	614	374592	0.651466
5	601	374592	0.831947
5	603	374592	0.829187
2	602	374592	0.332226
4	584	374600	0.684932
4	629	374601	0.63593
2	661	374605	0.302572
8	641	374606	1.24805
4	621	374606	0.644122
9	651	374606	1.38249
7	593	374606	1.18044
5	633	374606	0.789889
6	618	374606	0.970874
6	651	374606	0.921659
4	609	374608	0.656814
5	614	374608	0.814332
8	607	374608	1.31796
8	606	374609	1.32013
4	633	374613	0.631912
3	577	374617	0.519931
13	613	374621	2.12072
8	672	374622	1.19048
6	623	374625	0.963082
5	622	374629	0.803859
5	619	374633	0.807754
4	593	374632	0.674536
7	634	374628	1.1041
8	612	374624	1.30719
5	644	374624	0.776398
6	592	374622	1.01351
7	633	374621	1.10585
2	590	374616	0.338983
7	630	374615	1.11111
5	616	374612	0.811688
6	629	374611	0.953895
2	616	374609	0.324675
5	614	374607	0.814332
5	598	374606	0.83612
6	613	374606	0.978793
2	558	374606	0.358423
11	661	374603	1.66415
4	629	374602	0.63593
4	617	374602	0.648298
4	632	374601	0.632911
8	592	374599	1.35135
3	623	374598	0.481541
3	619	374598	0.484653
5	594	374598	0.841751
9	636	374597	1.41509
7	622	374592	1.1254
4	628	374580	0.636943
5	567	374550	0.881834
5	575	374518	0.869565
6	582	374510	1.03093
4	590	374501	0.677966
3	576	374495	0.520833
10	603	374484	1.65837
2	637	374477	0.313972
5	571	374468	0.875657
3	590	374464	0.508475
7	536	374448	1.30597
5	613	374438	0.815661
5	573	374431	0.8726
10	665	374420	1.50376
7	583	374412	1.20069
5	604	374404	0.827815
5	610	374395	0.819672
11	586	374389	1.87713
9	583	374385	1.54374
8	586	374383	1.36519
10	629	374377	1.58983
7	621	374367	1.12721
4	625	374364	0.64
6	634	374356	0.946372
4	672	374352	0.595238
3	577	374337	0.519931
2	595	374326	0.336134
3	574	374320	0.522648
4	598	374313	0.668896
2	624	374294	0.320513
4	607	374266	0.658979
4	578	374242	0.692042
1	584	374170	0.171233
6	652	373925	0.920245
5	612	373494	0.816993
4	592	373269	0.675676
4	584	373134	0.684932
5	611	372980	0.818331
2	635	372700	0.314961
4	554	372595	0.722022
5	628	372423	0.796178
8	608	372088	1.31579
6	571	371772	1.05079
2	615	371464	0.325203
5	605	370834	0.826446
6	574	370040	1.0453
7	611	368841	1.14566
2	614	366375	0.325733
9	611	360127	1.473
5	508	324989	0.984252
