obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	232	144754	0.431034
2	230	145246	0.869565
2	207	145309	0.966184
3	227	145309	1.32159
1	243	145309	0.411523
1	264	145309	0.378788
2	224	145309	0.892857
4	233	145309	1.71674
1	244	145309	0.409836
3	226	145309	1.32743
2	247	145309	0.809717
4	206	145309	1.94175
3	207	145309	1.44928
3	239	145309	1.25523
3	223	145311	1.34529
3	222	145312	1.35135
1	222	145312	0.45045
0	211	145312	0
2	229	145312	0.873362
2	230	145312	0.869565
2	245	145312	0.816327
3	231	145312	1.2987
0	205	145312	0
1	223	145312	0.44843
3	224	145311	1.33929
4	205	145311	1.95122
2	222	145312	0.900901
0	214	145312	0
2	236	145312	0.847458
1	211	145312	0.473934
2	223	145312	0.896861
4	243	145312	1.64609
1	233	145312	0.429185
3	213	145312	1.40845
1	206	145312	0.485437
6	224	145312	2.67857
2	242	145312	0.826446
1	234	145312	0.42735
1	230	145312	0.434783
5	223	145310	2.24215
3	220	145310	1.36364
5	241	145310	2.07469
3	240	145310	1.25
1	261	145310	0.383142
2	226	145310	0.884956
0	206	145310	0
2	221	145310	0.904977
2	225	145306	0.888889
3	232	145272	1.2931
6	225	144810	2.66667
