obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
3	352	144670	0.852273
1	367	145054	0.27248
4	361	145111	1.10803
2	355	145111	0.56338
2	360	145111	0.555556
2	378	145111	0.529101
4	362	145111	1.10497
3	361	145111	0.831025
2	373	145111	0.536193
3	374	145111	0.802139
3	372	145111	0.806452
2	388	145113	0.515464
4	371	145114	1.07817
3	355	145114	0.84507
2	376	145114	0.531915
1	358	145114	0.27933
2	356	145114	0.561798
2	358	145114	0.558659
3	387	145114	0.775194
1	378	145114	0.26455
2	361	145114	0.554017
2	390	145114	0.512821
4	362	145114	1.10497
1	360	145114	0.277778
3	383	145113	0.78329
6	368	145113	1.63043
2	394	145114	0.507614
6	333	145114	1.8018
1	362	145114	0.276243
3	374	145114	0.802139
5	341	145114	1.46628
3	338	145114	0.887574
4	355	145114	1.12676
3	345	145114	0.869565
4	341	145114	1.17302
0	368	145114	0
2	356	145114	0.561798
5	371	145114	1.34771
4	373	145114	1.07239
4	361	145112	1.10803
2	376	145112	0.531915
1	387	145112	0.258398
2	369	145112	0.542005
2	352	145112	0.568182
2	401	145112	0.498753
1	380	145112	0.263158
9	380	145112	2.36842
3	407	145108	0.737101
7	369	145074	1.89702
1	362	144636	0.276243
