obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
12	899	327200	1.33482
12	999	360866	1.2012
11	977	366761	1.1259
9	962	369200	0.935551
7	937	370222	0.747065
9	995	370903	0.904523
14	965	371760	1.45078
7	920	372157	0.76087
11	934	372347	1.17773
10	984	372519	1.01626
9	956	372698	0.941423
12	967	372869	1.24095
11	1044	373098	1.05364
10	953	373294	1.04932
9	938	373464	0.959488
20	948	373715	2.1097
6	898	373949	0.668151
13	968	374092	1.34298
12	961	374180	1.2487
10	972	374221	1.02881
5	958	374260	0.521921
14	952	374288	1.47059
13	923	374299	1.40845
10	1004	374324	0.996016
9	920	374334	0.978261
12	861	374348	1.39373
11	967	374353	1.13754
8	982	374360	0.814664
14	934	374374	1.49893
7	936	374379	0.747863
8	976	374388	0.819672
9	968	374399	0.929752
9	1011	374406	0.890208
10	982	374416	1.01833
8	1001	374422	0.799201
13	904	374425	1.43805
8	948	374432	0.843882
10	915	374436	1.0929
9	953	374440	0.944386
12	923	374449	1.30011
13	925	374457	1.40541
12	1012	374471	1.18577
12	870	374478	1.37931
11	938	374482	1.17271
10	950	374497	1.05263
9	1015	374511	0.8867
10	972	374525	1.02881
5	972	374539	0.514403
8	1019	374553	0.785083
12	914	374575	1.31291
12	923	374592	1.30011
7	1009	374592	0.693756
12	912	374592	1.31579
3	963	374592	0.311526
13	938	374600	1.38593
12	934	374601	1.2848
12	937	374605	1.28068
13	931	374606	1.39635
11	991	374606	1.10999
10	928	374606	1.07759
16	980	374606	1.63265
7	938	374606	0.746269
5	1017	374606	0.491642
6	925	374606	0.648649
6	1003	374608	0.598205
5	887	374608	0.563698
10	920	374608	1.08696
8	987	374609	0.810537
7	991	374613	0.706357
11	971	374617	1.13285
8	943	374621	0.848356
11	947	374622	1.16156
5	957	374625	0.522466
11	996	374629	1.10442
6	1007	374633	0.595829
4	948	374632	0.421941
7	944	374628	0.741525
10	987	374624	1.01317
8	985	374624	0.812183
6	1037	374622	0.578592
8	937	374621	0.853789
19	959	374616	1.98123
11	960	374615	1.14583
7	931	374612	0.75188
11	1006	374611	1.09344
5	939	374609	0.532481
12	968	374607	1.23967
10	997	374606	1.00301
9	972	374606	0.925926
12	876	374606	1.36986
9	908	374603	0.991189
6	924	374602	0.649351
8	930	374602	0.860215
8	916	374601	0.873362
7	1029	374599	0.680272
10	941	374598	1.0627
6	918	374598	0.653595
12	975	374598	1.23077
10	964	374597	1.03734
8	986	374592	0.811359
8	924	374580	0.865801
5	977	374550	0.511771
11	966	374518	1.13872
6	955	374510	0.628272
8	945	374501	0.846561
11	918	374495	1.19826
10	933	374484	1.07181
10	932	374477	1.07296
10	971	374468	1.02987
11	926	374464	1.1879
9	1023	374448	0.879765
5	963	374438	0.519211
7	922	374431	0.759219
11	975	374420	1.12821
11	915	374412	1.20219
11	1016	374404	1.08268
12	954	374395	1.25786
10	975	374389	1.02564
13	1027	374385	1.26582
9	976	374383	0.922131
8	907	374377	0.882029
17	932	374367	1.82403
17	937	374364	1.8143
12	1024	374356	1.17188
6	914	374352	0.656455
6	934	374337	0.642398
11	979	374326	1.1236
7	959	374320	0.729927
10	948	374313	1.05485
8	961	374294	0.832466
8	918	374266	0.87146
9	955	374242	0.942408
11	967	374170	1.13754
5	958	373925	0.521921
12	978	373494	1.22699
7	919	373269	0.761697
4	934	373134	0.428266
12	1034	372980	1.16054
12	937	372700	1.28068
8	977	372595	0.818833
10	965	372423	1.03627
8	952	372088	0.840336
12	917	371772	1.30862
8	926	371464	0.863931
12	946	370834	1.2685
15	992	370040	1.5121
12	990	368841	1.21212
12	911	366375	1.31723
8	878	360127	0.911162
7	818	324989	0.855746
