obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
6	344	144754	1.74419
6	341	145246	1.75953
1	359	145309	0.278552
1	335	145309	0.298507
2	371	145309	0.539084
5	362	145309	1.38122
3	368	145309	0.815217
2	336	145309	0.595238
4	350	145309	1.14286
3	364	145309	0.824176
4	313	145309	1.27796
2	425	145309	0.470588
2	338	145309	0.591716
5	384	145309	1.30208
6	363	145311	1.65289
3	355	145312	0.84507
5	366	145312	1.36612
2	338	145312	0.591716
3	327	145312	0.917431
3	372	145312	0.806452
4	369	145312	1.08401
1	348	145312	0.287356
3	385	145312	0.779221
3	383	145312	0.78329
1	374	145311	0.26738
2	367	145311	0.544959
5	367	145312	1.3624
4	374	145312	1.06952
2	358	145312	0.558659
5	374	145312	1.3369
4	363	145312	1.10193
2	370	145312	0.540541
3	377	145312	0.795756
2	390	145312	0.512821
2	360	145312	0.555556
2	370	145312	0.540541
2	362	145312	0.552486
4	349	145312	1.14613
6	349	145312	1.7192
4	381	145310	1.04987
3	369	145310	0.813008
5	350	145310	1.42857
4	345	145310	1.15942
5	378	145310	1.32275
6	402	145310	1.49254
3	403	145310	0.744417
4	380	145310	1.05263
1	378	145306	0.26455
10	394	145272	2.53807
3	416	144810	0.721154
