obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
10	1021	144670	0.979432
14	1096	145054	1.27737
12	1019	145111	1.17763
7	1070	145111	0.654206
9	1062	145111	0.847458
9	1023	145111	0.879765
9	1067	145111	0.843486
5	1063	145111	0.470367
8	998	145111	0.801603
5	1074	145111	0.465549
7	1110	145111	0.630631
7	1052	145113	0.665399
6	1013	145114	0.5923
10	1076	145114	0.929368
7	1036	145114	0.675676
5	986	145114	0.507099
7	1043	145114	0.671141
14	1001	145114	1.3986
10	992	145114	1.00806
6	1022	145114	0.587084
4	1010	145114	0.39604
6	1085	145114	0.552995
10	1089	145114	0.918274
6	1077	145114	0.557103
6	1045	145113	0.574163
7	1100	145113	0.636364
7	1073	145114	0.652377
7	1066	145114	0.65666
7	1076	145114	0.650558
10	1034	145114	0.967118
12	1029	145114	1.16618
10	1037	145114	0.96432
5	986	145114	0.507099
15	1013	145114	1.48075
9	1024	145114	0.878906
12	1048	145114	1.14504
9	1014	145114	0.887574
10	1060	145114	0.943396
13	1088	145114	1.19485
9	1036	145112	0.868726
12	1021	145112	1.17532
13	1045	145112	1.24402
8	1030	145112	0.776699
8	1071	145112	0.746965
11	1040	145112	1.05769
9	1021	145112	0.881489
4	1060	145112	0.377358
6	1059	145108	0.566572
6	1075	145074	0.55814
11	1023	144636	1.07527
