obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
25	2485	327200	1.00604
22	2710	360866	0.811808
37	2732	366761	1.35432
33	2739	369200	1.20482
21	2739	370222	0.766703
19	2764	370903	0.68741
19	2693	371760	0.705533
17	2705	372157	0.628466
30	2835	372347	1.0582
24	2734	372519	0.877835
23	2673	372698	0.860456
23	2779	372869	0.827636
22	2805	373098	0.784314
34	2717	373294	1.25138
26	2734	373464	0.950988
27	2791	373715	0.967395
31	2781	373949	1.11471
24	2758	374092	0.870196
31	2757	374180	1.12441
35	2749	374221	1.27319
24	2794	374260	0.858984
23	2730	374288	0.842491
22	2680	374299	0.820896
25	2804	374324	0.891583
17	2774	374334	0.612833
19	2808	374348	0.676638
15	2741	374353	0.547246
23	2758	374360	0.833938
32	2783	374374	1.14984
36	2859	374379	1.25918
26	2836	374388	0.916784
17	2724	374399	0.624082
27	2772	374406	0.974026
30	2598	374416	1.15473
18	2812	374422	0.640114
22	2730	374425	0.805861
41	2817	374432	1.45545
22	2760	374436	0.797101
27	2789	374440	0.968089
29	2856	374449	1.01541
15	2805	374457	0.534759
20	2750	374471	0.727273
25	2776	374478	0.900576
20	2843	374482	0.703482
20	2750	374497	0.727273
25	2819	374511	0.886839
32	2809	374525	1.1392
28	2835	374539	0.987654
30	2782	374553	1.07836
37	2734	374575	1.35333
27	2740	374592	0.985401
30	2799	374592	1.07181
28	2693	374592	1.03973
35	2835	374592	1.23457
41	2674	374600	1.53328
22	2807	374601	0.783755
31	2694	374605	1.15071
18	2736	374606	0.657895
24	2783	374606	0.862379
26	2847	374606	0.913242
36	2702	374606	1.33235
32	2784	374606	1.14943
32	2815	374606	1.13677
24	2758	374606	0.870196
24	2874	374608	0.835073
30	2704	374608	1.10947
27	2689	374608	1.00409
27	2726	374609	0.990462
24	2825	374613	0.849558
39	2843	374617	1.37179
29	2770	374621	1.04693
35	2847	374622	1.22936
24	2887	374625	0.831313
31	2768	374629	1.11994
25	2932	374633	0.85266
26	2795	374632	0.930233
27	2773	374628	0.973675
25	2763	374624	0.904814
26	2722	374624	0.95518
19	2803	374622	0.677845
26	2816	374621	0.923295
30	2831	374616	1.0597
34	2827	374615	1.20269
35	2764	374612	1.26628
32	2734	374611	1.17045
28	2775	374609	1.00901
22	2801	374607	0.785434
31	2825	374606	1.09735
34	2769	374606	1.22788
30	2772	374606	1.08225
33	2756	374603	1.19739
28	2829	374602	0.989749
27	2755	374602	0.980036
21	2772	374601	0.757576
15	2775	374599	0.540541
27	2684	374598	1.00596
34	2781	374598	1.22258
25	2809	374598	0.889996
24	2866	374597	0.837404
19	2712	374592	0.70059
23	2730	374580	0.842491
26	2865	374550	0.907504
27	2880	374518	0.9375
33	2752	374510	1.19913
20	2793	374501	0.716076
21	2702	374495	0.777202
27	2931	374484	0.921187
23	2745	374477	0.837887
22	2760	374468	0.797101
27	2790	374464	0.967742
17	2754	374448	0.617284
28	2856	374438	0.980392
23	2733	374431	0.841566
29	2888	374420	1.00416
32	2833	374412	1.12954
32	2781	374404	1.15067
23	2765	374395	0.831826
24	2814	374389	0.852878
25	2797	374385	0.893815
30	2783	374383	1.07797
23	2767	374377	0.831225
33	2797	374367	1.17984
22	2743	374364	0.802042
20	2849	374356	0.702001
23	2825	374352	0.814159
32	2765	374337	1.15732
28	2764	374326	1.01302
23	2739	374320	0.839723
35	2786	374313	1.25628
23	2865	374294	0.802792
32	2812	374266	1.13798
31	2638	374242	1.17513
34	2799	374170	1.21472
33	2763	373925	1.19435
26	2810	373494	0.925267
14	2801	373269	0.499821
24	2783	373134	0.862379
35	2679	372980	1.30646
27	2870	372700	0.940767
20	2737	372595	0.730727
27	2834	372423	0.952717
18	2737	372088	0.657654
26	2770	371772	0.938628
24	2793	371464	0.859291
29	2774	370834	1.04542
22	2679	370040	0.821202
33	2701	368841	1.22177
30	2741	366375	1.09449
21	2670	360127	0.786517
31	2440	324989	1.27049
