obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
10	1061	144754	0.942507
13	988	145246	1.31579
10	1010	145309	0.990099
8	1025	145309	0.780488
10	1097	145309	0.911577
17	1079	145309	1.57553
11	1096	145309	1.00365
9	1061	145309	0.848256
13	1083	145309	1.20037
9	1011	145309	0.890208
5	1045	145309	0.478469
11	1068	145309	1.02996
6	1022	145309	0.587084
5	1073	145309	0.465983
11	1058	145311	1.0397
8	998	145312	0.801603
11	1052	145312	1.04563
11	1049	145312	1.04862
8	1012	145312	0.790514
5	1020	145312	0.490196
9	963	145312	0.934579
13	1010	145312	1.28713
9	1009	145312	0.891972
3	1011	145312	0.296736
11	1023	145311	1.07527
14	1134	145311	1.23457
12	1071	145312	1.12045
16	1082	145312	1.47874
15	1027	145312	1.46056
16	1083	145312	1.47738
13	1061	145312	1.22526
9	1046	145312	0.860421
7	1063	145312	0.658514
14	1047	145312	1.33715
7	1059	145312	0.661001
6	1063	145312	0.56444
10	1050	145312	0.952381
7	1104	145312	0.634058
7	998	145312	0.701403
14	1041	145310	1.34486
6	1037	145310	0.578592
8	1071	145310	0.746965
7	1040	145310	0.673077
5	1027	145310	0.486855
7	1024	145310	0.683594
17	1007	145310	1.68818
6	1102	145310	0.544465
10	1055	145306	0.947867
10	1094	145272	0.914077
3	1069	144810	0.280636
