obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
9	840	144670	1.07143
9	832	145054	1.08173
10	884	145111	1.13122
8	833	145111	0.960384
7	814	145111	0.859951
9	859	145111	1.04773
8	929	145111	0.861141
8	863	145111	0.926999
11	869	145111	1.26582
10	898	145111	1.11359
5	862	145111	0.580046
10	867	145113	1.1534
7	856	145114	0.817757
9	913	145114	0.985761
3	940	145114	0.319149
10	858	145114	1.1655
5	802	145114	0.623441
7	837	145114	0.83632
4	882	145114	0.453515
7	823	145114	0.850547
7	832	145114	0.841346
6	834	145114	0.719424
13	785	145114	1.65605
12	824	145114	1.45631
10	843	145113	1.18624
8	814	145113	0.982801
8	803	145114	0.996264
6	904	145114	0.663717
9	851	145114	1.05758
7	832	145114	0.841346
14	816	145114	1.71569
7	847	145114	0.826446
7	853	145114	0.820633
5	896	145114	0.558036
3	860	145114	0.348837
4	867	145114	0.461361
13	834	145114	1.55875
6	834	145114	0.719424
4	869	145114	0.460299
6	846	145112	0.70922
7	796	145112	0.879397
8	818	145112	0.977995
11	867	145112	1.26874
4	814	145112	0.4914
7	857	145112	0.816803
6	832	145112	0.721154
9	903	145112	0.996678
4	828	145108	0.483092
4	889	145074	0.449944
4	796	144636	0.502513
