obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
27	2305	327200	1.17137
21	2255	360866	0.931264
36	2213	366761	1.62675
25	2279	369200	1.09697
17	2244	370222	0.757576
27	2297	370903	1.17545
41	2235	371760	1.83445
25	2166	372157	1.1542
20	2226	372347	0.898473
33	2227	372519	1.48181
37	2268	372698	1.63139
20	2207	372869	0.906208
25	2204	373098	1.1343
27	2208	373294	1.22283
24	2290	373464	1.04803
31	2160	373715	1.43519
14	2236	373949	0.626118
28	2109	374092	1.32764
29	2104	374180	1.37833
25	2194	374221	1.13947
20	2288	374260	0.874126
27	2196	374288	1.22951
23	2148	374299	1.07076
17	2222	374324	0.765077
20	2233	374334	0.895656
21	2249	374348	0.933748
24	2255	374353	1.0643
26	2170	374360	1.19816
28	2207	374374	1.26869
18	2237	374379	0.804649
22	2171	374388	1.01336
19	2155	374399	0.881671
29	2128	374406	1.36278
20	2243	374416	0.891663
28	2186	374422	1.28088
24	2196	374425	1.0929
17	2260	374432	0.752212
25	2213	374436	1.12969
28	2135	374440	1.31148
26	2211	374449	1.17594
27	2166	374457	1.24654
24	2232	374471	1.07527
28	2175	374478	1.28736
29	2141	374482	1.35451
21	2218	374497	0.946799
21	2219	374511	0.946372
26	2161	374525	1.20315
21	2170	374539	0.967742
22	2128	374553	1.03383
22	2195	374575	1.00228
26	2212	374592	1.17541
24	2156	374592	1.11317
27	2167	374592	1.24596
19	2133	374592	0.890764
30	2114	374600	1.41911
25	2199	374601	1.13688
20	2241	374605	0.892459
21	2177	374606	0.96463
23	2263	374606	1.01635
28	2217	374606	1.26297
26	2212	374606	1.17541
29	2185	374606	1.32723
19	2172	374606	0.87477
26	2248	374606	1.15658
34	2275	374608	1.49451
26	2226	374608	1.16801
29	2204	374608	1.31579
19	2176	374609	0.873162
26	2238	374613	1.16175
22	2219	374617	0.991438
32	2156	374621	1.48423
23	2275	374622	1.01099
32	2265	374625	1.4128
28	2302	374629	1.21633
18	2217	374633	0.811908
22	2118	374632	1.03872
29	2201	374628	1.31758
28	2184	374624	1.28205
22	2176	374624	1.01103
22	2199	374622	1.00045
34	2190	374621	1.55251
30	2228	374616	1.3465
26	2174	374615	1.19595
25	2254	374612	1.10914
30	2254	374611	1.33097
25	2240	374609	1.11607
26	2284	374607	1.13835
22	2215	374606	0.993228
21	2205	374606	0.952381
32	2227	374606	1.43691
26	2217	374603	1.17276
23	2198	374602	1.04641
33	2144	374602	1.53918
26	2176	374601	1.19485
23	2247	374599	1.02359
26	2204	374598	1.17967
30	2162	374598	1.3876
18	2182	374598	0.824931
21	2221	374597	0.94552
21	2164	374592	0.970425
15	2215	374580	0.677201
20	2267	374550	0.882223
27	2173	374518	1.24252
32	2203	374510	1.45256
35	2220	374501	1.57658
31	2190	374495	1.41553
29	2141	374484	1.35451
26	2234	374477	1.16383
23	2187	374468	1.05167
25	2214	374464	1.12918
24	2260	374448	1.06195
28	2199	374438	1.27331
19	2234	374431	0.850492
23	2245	374420	1.0245
23	2215	374412	1.03837
31	2216	374404	1.39892
30	2192	374395	1.36861
23	2210	374389	1.04072
28	2178	374385	1.28558
23	2179	374383	1.05553
27	2181	374377	1.23796
28	2246	374367	1.24666
25	2217	374364	1.12765
22	2204	374356	0.998185
19	2171	374352	0.875173
13	2206	374337	0.589302
26	2216	374326	1.17329
24	2159	374320	1.11163
25	2174	374313	1.14995
27	2121	374294	1.27298
28	2208	374266	1.26812
15	2203	374242	0.68089
26	2299	374170	1.13093
21	2192	373925	0.958029
22	2154	373494	1.02136
25	2276	373269	1.09842
22	2324	373134	0.946644
26	2181	372980	1.19211
27	2170	372700	1.24424
21	2212	372595	0.949367
27	2132	372423	1.26642
32	2244	372088	1.42602
22	2198	371772	1.00091
28	2107	371464	1.3289
30	2214	370834	1.35501
19	2138	370040	0.888681
26	2143	368841	1.21325
37	2072	366375	1.78571
16	2119	360127	0.755073
16	1891	324989	0.846113
