obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
8	841	144754	0.951249
8	824	145246	0.970874
9	842	145309	1.06888
3	833	145309	0.360144
11	836	145309	1.31579
9	896	145309	1.00446
8	833	145309	0.960384
8	815	145309	0.981595
4	863	145309	0.463499
5	882	145309	0.566893
3	857	145309	0.350058
9	886	145309	1.0158
9	893	145309	1.00784
7	862	145309	0.812065
6	905	145311	0.662983
10	866	145312	1.15473
7	883	145312	0.792752
10	898	145312	1.11359
5	865	145312	0.578035
6	883	145312	0.679502
4	880	145312	0.454545
6	842	145312	0.712589
7	861	145312	0.813008
5	854	145312	0.58548
11	843	145311	1.30486
8	818	145311	0.977995
9	857	145312	1.05018
7	880	145312	0.795455
9	878	145312	1.02506
10	870	145312	1.14943
13	871	145312	1.49254
12	869	145312	1.3809
8	863	145312	0.926999
2	835	145312	0.239521
9	898	145312	1.00223
10	905	145312	1.10497
6	901	145312	0.665927
11	832	145312	1.32212
4	902	145312	0.443459
12	909	145310	1.32013
9	958	145310	0.939457
14	897	145310	1.56076
6	876	145310	0.684932
7	883	145310	0.792752
5	940	145310	0.531915
5	946	145310	0.528541
4	931	145310	0.429646
4	940	145306	0.425532
17	1068	145272	1.59176
11	1031	144810	1.06693
