Sample	Exon_obs_count	UTR_3_obs_count	UTR_5_obs_count	Intron_obs_count	Non_gene_obs_count	Exon_sim_count	UTR_3_sim_count	UTR_5_sim_count	Intron_sim_count	Non_gene_sim_count	exon_obs_exp_ratio	UTR_3_obs_exp_ratio	UTR_5_obs_exp_ratio	intron_obs_exp_ratio	Non_gene_exp_ratio
pooled_low_Mutant	199	129	63	7541	7770	20017	14015	2645	737971	795073	0.994154968276965	0.920442383160899	2.38185255198488	1.02185587238523	0.977268753938318
pooled_low_WT	639	450	125	24685	28066	66625	48140	8481	2530185	2739065	0.959099437148218	0.934773577066888	1.47388279684	0.975620359776064	1.02465622393043
TCGA-BT-A20T	260	178	46	10186	11246	25776	19540	3053	1031036	1117374	1.00869025450031	0.910951893551689	1.50671470684573	0.987938345508789	1.00646694839866
TCGA-BT-A2LA	127	76	34	5488	6246	14559	10534	1805	560987	608912	0.872312658836458	0.721473324473135	1.88365650969529	0.978275788922025	1.02576398560055
TCGA-BT-A3PH	462	341	106	15353	15279	36725	27784	4423	1476830	1604892	1.25799863852961	1.22732507918226	2.39656341849423	1.03959155759295	0.952026678430698
TCGA-BT-A3PJ	407	306	111	15688	16148	38947	29094	4783	1531324	1662122	1.04500988522864	1.05176325015467	2.3207192138825	1.02447293975671	0.97152916572911
TCGA-CF-A27C	138	96	23	4876	4931	11773	9030	1418	473210	513159	1.17217361759959	1.06312292358804	1.62200282087447	1.03040933200904	0.960910750858896
TCGA-DK-A1A5	277	234	82	12914	13672	31814	24084	3792	1269601	1378796	0.870685861570378	0.971599402092676	2.16244725738397	1.0171699612713	0.99158976382293
TCGA-DK-A1A6	239	202	42	9540	10196	23745	17787	2891	949654	1028767	1.00652769004001	1.13566087592062	1.45278450363196	1.00457640361648	0.991089333153182
TCGA-GD-A2C5	245	173	45	8028	8280	20004	14624	2481	784388	847956	1.2247550489902	1.18298687089716	1.81378476420798	1.0234730770996	0.97646576001585
TCGA-H4-A2HQ	340	230	69	13310	14456	33534	25332	4295	1334312	1447864	1.01389634400907	0.9079425232907	1.60651920838184	0.997517821918712	0.998436317223165
