Sample	Exon_obs_count	UTR_3_obs_count	UTR_5_obs_count	Intron_obs_count	Non_gene_obs_count	Exon_sim_count	UTR_3_sim_count	UTR_5_sim_count	Intron_sim_count	Non_gene_sim_count	exon_obs_exp_ratio	UTR_3_obs_exp_ratio	UTR_5_obs_exp_ratio	intron_obs_exp_ratio	Non_gene_exp_ratio
pooled_low_WT	491	306	92	19448	27309	71736	46083	15388	2289928	2380237	0.684454109512658	0.664019269578804	0.597868468936834	0.849284344311262	1.14732272458583
TCGA-BL-A13J	78	69	21	3882	5833	13124	9353	2512	475322	498112	0.594330996647364	0.737731209237678	0.835987261146497	0.816709514813116	1.17102177823461
TCGA-BT-A20T	81	58	20	4136	5933	13636	9969	2632	490524	514356	0.594015840422411	0.581803591132511	0.759878419452887	0.843179946343094	1.15348124645187
TCGA-BT-A20V	73	64	14	3392	4891	12760	8409	2755	403714	419389	0.572100313479624	0.761089309073612	0.508166969147005	0.840198754563874	1.16622038250884
TCGA-BT-A2LA	110	66	9	3857	4947	16665	8826	4217	431968	439664	0.66006600660066	0.747790618626784	0.213421863884278	0.892890214089933	1.12517740820263
TCGA-BT-A3PJ	223	159	73	9763	11014	26601	20309	4562	1006936	1063484	0.838314349084621	0.782904131173371	1.60017536168347	0.969575027608507	1.03565262853038
TCGA-DK-A1A5	68	60	19	3362	4734	11768	7993	2332	395792	411301	0.577838205302515	0.750656824721631	0.8147512864494	0.849436067429357	1.15098188431343
TCGA-DK-A1A6	142	58	26	6220	9353	20723	15136	3941	758300	797771	0.685228972639097	0.383192389006342	0.659731032732809	0.820255835421337	1.17239157602871
TCGA-DK-A1A7	190	149	52	7868	7811	21511	15399	4388	761436	802327	0.883269025149923	0.967595298396	1.18505013673655	1.03331074443551	0.973543206198969
TCGA-DK-A1AA	65	49	6	3490	6153	12468	9543	2265	468633	494163	0.521334616618543	0.513465367284921	0.264900662251656	0.74471921524946	1.24513571432908
TCGA-DK-A3IL	151	91	30	6332	8743	20083	15134	3736	736126	771097	0.75187969924812	0.601295097132285	0.802997858672377	0.860178828081062	1.13383919273451
TCGA-FD-A3N5	327	257	59	14497	15984	35905	29108	5976	1473756	1568163	0.910736666202479	0.882918785213687	0.987282463186078	0.983677080873632	1.01928179659895
TCGA-FT-A3EE	88	69	21	3839	4408	10716	8017	2072	403269	424175	0.82120194102277	0.860671073967818	1.01351351351351	0.951970024970925	1.03919372900336
TCGA-GD-A2C5	83	50	17	3609	5646	12384	9053	2357	451027	473832	0.670219638242894	0.552303103943444	0.72125583368689	0.800173825513772	1.1915615661247
TCGA-H4-A2HQ	211	188	46	12734	20060	39299	31569	6535	1591068	1688985	0.536909336115423	0.595520922423897	0.703902065799541	0.800342914319187	1.18769556864034
