Sample	Exon_obs_count	UTR_3_obs_count	UTR_5_obs_count	Intron_obs_count	Non_gene_obs_count	Exon_sim_count	UTR_3_sim_count	UTR_5_sim_count	Intron_sim_count	Non_gene_sim_count	exon_obs_exp_ratio	UTR_3_obs_exp_ratio	UTR_5_obs_exp_ratio	intron_obs_exp_ratio	Non_gene_exp_ratio
pooled_low_WT	497	309	118	19737	23005	60560	40444	10814	2067057	2194821	0.820673712021136	0.764019384828405	1.09117810245977	0.954835788272892	1.04814925681867
TCGA-BL-A13J	138	119	32	6641	8965	20377	14715	3420	756764	803512	0.677234136526476	0.808698606863744	0.935672514619883	0.877552314856415	1.11572695865152
TCGA-BT-A20T	341	236	66	14322	17179	39412	29509	5685	1521560	1631730	0.865218715112149	0.799756006642041	1.16094986807388	0.941270801020006	1.05280898187813
TCGA-BT-A20V	122	111	21	5387	7374	18697	12444	3521	620231	652700	0.652511098037118	0.891996142719383	0.596421471172962	0.868547363804776	1.12976865328635
TCGA-BT-A2LA	237	142	43	9345	11193	31224	19360	6022	992955	1048576	0.759031514219831	0.733471074380165	0.714048488874128	0.941130262700727	1.06744766235352
TCGA-BT-A3PH	558	409	124	18635	19589	48657	35312	7062	1849596	1991119	1.14680313212898	1.15824648844585	1.75587652223166	1.00751731729524	0.983818646700674
TCGA-BT-A3PJ	630	465	184	25451	27162	65548	49403	9345	2538260	2725606	0.961127723195216	0.941238386332814	1.96896736222579	1.00269475940211	0.996549024327067
TCGA-CF-A27C	189	136	32	6689	7465	18263	13281	2763	687673	735715	1.03487926408586	1.02401927565695	1.15816141874774	0.9727006876815	1.01465920906873
TCGA-DK-A1A5	345	294	101	16276	18406	43582	32077	6124	1665393	1790097	0.791611215639484	0.916544564641332	1.64924885695624	0.977306857900808	1.02821243765003
TCGA-DK-A1A6	381	260	68	15760	19549	44468	32923	6832	1707954	1826538	0.856795898173968	0.789721471311849	0.995316159250586	0.922741478985968	1.07027611798933
TCGA-DK-A1A7	256	193	70	10107	9953	27639	19457	5251	973429	1029984	0.926227432251529	0.991930924602971	1.33307941344506	1.03828836001393	0.966325690496163
TCGA-DK-A1AA	99	71	14	4825	7927	16291	12399	2765	617773	655518	0.607697501688049	0.572626824743931	0.506329113924051	0.78103122020548	1.20927266680701
TCGA-DK-A1AE	143	105	17	5767	7894	17814	12864	2793	662131	705456	0.802739418434939	0.816231343283582	0.608664518438955	0.870975683059697	1.11899253815972
TCGA-DK-A3IL	210	121	33	8215	11044	25548	19059	4492	935606	985254	0.821982151244716	0.634870664777795	0.734639358860196	0.87804054270708	1.12092922231222
TCGA-FD-A3N5	408	306	86	17865	19609	44928	35541	7132	1810619	1930972	0.908119658119658	0.860977462648772	1.20583286595625	0.98667914122187	1.01549893007252
TCGA-FD-A3N6	141	85	26	5562	7942	19087	12958	3348	657117	696019	0.738722690836695	0.655965426763389	0.776583034647551	0.846424609316149	1.14106080437459
TCGA-FT-A3EE	140	105	39	5773	6411	15582	11541	2698	592384	628782	0.898472596585804	0.909799844034312	1.44551519644181	0.974536786949006	1.01959025544624
TCGA-GD-A2C5	328	223	62	11637	13926	32388	23677	4838	1235415	1321788	1.0127207607756	0.94184229420957	1.28152128978917	0.941950680540547	1.05357288763402
TCGA-H4-A2HQ	551	418	115	26044	34516	72833	56901	10830	2925380	3136849	0.756525201488336	0.734609233581132	1.06186518928901	0.890277502409943	1.10033986334694
