"Sample"	"Open_obs"	"Closed_obs"	"Open_CSB_subtract_obs"	"Closed_CSB_subtract_obs"	"Open_CSB_gene_subtract_obs"	"Closed_CSB_gene_subtract_obs"	"Open_exp"	"Closed_exp"	"Open_CSB_subtract_exp"	"Closed_CSB_subtract_exp"	"Open_CSB_gene_subtract_exp"	"Closed_CSB_gene_subtract_exp"	"Obs_exp_Open"	"Obs_exp_Closed"	"Obs_exp_Open_CBS_subtract"	"Obs_exp_Closed_CBS_subtract"	"Obs_exp_Open_CSB_gene_subtract"	"Obs_exp_Closed_CSB_gene_subtract"
"pooled_low_WT"	13558	20075	13552	20074	6600	12781	1970362	1641589	1969863	1641327	883187	975123	0.68809690808085	1.22290049458177	0.687966625090171	1.22303477612931	0.747293608261897	1.31070644421268
"TCGA-BL-A13J"	2468	4504	2468	4503	1213	2901	402465	342900	402371	342844	180952	204682	0.613221025430783	1.31350247885681	0.613364283211265	1.31342534797167	0.670343516512666	1.41732052647522
"TCGA-BT-A20T"	2763	4504	2761	4504	1358	2914	417292	354453	417194	354401	187671	211621	0.662126280877659	1.27069033129921	0.661802422853637	1.2708767751784	0.723606737322229	1.37698999626691
"TCGA-BT-A20V"	2265	3373	2264	3373	1142	2175	347823	289296	347742	289250	155915	171878	0.651193279340354	1.16593385321608	0.651057393124788	1.16611927398444	0.732450373601001	1.26543245790619
"TCGA-BT-A2LA"	2920	3701	2919	3699	1426	2276	379967	304193	379872	304135	169412	178985	0.768487789729108	1.2166617903765	0.768416729845843	1.21623621089319	0.841734942034803	1.27161493979942
"TCGA-BT-A3PJ"	8067	7865	8036	7851	3726	4859	853011	731744	852835	731656	383839	437419	0.945708789218427	1.07482944855031	0.942269020384951	1.07304525624064	0.970719494371338	1.11083423445255
"TCGA-DK-A1A5"	2449	3445	2449	3445	1236	2253	338947	283786	338865	283739	152305	168474	0.722531841261318	1.21394290063639	0.722706682602216	1.2141439844364	0.811529496733528	1.33729833683536
"TCGA-DK-A1A6"	3767	7339	3765	7336	1932	4703	643525	550168	643374	550077	290549	328598	0.585369643758984	1.33395617338704	0.585196168946833	1.3336314734119	0.664948081046571	1.43123208297068
"TCGA-DK-A1A7"	6665	5854	6639	5844	2950	3458	647499	552904	647355	552819	290914	330183	1.02934521906598	1.05877331326957	1.02555784693097	1.05712719714771	1.01404538798408	1.04729801352583
"TCGA-DK-A1AA"	2157	4577	2157	4576	1137	3094	397080	339749	396993	339705	178888	202802	0.543215472952554	1.34717099976748	0.543334517233301	1.34705111788169	0.635593220338983	1.52562598001992
"TCGA-DK-A3IL"	4425	6062	4424	6061	2150	3861	627761	531237	627619	531141	282523	316796	0.704886095185907	1.14111027658089	0.704886244680292	1.14112825031395	0.760999989381395	1.21876538845187
"TCGA-FD-A3N5"	11893	11552	11859	11536	5409	7051	1239163	1076483	1238878	1076350	560252	645136	0.959760741726472	1.07312423884074	0.95723711293606	1.07177033492823	0.965458400862469	1.09294784355547
"TCGA-FT-A3EE"	3224	3183	3211	3175	1511	1928	340857	291974	340783	291928	153362	174622	0.945851192728916	1.09016556268709	0.942241837180845	1.08759694171165	0.985250583586547	1.10409913985638
"TCGA-GD-A2C5"	2314	4052	2313	4052	1142	2640	384197	326012	384116	325954	173085	194320	0.602295176693207	1.24289903439137	0.60216184694207	1.24312019487412	0.659791431955398	1.35858377933306
"TCGA-H4-A2HQ"	7346	15903	7341	15898	3826	10331	1343252	1158901	1342963	1158742	607228	694183	0.5468817466864	1.37224836288863	0.546627122266213	1.37200515731716	0.630076346940523	1.48822428667945
