"Sample"	"Open_obs"	"Closed_obs"	"Open_CSB_subtract_obs"	"Closed_CSB_subtract_obs"	"Open_CSB_gene_subtract_obs"	"Closed_CSB_gene_subtract_obs"	"Open_exp"	"Closed_exp"	"Open_CSB_subtract_exp"	"Closed_CSB_subtract_exp"	"Open_CSB_gene_subtract_exp"	"Closed_CSB_gene_subtract_exp"	"Obs_exp_Open"	"Obs_exp_Closed"	"Obs_exp_Open_CBS_subtract"	"Obs_exp_Closed_CBS_subtract"	"Obs_exp_Open_CSB_gene_subtract"	"Obs_exp_Closed_CSB_gene_subtract"
"pooled_low_WT"	15603	16745	15600	16743	7168	10362	1761523	1509925	1761153	1509725	796026	903923	0.885767599968891	1.10899547990794	0.885783347613751	1.10900991902499	0.90047310012487	1.14633657955379
"TCGA-BL-A13J"	4541	6906	4541	6905	2117	4406	639856	552321	639717	552249	289549	330887	0.709690930459353	1.25035984509008	0.709845134645476	1.25034178423139	0.731137044161783	1.33157240991638
"TCGA-BT-A20T"	11331	12659	11325	12659	5299	7929	1282169	1121002	1281912	1120870	583386	673651	0.883736855281948	1.12925757491958	0.883445977571003	1.12939056268791	0.908317991861306	1.17701896085659
"TCGA-BT-A20V"	3694	5086	3692	5085	1817	3251	531033	449616	530926	449553	239515	268644	0.695625318953813	1.13118750222412	0.695388811246765	1.13112358275887	0.758616370582218	1.21015172495943
"TCGA-BT-A2LA"	7365	8311	7362	8309	3475	5084	853426	721177	853251	721057	385630	431298	0.862992221938399	1.15242166624837	0.862817623419135	1.15233608438723	0.901122837953479	1.17876734879364
"TCGA-BT-A3PH"	16482	13901	16477	13899	7435	8409	1561406	1369027	1561105	1368850	710645	823352	1.05558707984983	1.01539268400112	1.05547032390518	1.0153778719363	1.04623264780587	1.02131287711696
"TCGA-BT-A3PJ"	22110	18994	22074	18976	10039	11576	2141399	1873428	2140966	1873212	972901	1126614	1.03250258359138	1.01386335637132	1.03102991827054	1.01301934858414	1.03186244026885	1.0275036525376
"TCGA-CF-A27C"	5336	5652	5334	5652	2427	3444	581635	505432	581518	505380	264777	303273	0.917413842014322	1.11825131768467	0.917254495991526	1.11836637777514	0.916620401318846	1.13561048955891
"TCGA-DK-A1A5"	13445	13343	13444	13340	6358	8299	1405307	1229004	1405045	1228848	640103	738573	0.956730451068699	1.0856758806318	0.956837681355401	1.08556957410518	0.993277644379108	1.1236533152444
"TCGA-DK-A1A6"	11990	14685	11982	14682	5735	9177	1440807	1257106	1440509	1256937	654821	754881	0.832172525536036	1.16815924830523	0.831789318914356	1.16807763634932	0.875811863089302	1.21568830054009
"TCGA-DK-A1A7"	8737	7386	8710	7375	3836	4388	828014	709911	827836	709796	373477	424402	1.0551753955851	1.04041210799664	1.05214076217995	1.03903093283141	1.02710474808355	1.033925382067
"TCGA-DK-A1AA"	3142	5891	3142	5889	1595	3927	523118	450324	522999	450266	236493	269641	0.600629303522341	1.30816922926604	0.600765967047738	1.30789355625341	0.674438566892043	1.45638089162998
"TCGA-DK-A1AE"	4429	5601	4428	5601	2135	3559	561049	484355	560937	484291	254262	290837	0.789414115344649	1.15638323130762	0.789393461297793	1.15653604960654	0.839685049279877	1.2237095005106
"TCGA-DK-A3IL"	5742	7727	5741	7726	2773	4901	796386	678732	796219	678619	359480	405443	0.721007149799218	1.13844639710519	0.721032781182062	1.13848860700924	0.771392010682096	1.20880123716527
"TCGA-FD-A3N5"	14732	14109	14692	14092	6671	8581	1524951	1325475	1524622	1325308	690795	794988	0.966063827624625	1.0644485939003	0.963648694561668	1.06330000271635	0.965698941075138	1.07938736182181
"TCGA-FD-A3N6"	3934	5437	3932	5437	1885	3447	561359	479068	561231	479002	254290	286646	0.700799310245315	1.1349119540441	0.700602782098637	1.13506832956856	0.741279641354359	1.20252855438415
"TCGA-FT-A3EE"	4933	4546	4917	4536	2251	2750	500485	431689	500382	431630	226517	258646	0.985643925392369	1.05307292981753	0.98264925596844	1.05090007645437	0.99374439887514	1.06322927862793
"TCGA-GD-A2C5"	9347	9987	9344	9986	4250	6208	1044899	907534	1044710	907415	474819	545011	0.894536218333064	1.10045463861409	0.89441088914627	1.10048875101249	0.895077913899823	1.13905957861401
"TCGA-H4-A2HQ"	18510	26602	18505	26595	8984	16779	2467763	2151345	2467265	2151075	1121546	1292890	0.750072028796931	1.2365287761842	0.750020771988416	1.23635856490359	0.801037139805233	1.29779022190596
