Sample	Bin_1_obs_counts	Bin_2_obs_counts	Bin_3_obs_counts	Bin_4_obs_counts	Bin_5_obs_counts	Bin_1_sim_counts	Bin_2_sim_counts	Bin_3_sim_counts	Bin_4_sim_counts	Bin_5_sim_counts	Bin_1_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_Mutant	3220	2809	2847	2929	3306	289734	298101	302632	304341	305457	1.11136421683337	0.942298080180878	0.940746517222237	0.962407299706579	1.08231273141555
pooled_low_WT	12838	10203	9547	9557	9737	1011718	1033549	1038214	1035701	1035046	1.2689306704042	0.987181062533078	0.919559936583402	0.922756664326867	0.940731136587166
TCGA-BT-A20T	4680	4266	4052	3971	4170	418043	423340	423802	420385	414217	1.11950206079279	1.00770066613124	0.956106861222929	0.944610297703296	1.00671870058448
TCGA-BT-A2LA	2825	2328	2156	2062	2148	225922	229499	230142	229581	228911	1.25043156487637	1.01438350493902	0.936812924194628	0.89815794861073	0.93835595493445
TCGA-BT-A3PH	5509	5556	5927	6281	7157	600333	609624	607230	603253	592191	0.917657366828077	0.911381441675525	0.976071669713288	1.04118835712379	1.20856277788754
TCGA-BT-A3PJ	6721	5635	5862	6194	7079	620019	629196	628092	626014	619830	1.08399903873914	0.895587384535185	0.933302764563153	0.989434741076078	1.1420873465305
TCGA-CF-A27C	2033	1938	1847	1782	2105	190859	195340	193790	193132	191167	1.06518424596168	0.992116310023549	0.953093554878993	0.922685003003127	1.10113147143597
TCGA-DK-A1A5	5478	5038	5080	4977	5517	514558	524535	522465	517822	509808	1.06460301851298	0.960469749397085	0.972313934904731	0.961141087091703	1.08217211185387
TCGA-DK-A1A6	4097	3774	3680	3787	4141	383838	389902	390022	387203	382699	1.06737738316686	0.967935532518428	0.943536518452805	0.978039942872343	1.08205142945239
TCGA-GD-A2C5	3266	3018	2966	3094	3784	315183	321954	321696	320106	317340	1.03622340037375	0.937400995173224	0.921988461155874	0.966554828712989	1.19241192411924
TCGA-H4-A2HQ	6096	5342	5120	5189	5710	536965	548642	548676	546253	540054	1.13526952408444	0.97367682386693	0.933155450575567	0.949926133128788	1.05730167723968
