Sample	Bin_1_obs_counts	Bin_2_obs_counts	Bin_3_obs_counts	Bin_4_obs_counts	Bin_5_obs_counts	Bin_1_sim_counts	Bin_2_sim_counts	Bin_3_sim_counts	Bin_4_sim_counts	Bin_5_sim_counts	Bin_1_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	15783	9724	7571	6683	6403	848612	872685	904990	944402	1022578	1.8598605723228	1.11426230541375	0.836583829655576	0.707643567040307	0.626162503007106
TCGA-BL-A13J	3710	2155	1512	1163	1045	184355	186038	188408	193579	202476	2.01242168642022	1.15836549522141	0.802513693686043	0.600788308649182	0.51611055137399
TCGA-BT-A20T	3421	2197	1624	1392	1272	187999	190452	194770	200857	212234	1.81969053026878	1.15357150358095	0.833803973917954	0.693030364886462	0.599338466032775
TCGA-BT-A20V	2991	1750	1296	1104	1017	149770	153826	160028	166078	180392	1.99706216198171	1.1376490320232	0.80985827480191	0.664747889545876	0.563772229367156
TCGA-BT-A2LA	2435	1858	1514	1323	1537	149918	156955	168027	179985	206664	1.62422124094505	1.18377879009907	0.901045665279985	0.735061255104592	0.743719273797081
TCGA-BT-A3PJ	4989	3995	3792	3718	3966	395026	396830	402764	410222	425655	1.26295484347866	1.00672832195147	0.941494274562771	0.906338519143293	0.931740494062092
TCGA-DK-A1A5	2600	1686	1356	1173	1150	147551	151889	156614	162225	174516	1.76210259503494	1.11002113385433	0.865822978788614	0.723069810448451	0.65896536707236
TCGA-DK-A1A6	5708	3648	2486	1808	1664	292145	297969	302173	309427	324554	1.95382429957726	1.22428843268931	0.822707521850066	0.584305829808	0.512703587076419
TCGA-DK-A1A7	3325	2999	2964	2940	3261	295904	298973	303899	310193	326381	1.12367524602574	1.00310061443676	0.975324038578607	0.947797016696057	0.999139043020274
TCGA-DK-A1AA	3823	2161	1526	1054	871	182137	184962	187729	190713	198692	2.09896945705705	1.16834809312183	0.812873876705251	0.552662901847278	0.438366919654541
TCGA-DK-A3IL	4413	3282	2536	2334	2286	279634	285759	292751	301762	318628	1.57813427551728	1.14852025657985	0.866265187821732	0.773457227881576	0.717451071468923
TCGA-FD-A3N5	7402	6036	5547	5554	5441	588828	589983	593160	598202	608091	1.2570733728695	1.02308032604329	0.935160833501922	0.928448918592716	0.894767395011602
TCGA-FT-A3EE	2020	1572	1522	1513	1554	158344	158064	160620	164037	170065	1.27570353155156	0.994533859702399	0.947578134727929	0.922352883800606	0.913768265075118
TCGA-GD-A2C5	3653	2006	1309	1119	1051	172671	175712	180057	183865	195214	2.11558397183082	1.14164086687307	0.726992008086328	0.60859870013325	0.538383517575584
TCGA-H4-A2HQ	12771	7820	5029	3608	3064	629023	633007	638012	648591	663547	2.03029142018654	1.23537338449654	0.788229688469809	0.556282772964781	0.461760809709033
