obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	23	11187	0
3	16	11187	18.75
1	25	11187	4
1	25	11187	4
1	17	11187	5.88235
0	27	11187	0
2	14	11187	14.2857
0	27	11187	0
0	13	11187	0
2	16	11187	12.5
0	12	11187	0
0	6	11187	0
0	19	11187	0
0	6	11187	0
0	11	11187	0
3	38	11187	7.89474
0	1	11187	0
2	26	11187	7.69231
0	7	11187	0
1	5	11187	20
1	8	11187	12.5
0	6	11187	0
0	15	11187	0
0	11	11187	0
1	19	11187	5.26316
1	20	11187	5
1	19	11187	5.26316
0	22	11187	0
0	24	11187	0
3	21	11187	14.2857
0	16	11187	0
1	14	11187	7.14286
1	17	11187	5.88235
1	23	11187	4.34783
0	18	11187	0
1	18	11187	5.55556
4	22	11187	18.1818
0	20	11187	0
1	15	11187	6.66667
