Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	3439	3418	3015	2962	2945	2784.58	2909.38	3074.43	3304.93	3711.73	1.23501569356959	1.17482075218775	0.980669587533299	0.896236834063051	0.793430556640704
TCGA-BL-A13J	841	697	650	583	553	623.55	627.33	647.25	669.88	714.59	1.34872905139925	1.11105797586597	1.00424874468907	0.870305129276885	0.773870331238892
TCGA-BT-A20T	734	720	650	636	600	624.46	643.55	664.27	696.77	761.65	1.17541555904301	1.11879418848574	0.97851777138814	0.9127832713808	0.78776340838968
TCGA-BT-A20V	633	548	456	464	472	492.17	514.33	538.01	577.69	654.55	1.28614096755186	1.06546380728326	0.847567889072694	0.803198947532413	0.721106103429837
TCGA-BT-A2LA	598	571	546	638	693	472.08	512.36	565.07	638.86	779.46	1.26673445178783	1.11445077679756	0.966251968782629	0.998653852174185	0.889077053344623
TCGA-BT-A3PJ	1503	1410	1358	1414	1425	1330.64	1351.37	1374.88	1417.78	1495.1	1.12953165394096	1.0433856012787	0.987722564878389	0.997333859978276	0.953113504113437
TCGA-DK-A1A5	628	569	527	538	519	488.53	508.71	528.13	565.47	628.51	1.28548912042249	1.11851546067504	0.997860375286388	0.951420941871364	0.825762517700594
TCGA-DK-A1A6	1225	1198	1006	1014	845	980.49	1003.35	1032.32	1075.46	1153.45	1.24937531234383	1.19400009966612	0.974504029758215	0.942852360850241	0.732584854133252
TCGA-DK-A1A7	1053	1086	1019	1082	1158	993.08	1011.71	1033.58	1070.29	1154.92	1.06033753574737	1.07343013314092	0.98589368989338	1.01094095992675	1.00266685138365
TCGA-DK-A1AA	801	763	668	574	489	613.75	623.5	637.87	655.45	702.64	1.3050916496945	1.22373696872494	1.04723533008293	0.875734228392707	0.69594671524536
TCGA-DK-A3IL	1024	1021	928	951	998	929.34	958.43	997.25	1051.96	1142.5	1.10185723201412	1.06528384962908	0.93055903735272	0.904026769078672	0.873522975929978
TCGA-FD-A3N5	2364	2205	2048	2109	1938	2013.72	2012.56	2021.97	2055.64	2108.42	1.17394672546332	1.09561950948046	1.01287358368324	1.02595785254227	0.919171702032802
TCGA-FT-A3EE	573	540	584	568	570	531.14	537.6	548.88	566.13	602.91	1.07881161275747	1.00446428571429	1.06398484185979	1.00330312825676	0.945414738518187
TCGA-GD-A2C5	811	764	555	535	532	583.23	593.37	614.42	639.32	693.26	1.39053203710372	1.28756088106915	0.903290908499072	0.836826628292561	0.76738885843695
TCGA-H4-A2HQ	2788	2521	2175	1907	1691	2129.73	2147.53	2181.48	2229.96	2313.41	1.30908612828856	1.17390676730942	0.997029539578635	0.855172290085921	0.730955602335946
