Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	3459	3495	3223	3005	2597	3034.49	3012.95	3066.87	3161.12	3509.62	1.13989500706873	1.15999269818616	1.05090858106147	0.950612441160095	0.739966150181501
TCGA-BL-A13J	766	768	707	612	471	646.77	641.34	642.01	654.82	697.66	1.18434683117646	1.19749274955562	1.10122895282005	0.934607983873431	0.675113952355015
TCGA-BT-A20T	754	755	664	662	505	659.79	656.25	667.34	674.6	732.72	1.1427878567423	1.15047619047619	0.994995054994456	0.981322265045953	0.689212796156786
TCGA-BT-A20V	559	626	529	454	405	534.29	528.98	538.76	554.73	619.99	1.046248292126	1.18340958070248	0.981884326973049	0.818416166423305	0.653236342521654
TCGA-BT-A2LA	600	606	666	581	593	553.13	543.88	565.19	591.81	713.82	1.08473595718909	1.11421637125837	1.17836479767866	0.981734002467008	0.830741643551596
TCGA-BT-A3PJ	1318	1470	1412	1422	1488	1370.95	1361.46	1376.91	1396.84	1463.61	0.96137714723367	1.07972323828831	1.02548459957441	1.01801208441912	1.01666427531924
TCGA-DK-A1A5	597	597	573	536	478	522.69	521.17	534.72	544.39	596.38	1.14216839809447	1.14549954909147	1.07158886894075	0.984588254743842	0.80150239780006
TCGA-DK-A1A6	1254	1246	1112	970	706	1020.63	1024	1034.08	1048.7	1117.66	1.22865289086153	1.216796875	1.07535200371345	0.924954705826261	0.631676896372779
TCGA-DK-A1A7	905	1087	1069	1135	1202	1029.12	1025.1	1031.5	1057.71	1120.15	0.87939210199005	1.06038435274607	1.03635482307319	1.07307295950686	1.07307057090568
TCGA-DK-A1AA	804	814	657	589	431	630.1	633.58	637.63	650.2	681.7	1.27598793842247	1.2847627766028	1.03037811897182	0.905875115349123	0.632242922106498
TCGA-DK-A3IL	1075	1065	1018	902	862	983.61	986.04	994.28	1027.17	1088.38	1.09291284147172	1.0800778873068	1.02385645894517	0.878140911436276	0.792002793142101
TCGA-FD-A3N5	1878	2173	2247	2164	2202	2028.72	2023.57	2030.03	2038.44	2091.55	0.925706849639181	1.07384473974214	1.10688019388876	1.06159612252507	1.05280772632736
TCGA-FT-A3EE	554	565	600	536	580	545.9	542.1	550.55	557.47	590.64	1.01483788239604	1.04224312857406	1.08981927163745	0.961486716773997	0.981985642692672
TCGA-GD-A2C5	789	725	647	583	453	610.94	606.4	612.13	628.2	665.93	1.29145251579533	1.19558047493404	1.05696502376946	0.928048392231773	0.680251678104305
TCGA-H4-A2HQ	2638	2560	2301	2082	1501	2161.61	2171.7	2186.82	2203.25	2278.73	1.22038665624234	1.17880001841875	1.05221280215107	0.944967661409282	0.658700240923672
