Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
DO10839	308	338	337	380	357	259.2	287.32	323.39	371.29	451.39	1.18827160493827	1.17638869553112	1.04208540771205	1.02345875191899	0.790890360885266
DO10840	384	421	423	452	523	303.76	355.5	417.68	496.05	642.05	1.26415591256255	1.18424753867792	1.01273702355871	0.911198467896381	0.814578303870415
DO10841	156	178	168	228	213	123.28	147.02	177.07	215.6	289.17	1.26541207008436	1.21071962998232	0.948777319704072	1.05751391465677	0.736590932669364
DO10843	427	394	393	424	394	337.07	363.93	396.43	436.98	499.66	1.26679918117898	1.08262577968291	0.991347778926923	0.970296123392375	0.788536204619141
DO10844	108	156	140	152	147	98.14	112.74	133.07	158.72	210.3	1.10046871815773	1.38371474188398	1.05207785376118	0.957661290322581	0.699001426533523
DO10858	606	662	653	652	635	493.42	549.93	614.34	698	836.23	1.22816262008026	1.20378957321841	1.06292932252499	0.934097421203438	0.759360463030506
DO50306	387	370	413	506	513	300.64	351.17	414.92	500.98	653.49	1.28725385843534	1.05362075348122	0.995372601947363	1.01002036009422	0.785015838038838
DO50307	370	417	375	470	427	301.19	341.33	395.84	466.62	593.26	1.22846044025366	1.22169161808221	0.947352465642684	1.00724358150101	0.719751879445774
DO50309	181	195	200	239	247	161.51	184.34	209.56	243.28	301.17	1.12067364249892	1.05782792665726	0.954380606986066	0.982407102926669	0.820134807583757
DO50311	370	413	415	499	591	291.14	340.64	412.04	504.35	674.68	1.27086624991413	1.21242367308596	1.00718376856616	0.989392287102211	0.875970830615996
DO50314	335	366	401	437	491	283.29	328.32	389.24	459.79	600.54	1.18253379928695	1.11476608187134	1.03021272222793	0.950433893734096	0.817597495587305
DO50315	400	413	400	415	451	315.91	358.29	412.28	477.9	594.47	1.26618340666646	1.15269753551592	0.970214417386242	0.868382506800586	0.758658973539455
DO50316	357	363	377	400	441	266.01	305.82	360.37	425.72	540.76	1.34205480996955	1.18697272905631	1.04614701556733	0.939584703561026	0.815518899326873
DO50318	235	248	312	363	384	197.48	232.78	280.35	338.41	450.58	1.18999392343528	1.06538362402268	1.11289459604066	1.07266333737183	0.852234897243553
DO50319	361	377	406	411	477	278.81	322.16	378.92	452.35	577.44	1.2947885656899	1.17022597467097	1.07146627256413	0.908588482369846	0.826059850374065
DO50320	441	458	449	445	456	318.98	362.52	415.79	476.85	592.14	1.38253182017681	1.26337857221671	1.07987205079487	0.933207507601971	0.77008815482825
DO50321	220	261	222	251	323	184.71	211.99	245.38	290.27	363.3	1.19105625033837	1.2311901504788	0.904719211019643	0.864712164536466	0.889072391962565
DO50323	780	834	804	872	844	678.18	741.04	810.66	891.49	1032.87	1.15013713173494	1.12544532009068	0.991784471911776	0.978137724483729	0.817140588844676
DO50325	255	281	303	332	363	204.94	237.58	275.87	335.75	434.4	1.24426661461891	1.18275949153969	1.0983434226266	0.988830975428146	0.835635359116022
DO50326	758	813	789	845	838	580.47	657.57	754.37	885.29	1103.33	1.30583837235344	1.23637027236644	1.04590585521694	0.954489489319884	0.759518910933266
DO50327	155	140	151	162	170	111.48	129.23	146.43	167.92	212.87	1.39038392536778	1.08333978178442	1.03120945161511	0.964745116722249	0.798609479964297
DO50328	339	388	379	446	517	294.75	341.74	400.53	473.79	602.66	1.1501272264631	1.13536606777082	0.946246223753527	0.941345321767028	0.857863471941061
DO50329	265	273	320	374	430	210.05	250.09	299.55	369.37	490.27	1.26160437990955	1.09160702147227	1.06826907027207	1.01253485664781	0.877067738185082
DO50330	413	397	386	406	401	279.83	330.7	381.44	451.56	578.56	1.47589607976271	1.20048382219534	1.01195469798658	0.899105323766498	0.693100110619469
DO50331	343	408	367	468	537	271.04	320.08	388.71	474.73	639.01	1.2654958677686	1.27468132966758	0.944148594067557	0.985823520738104	0.840362435642635
DO50332	414	418	457	547	562	350.09	402.69	466.99	541.81	692.21	1.18255305778514	1.03801932007251	0.978607678965288	1.00957900370979	0.811892344808656
DO50334	309	332	335	392	396	239.95	278.98	317.69	379.35	484.86	1.28776828505939	1.19004946591153	1.05448707859863	1.03334651377356	0.816730602648187
DO50336	221	197	254	258	293	164.96	196.28	230.89	280.02	362.06	1.33971871968962	1.00366822906053	1.10009095240158	0.921362759802871	0.809258134010937
DO50337	411	398	460	527	541	327.63	381.99	440.59	518.23	657.21	1.25446387693435	1.04191209193958	1.04405456319935	1.01692298786253	0.823176762374279
DO50338	235	268	267	310	316	204.31	234.55	270.16	318.28	403.48	1.15021291175175	1.14261351524195	0.988303227716908	0.973985170290311	0.783186279369485
DO50339	594	579	517	532	458	458.2	497.11	538.42	593.3	674.97	1.29637712789175	1.16473215183762	0.960216931020393	0.896679588740941	0.678548676237462
DO50340	248	248	295	291	317	185.27	215.95	253.44	306.5	395.65	1.33858692718735	1.14841398471868	1.16398358585859	0.949429037520392	0.801213193479085
DO50341	310	347	315	361	411	255.3	291.1	330.7	379.43	464.05	1.21425773599687	1.19203023016146	0.952524947081947	0.951427140711067	0.885680422368279
DO50342	540	520	486	530	539	441.46	477.11	516.93	563.87	641.78	1.22321388121234	1.08989541195951	0.940165979919912	0.939932963271676	0.839851662563495
DO50343	498	459	501	498	527	354.16	407.34	475.37	559.14	721.75	1.40614411565394	1.12682280159081	1.05391589709069	0.890653503594806	0.730169726359543
DO50345	308	333	303	333	332	234.4	269.31	314.07	361.63	449.34	1.31399317406143	1.23649326055475	0.96475308052345	0.920830683295081	0.738861441224908
DO50346	533	540	545	644	676	406.62	472.26	552.14	661.03	849.74	1.31080615808371	1.14343793672977	0.987068497120296	0.974237175317308	0.795537458516723
DO50348	302	340	348	409	462	243.03	285.68	343.29	419.46	547.08	1.24264494095379	1.19014281713806	1.01372017827493	0.975063176464979	0.844483439350735
