Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
DO10839	629	543	452	320	177	481.79	459.47	434.93	405.89	358.09	1.30554806035825	1.1817964176116	1.03924769503138	0.788390943359038	0.494289145186964
DO10840	544	461	310	214	147	382.47	363.54	344.09	321.79	283.34	1.42233377781264	1.26808604280134	0.900927083030603	0.665029988501818	0.518811322086539
DO10841	740	635	492	376	195	562.07	539.33	509.8	474.67	421.97	1.31656199405768	1.17738675764374	0.965084346802668	0.792129268755135	0.462118160058772
DO10843	29	24	30	20	27	31.84	29.72	28.48	26.44	23.2	0.910804020100503	0.807537012113055	1.05337078651685	0.75642965204236	1.16379310344828
DO10844	56	44	51	41	36	53.68	50.33	48.13	43.73	39.82	1.04321907600596	0.874230081462348	1.0596301682942	0.937571461239424	0.904068307383225
DO10858	3280	2931	2192	1758	930	2516.15	2392.4	2265.14	2093.58	1838.07	1.30357888043241	1.22512957699381	0.967710605084013	0.839709970481185	0.505965496417438
DO50306	788	598	471	348	215	554.57	532.4	503.24	465.02	409.84	1.42092071334547	1.12321562734786	0.935935140290915	0.74835490946626	0.524594963888347
DO50307	1710	1437	1073	804	467	1263.52	1204.78	1140.86	1053.16	919.18	1.35336203621628	1.19274888361361	0.940518556176919	0.763416764784078	0.508061533105594
DO50309	92	84	63	58	31	74.17	69.65	64.41	60.4	54.88	1.24039369017123	1.20603015075377	0.978108989287378	0.960264900662252	0.564868804664723
DO50311	269	205	185	159	87	201.13	191.79	180.65	168.28	151.35	1.33744344453836	1.06887741800928	1.02407971215057	0.944853815070121	0.574826560951437
DO50314	228	225	153	119	71	179.72	171.62	160.93	149.95	130.97	1.26864010683285	1.31103600978907	0.950723917231094	0.793597865955318	0.542108879896159
DO50315	991	857	628	477	271	742	708.15	666.11	626.89	548.82	1.3355795148248	1.21019558003248	0.942787227334825	0.760899041299111	0.493786669582012
DO50316	1341	1227	910	628	367	1033.91	996.54	943.51	881	775.66	1.29701811569672	1.23126016015413	0.964483683267798	0.712826333711691	0.473145450326174
DO50318	151	135	107	81	57	122	117.45	110.23	102.27	89.93	1.23770491803279	1.14942528735632	0.970697632223533	0.792021120563215	0.633826309351718
DO50319	1078	1044	839	690	519	960.22	897.9	850.54	783.04	675.55	1.12265939055633	1.16271299699298	0.986432148987702	0.881181038005721	0.768262896898823
DO50320	1725	1426	1067	825	456	1248.9	1197.88	1127.74	1055.27	922.56	1.38121546961326	1.19043643770662	0.946140067746112	0.781790442256484	0.494276795005203
DO50321	352	286	229	150	85	251.11	241.21	227.09	214.48	189.19	1.4017761140536	1.18568881887152	1.00841076225285	0.699365908243193	0.449283788783762
DO50323	1269	1152	896	761	513	1035.33	994.24	954.02	893.26	799.61	1.22569615484918	1.15867396202124	0.939183664912685	0.851935606654278	0.6415627618464
DO50325	1117	945	733	557	322	820.35	783.75	740.89	688.88	609.71	1.36161394526726	1.20574162679426	0.989350645844862	0.808558820113808	0.528119925866395
DO50326	2393	2198	1721	1302	796	1896.99	1823.26	1727	1610.94	1427.09	1.26147212162426	1.20553294648048	0.996525767226404	0.808223769972811	0.557778416217618
DO50327	315	224	189	133	77	224.57	213.41	205.16	190.21	166.33	1.40268067863027	1.04962279180919	0.921232209007604	0.699227169970033	0.4629351289605
DO50328	1403	1290	961	781	442	1107.24	1055.64	997.21	923.73	809.59	1.26711462736173	1.22200750255769	0.963688691449143	0.845485152587877	0.545955360120555
DO50329	499	453	315	240	153	395.55	376.96	361.66	335.6	295.72	1.26153457211478	1.20171901528014	0.870983796936349	0.715137067938021	0.517381306641417
DO50330	389	328	235	176	103	290.62	271.13	260.43	241.01	215.29	1.33851765191659	1.20975177958913	0.902353799485466	0.730260155180283	0.478424450740861
DO50331	188	160	137	111	76	144.91	138.29	128.91	119.52	104.54	1.2973569801946	1.1569889362933	1.06275696222171	0.928714859437751	0.726994451884446
DO50332	598	529	372	299	190	471.66	446.9	421.87	381.7	336.79	1.26786244328542	1.18371000223764	0.881788228601228	0.783337699764213	0.56414976691707
DO50334	123	111	97	75	46	102.58	95.98	90.48	84.43	72.27	1.19906414505752	1.15649093561159	1.07206012378426	0.888309842473055	0.63650200636502
DO50336	91	81	55	50	30	75.51	71.14	68.91	62.42	55.22	1.20513839226592	1.13859994377284	0.798142504716297	0.801025312399872	0.543281419775444
DO50337	260	241	173	131	72	203.65	191.9	181.34	169.03	148.48	1.27670022096735	1.2558624283481	0.954009043785155	0.775010353191741	0.484913793103448
DO50338	971	789	608	458	254	736.33	707.03	664.09	611.43	541.47	1.31870221232328	1.11593567458241	0.915538556520953	0.749063670411985	0.469093393909173
DO50339	2110	1869	1315	1014	543	1622.41	1550.15	1460.76	1358.3	1192.79	1.3005343901973	1.20568977195755	0.900216325748241	0.746521387027903	0.455235204855842
DO50340	316	258	178	150	74	213.06	203.28	190.6	177.21	155.86	1.48315028630433	1.26918536009445	0.93389296956978	0.846453360419841	0.474785063518542
