Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
DO10839	366	362	373	327	292	314.47	310.26	320.95	340.49	406.42	1.16386300760009	1.16676335976278	1.16217479358155	0.960380627918588	0.7184685793022
DO10840	455	491	474	418	365	393.28	393.61	416.32	445.95	565.88	1.15693653376729	1.24742765681766	1.13854727132975	0.937324812198677	0.645013076977451
DO10841	210	222	188	175	148	169.02	164.92	176.02	190.69	251.49	1.24245651402201	1.3461072034926	1.0680604476764	0.917719859457759	0.588492584198179
DO10843	443	432	411	416	330	385.61	381.96	391.43	411.66	463.41	1.14882912787531	1.13100848256362	1.0499961678972	1.01054268085313	0.712112384281738
DO10844	153	161	155	134	100	126.72	125.84	133.98	143.63	182.8	1.20738636363636	1.27940241576605	1.15688908792357	0.932952725753673	0.547045951859956
DO10858	724	700	720	593	471	593.67	585.73	610.33	645.07	757.12	1.21953273704246	1.19508988783228	1.17968967607688	0.919280078131056	0.622094251901944
DO50306	469	470	408	426	416	396.97	389.04	414.57	445.68	574.94	1.18144947980956	1.20810199465351	0.984152254142847	0.955842757135164	0.723553762131701
DO50307	471	466	396	414	312	379.47	370.86	398.01	420.61	529.29	1.24120483832714	1.25653885563285	0.994949875631266	0.984284729321699	0.589468911182905
DO50309	231	234	207	192	198	199.86	198.82	209.41	222.82	268.95	1.15580906634644	1.17694396941958	0.988491476051764	0.861682075217664	0.736196319018405
DO50311	489	521	473	463	342	392.56	387.29	408.26	446.79	587.95	1.24566945180355	1.34524516512174	1.15857541762602	1.03628102688064	0.581682115826176
DO50314	449	412	424	394	351	370.01	361.75	386.98	415.48	526.96	1.21348071673739	1.13890808569454	1.09566385859734	0.948300760566092	0.66608471231213
DO50315	434	494	433	374	344	390.17	391.24	411.02	437.65	528.77	1.11233564856345	1.26265208056436	1.05347671646149	0.85456414943448	0.6505664088356
DO50316	398	425	399	365	351	341.96	335.33	357.41	380.52	483.46	1.16387881623582	1.26740822473384	1.11636495901066	0.959213707558078	0.726016630124519
DO50318	317	319	338	304	264	266.16	260.47	280.06	300.11	392.8	1.19101292455666	1.22470917956003	1.20688423909162	1.01296191396488	0.672097759674134
DO50319	356	452	430	443	351	357.81	358.16	377.74	404.28	511.69	0.994941449372572	1.26200580746035	1.13834912903055	1.09577520530326	0.685962203678008
DO50320	508	510	480	391	360	394.62	390.44	409.25	436.3	535.67	1.28731437838934	1.30621862514087	1.17287721441662	0.896172358468943	0.672055556592678
DO50321	290	235	297	239	216	233.9	231.17	242.87	261.98	325.73	1.23984608807183	1.01656789375784	1.22287643595339	0.912283380410718	0.663125901820526
DO50323	818	876	890	831	719	781.68	781.87	805.53	836.58	948.58	1.04646402619998	1.12039085781524	1.10486263702159	0.99332998637309	0.757975078538447
DO50325	310	343	332	287	262	266.69	262.23	276.88	299.53	383.21	1.16239829014961	1.30801205049003	1.19907541173071	0.958167796214069	0.683698233344641
DO50326	849	911	845	769	669	722.45	715.88	753.39	801.39	987.92	1.17516783168385	1.27255964686819	1.12159704800966	0.959582725015286	0.677180338488947
DO50327	171	147	160	160	140	140.39	140.52	142.32	154.59	190.11	1.21803547261201	1.04611443210931	1.12422709387296	1.03499579532958	0.736415759297249
DO50328	412	433	435	433	356	380.24	374.04	399.85	426.23	533.11	1.08352619398275	1.15763019997861	1.08790796548706	1.01588344321141	0.667779632721202
DO50329	308	363	333	355	303	284.32	278.53	302.21	325	429.27	1.08328643781654	1.30327074282842	1.10188279673075	1.09230769230769	0.705849465371445
DO50330	422	459	434	407	281	365.36	357.59	381.66	406.37	511.11	1.15502518064375	1.28359294163707	1.13713776659854	1.00155031129266	0.549783803877835
DO50331	474	456	406	421	366	367.86	360.11	389.65	420.9	555.05	1.2885336812918	1.26627974785482	1.04196073399204	1.00023758612497	0.659400054049185
DO50332	484	534	520	447	413	446.18	438.32	459.7	492.85	616.74	1.0847639965933	1.21828800876072	1.13117250380683	0.906969666227047	0.669650095664299
DO50334	387	412	366	317	282	304.45	306.36	320.45	342.68	426.89	1.27114468714075	1.34482308395352	1.1421438601966	0.925061281662192	0.660591721520767
DO50336	275	271	240	232	205	219.25	215.09	231.47	247	321.4	1.25427594070696	1.25993770049747	1.03685142783082	0.939271255060729	0.637834474175482
DO50337	512	513	482	421	409	421.84	416.24	435.05	469.57	582.95	1.21373032429357	1.23246204113012	1.10791863004252	0.896564942394105	0.701603911141607
DO50338	297	311	282	256	250	259.31	256.03	267.04	288.76	359.64	1.14534726774903	1.21470140217943	1.05602156980228	0.886549383571132	0.695139584028473
DO50339	584	597	575	515	409	521.12	519.98	538.99	557.69	624.22	1.12066318698189	1.14812108158006	1.06681014490065	0.92345209704316	0.655217711704207
DO50340	292	317	290	271	229	242.72	239.82	252.13	271.04	351.1	1.20303230059328	1.32182470185973	1.15020029349939	0.999852420306966	0.652235830247793
DO50341	372	391	362	338	281	312.23	316.1	330.46	344.77	417.02	1.19142939499728	1.23695033217336	1.09544271621376	0.980363720741364	0.673828593352837
DO50342	545	564	585	498	423	501.4	498.11	516.13	529.35	596.16	1.08695652173913	1.13228001846982	1.13343537480867	0.940776423916123	0.709541062801932
DO50343	509	576	546	488	364	454.71	447.59	472.67	501.24	641.55	1.11939477908997	1.2868920217163	1.15513994964775	0.973585507940308	0.567375886524823
DO50345	342	365	347	299	256	296.08	294.09	307.2	326.83	404.55	1.15509321804918	1.24111666496651	1.12955729166667	0.91484869809993	0.632801878630577
DO50346	628	594	616	586	514	528.48	518.62	553.15	594.13	747.41	1.18831365425371	1.14534726774903	1.1136219831872	0.986316126100348	0.687708219049785
DO50348	348	384	412	366	351	328.52	322.78	339.88	365.08	482.28	1.05929623767198	1.18966478716153	1.21219253854302	1.0025199956174	0.727792983329186
DO50349	224	276	229	222	207	204.43	203.26	215.23	228.37	288.32	1.09572958959057	1.35786677162255	1.06397806997166	0.972106669002058	0.717952275249722
DO50350	162	189	181	154	128	152.77	149.12	158.48	168.29	207.34	1.06041762126072	1.2674356223176	1.14209994952044	0.915087052112425	0.617343493778335
DO50354	181	214	193	164	146	169.67	165.99	169.67	180.16	214.14	1.06677668415159	1.28923429122236	1.13750221017269	0.910301953818828	0.681796955262912
DO50355	370	381	361	346	255	328.91	324.36	339.28	355.12	422.69	1.12492779179715	1.17462079171291	1.06401792030182	0.974318540211759	0.603278998793442
DO50356	3	2	1	1	1	1.63	1.94	2.11	2.12	2.89	1.84049079754601	1.03092783505155	0.4739336492891	0.471698113207547	0.346020761245675
DO50357	341	340	291	275	194	270.24	266.85	280.89	300.37	369.56	1.26184132622854	1.27412403972269	1.0359927373705	0.915537503745381	0.524948587509471
DO50362	435	415	450	377	318	354.92	347.65	370.3	404.45	539.78	1.22562831060521	1.19372932547102	1.21523089386984	0.932130053158611	0.589128904368446
DO50364	299	308	318	308	251	253.91	248.33	266.8	283.38	352.65	1.17758260801071	1.24028510449805	1.19190404797601	1.08687980803162	0.71175386360414
DO50365	446	433	470	387	364	393.44	389.52	407.11	436.89	549.57	1.13359089060594	1.11162456356541	1.15447913340375	0.885806495914303	0.662336008151828
DO50367	200	179	178	176	157	164.77	164.81	171.23	184.41	230.17	1.21381319414942	1.08609914446939	1.0395374642294	0.954395097879725	0.682104531433289
DO50370	124	151	155	123	127	119.56	117.97	126.66	134.4	174.04	1.03713616594179	1.2799864372298	1.22374861834833	0.915178571428571	0.729717306366353
DO50372	411	367	377	391	306	341.01	336.66	355.75	374.74	463.77	1.20524324799859	1.09012059644745	1.0597329585383	1.04339008379143	0.659809819522608
DO50374	455	523	416	468	454	414.12	408.65	425.24	457.83	566.77	1.09871534820825	1.27982381010645	0.978271093970464	1.02221348535483	0.801030400338762
DO50381	279	304	300	273	243	240.34	238.56	252.83	270.18	350.08	1.16085545477241	1.27431254191818	1.18656804967765	1.01043748612036	0.694127056672761
DO50382	370	377	433	403	347	338.49	331.56	351	380.26	492.65	1.09308989925847	1.13704910121848	1.23361823361823	1.05980118866039	0.704354003856693
DO50383	263	266	282	232	221	228.18	226.98	239.12	253.88	321.23	1.15259882548865	1.1719094193321	1.17932418869187	0.913817551599181	0.687980574666127
DO50384	842	816	752	651	558	663.41	655.91	692.66	735.91	919.72	1.26920004220618	1.24407311978778	1.08566973695608	0.884619043089508	0.60670638890097
DO50385	478	453	459	395	374	392.93	385.72	411.9	443.4	580.01	1.21650166696358	1.17442704552525	1.1143481427531	0.89084348218313	0.644816468681574
DO50387	731	821	784	788	734	738.77	734.42	755.9	793.86	924.02	0.989482518239777	1.11788894637946	1.03717422939542	0.992618345804046	0.794355100538949
DO50388	557	591	564	489	449	477.93	475.07	497.21	523.25	627.14	1.16544263804323	1.24402719599217	1.13432955893888	0.934543717152413	0.71594859202092
DO50389	498	469	454	460	378	409.35	403.18	426.63	449.8	557.33	1.21656284353243	1.16325214544372	1.06415395073014	1.0226767452201	0.67823372149355
DO50390	218	202	189	183	189	174.3	170.66	184.92	195.16	243.37	1.25071715433161	1.18363998593695	1.02206359506814	0.937692150030744	0.776595307556396
DO50392	198	225	200	192	198	180.05	177.4	186.93	197.66	240.95	1.09969452929742	1.26832018038331	1.06991922109881	0.971364970150764	0.821747250466902
DO50393	384	350	363	346	326	322.61	318.79	333.74	350.92	423.02	1.19029168345681	1.09790143981932	1.08767303889255	0.985979710475322	0.770649141884544
DO50395	64	69	71	60	56	58.5	57.69	60.6	67.04	84.12	1.09401709401709	1.19604784191368	1.17161716171617	0.894988066825776	0.665715644317641
DO50396	292	239	251	211	208	213.11	210.21	223.92	233.77	293.58	1.37018441180611	1.13695827981542	1.12093604858878	0.902596569277495	0.708495129095988
DO50398	428	431	408	423	365	371.4	367.83	389.83	421.7	545.87	1.15239633817986	1.17173694369682	1.04661006079573	1.00308276025611	0.66865737263451
DO50399	353	317	304	301	234	266.6	259.59	277.41	301.29	406.99	1.32408102025506	1.22115643899996	1.09585090660034	0.999037472202861	0.574952701540578
DO50401	501	549	522	459	367	412.62	407.42	433.08	469.35	621.28	1.21419223498619	1.34750380442786	1.20532003325021	0.977948226270374	0.590715941282514
DO50402	169	191	150	146	122	138.6	138.35	143.57	153.42	188.1	1.21933621933622	1.38055655945067	1.04478651528871	0.951636031808109	0.648591174906964
DO50403	329	355	337	309	296	293.74	296.61	302.27	316.92	381.21	1.12003812895758	1.1968578267759	1.11489727726867	0.975009466111321	0.776474908842895
DO50405	96	99	102	82	84	83.73	79.78	85.97	92.24	113.33	1.14654245790039	1.24091250940085	1.1864603931604	0.888985255854293	0.741198270537369
DO50406	747	779	637	653	502	614.1	599.99	633.56	687.93	883.02	1.21641426477772	1.29835497258288	1.00542963570933	0.949224485049351	0.568503544653575
DO50407	389	468	396	386	337	349.11	351.58	369.56	386.82	465.81	1.11426198046461	1.33113373912054	1.07154453945232	0.997880150974614	0.723470943088384
DO50408	491	515	439	444	410	419.68	414.43	435.34	464.43	577.01	1.16993900114373	1.24267065608185	1.00840722194147	0.956010593630902	0.710559609018908
DO50409	283	264	226	239	194	206.55	204.55	218.41	235.31	299.22	1.37012829823287	1.29063798582254	1.0347511560826	1.0156814415027	0.648352382862108
DO50410	359	343	364	304	248	276.9	273.82	286.61	308.3	393.81	1.29649693029975	1.2526477247827	1.27001849202749	0.986052546221213	0.62974530865138
DO50411	293	321	247	240	206	233.03	232.13	241.57	258.61	315.66	1.25734883920525	1.38284581915306	1.02247795669992	0.928038358918835	0.652600899702211
DO50412	343	390	347	329	260	295.35	291.61	308.55	335.32	432.53	1.16133401049602	1.33740269538082	1.12461513531032	0.98115233210068	0.601114373569463
DO50434	274	283	275	265	232	249.33	244.86	256.24	273.33	338.85	1.09894517306381	1.15576247651719	1.07321261317515	0.969524018585593	0.684668732477497
DO50435	205	249	199	208	207	190.55	190.44	199.29	217.19	289.84	1.07583311466807	1.30749842470069	0.998544834161273	0.957686817993462	0.714187137731162
DO50436	228	230	220	211	161	191.83	190.35	199.27	214.47	261.64	1.18855236407236	1.20830049908064	1.10402970843579	0.983820580967035	0.615349334964073
DO50437	293	332	345	355	295	289.18	288.39	305.05	327.56	418.16	1.01320976554395	1.15121883560456	1.13096213735453	1.08377091219929	0.705471589822078
DO50438	276	312	280	259	235	227.75	227.24	240.28	260.35	339.38	1.21185510428101	1.37299771167048	1.16530714166805	0.994814672556174	0.692439153750958
DO50439	224	238	247	201	197	204	204.89	216.06	230.03	277.51	1.09803921568627	1.16159890673044	1.14320096269555	0.873799069686563	0.709884328492667
DO50440	330	395	385	380	311	312.19	309.48	331.26	352.87	442.98	1.05704859220347	1.2763344965749	1.16222906478295	1.07688383824071	0.702063298568784
DO50441	481	527	504	509	451	434.5	427.16	452.11	485.35	608.37	1.10701956271577	1.23372974997659	1.11477295348477	1.04872772226228	0.741325180400085
