Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
DO10839	553	587	494	348	139	441.33	443.92	433.94	424.24	396.74	1.25303061201369	1.3223103261849	1.13840623127621	0.820290401659438	0.350355396481323
DO10840	488	438	359	267	124	351.19	353.13	341.17	335.57	314.17	1.38956120618469	1.24033642001529	1.05226133599086	0.795661113925559	0.394690772511697
DO10841	706	697	530	349	156	518.06	517.61	510.93	498.63	462.61	1.36277651237308	1.34657367516084	1.03732409527724	0.699917774702685	0.337217094312704
DO10843	31	30	29	16	24	28.55	29.6	28.51	27.56	25.46	1.08581436077058	1.01351351351351	1.01718695194669	0.58055152394775	0.942655145326002
DO10844	66	52	53	34	23	49.45	48.28	48	45.71	44.25	1.33468149646107	1.07705053852527	1.10416666666667	0.743819733099978	0.519774011299435
DO10858	3266	3172	2406	1596	651	2303.25	2304.87	2255.17	2196.86	2045.19	1.41799630956257	1.37621644604685	1.06688187586745	0.726491446883279	0.318307834479926
DO50306	679	681	504	371	185	507	513.18	502.43	486.92	455.54	1.33925049309665	1.32701975914884	1.00312481340684	0.761932144910868	0.406111428195109
DO50307	1617	1543	1204	763	364	1155.27	1164.7	1131.73	1101.31	1028.49	1.39967280376016	1.32480467073066	1.06385798732913	0.692811288374754	0.353916907310718
DO50309	72	86	67	58	45	68.58	65.88	66.78	63.47	58.8	1.0498687664042	1.30540376442016	1.00329439952081	0.913817551599181	0.76530612244898
DO50311	247	247	189	143	79	184.23	185.67	180.96	177.5	164.84	1.34071541008522	1.33031722949319	1.04442970822281	0.805633802816901	0.479252608590148
DO50314	206	213	172	138	67	164.34	165.77	161.14	156.61	145.33	1.25349884386029	1.28491283103095	1.06739481196475	0.881169784815784	0.461019748159361
DO50315	889	904	731	493	207	677.78	683.56	671.91	651.22	607.5	1.31163504381953	1.3224881502721	1.08794332574303	0.757040631430239	0.340740740740741
DO50316	1311	1217	988	687	270	951.86	960.29	941.85	917.55	859.07	1.37730338495157	1.26732549542326	1.04899930986888	0.74873303907144	0.314293363753827
DO50318	164	139	118	77	33	113.87	111.62	109.42	107.19	99.78	1.44023886888557	1.24529654183838	1.07841345275087	0.718350592406008	0.330727600721587
DO50319	1025	1004	924	755	462	869.05	869.22	851.48	818.41	759.09	1.17944882342788	1.15505855824762	1.08516935218678	0.922520497061375	0.608623483381417
DO50320	1651	1506	1222	797	323	1149.13	1157.29	1125.12	1100.91	1019.9	1.43673909827435	1.3013160054956	1.086106370876	0.723946553305901	0.3166977154623
DO50321	302	296	205	198	101	232.36	230.72	229.78	221.73	208.49	1.29970735066276	1.28294036061026	0.892157716076247	0.892977946150724	0.484435704350329
DO50323	1124	1179	984	837	467	958.32	963.98	954.93	927.11	872.12	1.17288588362969	1.22305442021619	1.03044202192831	0.9028054923364	0.535476769251938
DO50325	1010	1029	857	558	220	752.35	756	738.08	724.37	672.78	1.34246029108792	1.36111111111111	1.16112074571862	0.770324557891685	0.327001397187788
DO50326	2351	2332	1855	1289	583	1747.66	1753.65	1728.66	1679.62	1575.69	1.34522733254752	1.32979785019816	1.07308551132091	0.767435491361141	0.369996636394215
DO50327	281	253	211	130	63	204.86	206.58	203.24	199.08	185.92	1.37166845650688	1.22470713525027	1.03818146034245	0.65300381756078	0.338855421686747
DO50328	1267	1357	1040	806	407	1011.8	1013.69	995.46	972.46	900	1.25222375963629	1.3386735589776	1.04474313382758	0.828825864302902	0.452222222222222
DO50329	468	466	378	248	100	360.65	366.71	360.56	349.18	328.39	1.29765700817968	1.2707589103106	1.04836920346128	0.710235408671745	0.304515971862724
DO50330	339	333	258	205	96	263.63	264.48	258.52	254.89	236.96	1.28589310776467	1.25907441016334	0.997988550208881	0.804268507983836	0.405131667792032
DO50331	173	178	135	113	73	133.13	132.18	129.45	124.75	116.66	1.29948170960715	1.34664850960811	1.04287369640788	0.905811623246493	0.625750042859592
DO50332	548	539	439	306	156	430.54	431.96	415.63	403.9	376.89	1.2728201793097	1.2478007222891	1.05622789500277	0.757613270611538	0.413913874074664
DO50334	125	118	86	71	52	94.16	92.15	89.72	88.24	81.47	1.32752761257434	1.2805208898535	0.958537672759697	0.804623753399819	0.638271756474776
DO50336	80	84	62	47	34	69.42	70.17	66.38	66.38	60.85	1.15240564678767	1.19709277469004	0.934016269960832	0.708044591744501	0.558751027115859
DO50337	266	242	167	132	70	185.47	184.89	182.79	175.35	165.9	1.43419420930609	1.3088863648656	0.913616718638875	0.752780153977759	0.421940928270042
DO50338	892	914	640	431	203	674.89	676.87	660.89	646.89	600.81	1.32169686911941	1.35033315112208	0.968391108959131	0.666264743619472	0.337877199114529
DO50339	1890	1855	1516	1097	493	1483.04	1490.9	1461.5	1422.89	1326.08	1.27440932139389	1.24421490374941	1.03729045501197	0.77096613230819	0.371772442084942
DO50340	286	242	218	160	70	195.87	196.38	191.86	183.09	172.81	1.46015214172666	1.2323047153478	1.13624517877619	0.873887159320553	0.405069151090793
DO50341	602	596	417	306	151	414.68	413.68	408.17	396.51	369.41	1.45172180958812	1.44072713208277	1.02163314305314	0.771733373685405	0.40875991445819
DO50342	3436	3436	2692	1988	801	2505.17	2536.56	2486.76	2425.7	2260.81	1.37156360646184	1.35459046898161	1.08253309527256	0.819557241208723	0.3542977959227
DO50343	580	575	439	359	181	451.76	453.13	447.73	431.13	405.26	1.28386754028688	1.26895151501777	0.980501641614366	0.83269547468281	0.446626856832651
DO50345	1846	1784	1481	1007	479	1345.53	1359.48	1330.02	1295.37	1205.79	1.37195008658298	1.31226645482096	1.11351708996857	0.7773840678725	0.397249935726785
DO50346	1124	1126	870	604	267	824.53	830.83	814.3	806.82	747.83	1.36320085381975	1.35527123478931	1.06840230873143	0.74861803128331	0.357033015524919
DO50348	665	660	530	342	169	481.56	480.85	473.2	456.06	425.5	1.38092864855885	1.3725694083394	1.1200338123415	0.74990132877253	0.397179788484136
DO50349	162	171	140	107	71	127.9	127.86	126.41	124.54	113.78	1.26661454261142	1.33740028155795	1.10750731745906	0.859161715111611	0.624011249780278
DO50350	486	422	325	230	106	324.74	326.3	314.7	310.52	284.45	1.49658188088933	1.29328838492185	1.03272958373054	0.740693031044699	0.372648971699772
DO50354	80	68	60	70	21	62.99	62.52	61.99	59.37	56.54	1.27004286394666	1.08765195137556	0.96789804807227	1.17904665656055	0.371418464803679
DO50355	1596	1678	1327	894	363	1277.94	1272.05	1236.7	1213.28	1122.04	1.24888492417484	1.31913053732165	1.07301689981402	0.736845575629698	0.323517878150512
DO50356	1	0	0	0	3	0.63	0.53	0.49	0.54	0.51	1.58730158730159	0	0	0	5.88235294117647
DO50357	357	316	263	198	67	257.61	258.76	250.54	247.9	231.14	1.38581576802143	1.22120884217035	1.04973257763231	0.798709156918112	0.289867612702258
DO50362	276	248	197	135	73	197.89	199.93	197.57	186.81	176.53	1.39471423518116	1.24043415195318	0.997114946601205	0.722659386542476	0.413527445759928
DO50364	1115	1019	842	656	301	812.73	819.71	795.07	778.74	727.91	1.37191933360403	1.24312256773737	1.05902624926107	0.842386419087243	0.413512659532085
DO50365	460	436	378	279	134	371.1	372.5	365.95	355	332.47	1.23955807060092	1.17046979865772	1.03292799562782	0.785915492957746	0.403043883658676
DO50367	41	33	42	30	28	38.07	37.67	38.16	35.34	33.72	1.07696348831101	0.876028670029201	1.10062893081761	0.848896434634974	0.830367734282325
DO50370	41	39	31	18	17	33.04	34.28	32.4	30.95	28.89	1.2409200968523	1.13768961493582	0.95679012345679	0.581583198707593	0.588438906195916
DO50372	681	571	473	336	169	472.13	476.99	465.56	451.22	420.1	1.44239933916506	1.19709008574603	1.01598075436034	0.744647843623953	0.402285170197572
DO50374	839	800	684	514	235	635.53	638.58	628.3	610.52	572.65	1.32015797838025	1.25277960474803	1.08865191787363	0.841905261088908	0.410372828079979
DO50381	118	137	93	66	42	94.69	94	93.26	90.57	84.18	1.24617171823846	1.45744680851064	0.997212095217671	0.728718118582312	0.498930862437634
DO50382	94	90	81	51	49	77.86	77.7	75.29	73.15	69.43	1.20729514513229	1.15830115830116	1.07584008500465	0.697197539302802	0.705746795333429
DO50383	114	137	89	68	32	90.92	91.73	90.55	88.87	83.08	1.25384953805543	1.49351357244086	0.982882385422419	0.765162597051874	0.385170919595571
DO50384	2151	2049	1604	1057	431	1526.47	1534.05	1504	1467.17	1375.66	1.40913349099556	1.33568006257945	1.06648936170213	0.720434578133413	0.313304159458006
DO50385	372	344	291	213	87	270.75	272.74	267.13	259.98	245.83	1.37396121883657	1.26127447385789	1.08935724179239	0.819293791830141	0.353903103770899
DO50387	605	620	510	343	152	474.37	476.34	468.27	454.16	420.33	1.27537576153635	1.3015913003317	1.08911525402012	0.755240443896424	0.361620631408655
DO50388	671	680	504	344	157	490.63	499.33	482.55	474.08	441.06	1.36762937447771	1.36182484529269	1.04445135219148	0.725615929800878	0.355960640275699
DO50389	992	976	753	584	242	747.12	747.95	724.54	712.75	658.52	1.32776528536246	1.30490006016445	1.0392800949568	0.819361627499123	0.367490736803742
DO50390	36	45	43	29	24	34.76	36.08	33.01	32.53	30.49	1.03567318757192	1.24722838137472	1.30263556498031	0.891484783276975	0.787143325680551
DO50392	144	139	106	88	64	119.22	120.71	118.83	116.8	106.51	1.20785103170609	1.15152017231381	0.892030631995287	0.753424657534247	0.60088254623979
DO50393	332	332	290	201	116	265.1	268.16	260.79	251.73	233.62	1.25235760090532	1.23806682577566	1.11200582844434	0.798474556071982	0.496532831093228
DO50395	44	30	34	24	10	34.29	34.53	33.12	31.4	30.28	1.28317293671624	0.868809730668983	1.02657004830918	0.764331210191083	0.330250990752972
DO50396	305	271	214	184	86	214.94	213.79	213.07	206.48	190.67	1.41900065134456	1.2675990457926	1.00436476275402	0.891127469972879	0.451041065715634
DO50398	1864	1853	1451	994	422	1432.32	1456.82	1415.49	1388.19	1290.35	1.30138516532618	1.27194849054791	1.02508671908668	0.716040311484739	0.32704305033518
DO50399	84	72	81	61	40	75.2	73.91	72.4	68.89	65.81	1.11702127659574	0.974157759437153	1.11878453038674	0.885469589200174	0.607810363166692
DO50401	504	459	453	269	148	383.75	383.37	375.56	366.34	339.14	1.31335504885993	1.19727678222083	1.20619874321014	0.734290549762516	0.436397947750192
DO50402	98	110	87	71	37	77.04	75.77	74.77	74.27	68.46	1.27206645898235	1.45176191104659	1.16356827604654	0.955971455500202	0.540461583406369
DO50403	1095	1101	989	803	434	884.65	889.96	872.72	853.56	803.06	1.23777765217883	1.23713425322486	1.13323861032175	0.940765734101879	0.540432844370284
DO50405	160	147	118	77	43	123.67	125.09	121.46	120.31	108.8	1.29376566669362	1.17515388919978	0.971513255392722	0.640013298977641	0.395220588235294
DO50406	5959	6022	4587	3262	1368	4459.11	4478.06	4400.88	4307.03	4023.47	1.33636532850726	1.34477876580483	1.04229154169166	0.757366445090933	0.34000502054197
DO50407	1493	1432	1138	805	384	1083.44	1091.32	1065.19	1037.14	961.22	1.37801816436535	1.312172415057	1.06835400257231	0.776172937115529	0.399492311853686
DO50408	1098	1000	805	586	258	778.41	781.48	761.53	743.57	691.78	1.41056769568736	1.27962327890669	1.05708245243129	0.788089890662614	0.372950938159531
DO50409	125	113	102	78	48	94	92.77	91.28	90.99	82.59	1.32978723404255	1.21806618518918	1.11744084136722	0.857237059017474	0.581184162731566
DO50410	396	438	366	246	131	323.25	322.69	317.45	313.91	289.08	1.22505800464037	1.35733986178685	1.15293747046779	0.783664107546749	0.453161754531618
DO50411	3429	3623	2796	1892	860	2520.4	2538.81	2504.12	2440.87	2288.79	1.36049833359784	1.42704652967335	1.11655990926952	0.775133456513456	0.37574438895661
DO50412	324	294	219	174	85	233.62	232.82	226.3	223.59	206.75	1.38686756270867	1.26277811184606	0.967741935483871	0.778210116731518	0.411124546553809
DO50434	97	108	90	66	33	77.96	80.58	76.35	73.56	69.89	1.24422780913289	1.34028294862249	1.17878192534381	0.897226753670473	0.472170553727286
DO50435	825	809	687	467	254	634.96	638.41	630.35	609.11	571.41	1.29929444374449	1.26721072664902	1.08987070675022	0.766692387253534	0.444514446719518
DO50436	309	272	235	189	78	235.02	236.62	230.73	221.12	208.58	1.31478172070462	1.14952244104471	1.01850647943484	0.854739507959479	0.373957234634193
DO50437	945	1047	835	638	281	789.59	793.09	779.12	765.5	718.51	1.19682366797958	1.3201528199826	1.07172194270459	0.833442194644023	0.391087110826572
DO50438	777	789	676	489	242	605.54	607.1	595.64	580.74	544.47	1.28315222776365	1.29962114972822	1.13491370626553	0.842029135241244	0.444468933090896
DO50439	534	613	448	347	172	441.58	442.09	430.95	422.75	393.55	1.20929389918022	1.38659548960619	1.03956375449588	0.820816085156712	0.437047389150044
DO50440	806	766	605	455	212	598.77	604.34	589.77	581.16	534.23	1.34609282362176	1.2674984280372	1.02582362615935	0.782916924771147	0.396832824813283
DO50441	1272	1210	969	631	254	922.03	926.38	906.71	884.69	822.51	1.37956465624763	1.30615945940111	1.06869892247797	0.713244187229425	0.308810835126625
DO50442	1724	1703	1399	1007	441	1295.14	1303.91	1279.3	1243.89	1157.52	1.33113022530383	1.30607173808008	1.09356679434066	0.809557115178995	0.380986937590711
DO50443	65	71	69	40	32	56.55	57.6	56.98	52.88	50.68	1.14942528735632	1.23263888888889	1.21095121095121	0.75642965204236	0.631412786108919
