Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	1854	2141	2054	1985	1703	1683.09	1704.89	1725.28	1717.8	1742.42	1.10154537190525	1.25579949439553	1.19053139200594	1.1555477936896	0.977376292742278
TCGA-BL-A13J	429	455	431	398	372	355.18	358.41	363.89	359.37	361.97	1.20783827918239	1.26949582879942	1.18442386435461	1.10749366947714	1.02770947868608
TCGA-BT-A20T	407	492	470	389	371	364.35	372.64	373.49	373.24	371.43	1.11705777411829	1.32030914555603	1.25840049265041	1.04222484192477	0.998842312144953
TCGA-BT-A20V	307	338	323	319	300	293.49	300.73	302.76	303.19	306.73	1.04603223278476	1.12393176603598	1.06685163165544	1.05214551931132	0.978058879144524
TCGA-BT-A2LA	340	385	380	386	338	312.61	315.56	316.51	317.06	326.52	1.08761715876012	1.22005323868678	1.20059397807336	1.21743518576925	1.03515864265589
TCGA-BT-A3PJ	727	864	856	822	807	752.01	760.1	771.47	769.88	764.52	0.96674246353107	1.1366925404552	1.10957004160888	1.06769886216034	1.05556427562392
TCGA-DK-A1A5	335	401	373	352	310	290.59	297.31	297.4	294.09	298.38	1.15282700712344	1.34876055295819	1.2542030934768	1.19691250977592	1.03894362892955
TCGA-DK-A1A6	691	721	702	680	617	566.11	570.6	579.3	578.39	577.38	1.22061083535002	1.26358219418156	1.21180735370274	1.17567731115683	1.06862031937372
TCGA-DK-A1A7	527	626	578	597	554	567.54	577.81	578.44	581.07	577.62	0.928568911442365	1.08340111801457	0.999239333379434	1.02741494140121	0.959108064125203
TCGA-DK-A1AA	474	490	485	428	362	350.09	356.57	354.83	356.66	355.6	1.35393755891342	1.37420422357461	1.36685173181524	1.2000224303258	1.01799775028121
TCGA-DK-A3IL	602	661	629	583	532	543.95	552.98	560.67	557.65	561.59	1.10671936758893	1.19534160367464	1.12187204594503	1.04545862099883	0.947310315354618
TCGA-FD-A3N5	1146	1255	1248	1174	1193	1102.75	1128.67	1135.83	1136.52	1123.82	1.03922013148946	1.11192819867632	1.09875597580624	1.03297786224615	1.06155790073143
TCGA-FT-A3EE	329	341	316	315	334	301.05	304.19	306.73	307.27	307.96	1.09284172064441	1.12100989513133	1.03022201936557	1.02515702802096	1.08455643590077
TCGA-GD-A2C5	418	466	411	430	344	336.1	341.34	343.51	342.19	345.5	1.24367747694139	1.3652077107869	1.19647171843614	1.25661182384056	0.995658465991317
TCGA-H4-A2HQ	1501	1578	1536	1398	1148	1191.98	1213.52	1222.91	1222.99	1201.83	1.2592493162637	1.3003493967961	1.25602047575046	1.14310010711453	0.95520997146019
