Sample	Expressed_gene_body_obs	Expressed_TSS_flank_obs	Expressed_TES_Flank_obs	Silent_gene_body_obs	Silent_TSS_flank_obs	Silent_TES_Flank_obs	Expressed_gene_body_exp	Expressed_TSS_flank_exp	Expressed_TES_Flank_exp	Silent_gene_body_exp	Silent_TSS_flank_exp	Silent_TES_Flank_exp	expressed_gene_body_ratio	Expressed_TSS_flank_ratio	Expressed_TES_Flank_ratio	Silent_gene_body_ratio	Silent_TSS_flank_ratio	TES_Flank_ratio
pooled_low_Mutant	4180	279	265	267	38	40	389163	17512	17643	29435	3843	3718	1.0741000557607	1.59319323892188	1.50201212945644	0.907083404110752	0.988810824876399	1.07584722969338
pooled_low_WT	12538	649	590	977	98	114	1329230	58340	58223	101255	12997	12691	0.943252860678739	1.11244429208091	1.0133452415712	0.9648906226853	0.754020158498115	0.898274367662123
TCGA-BT-A20T	5144	284	323	425	55	33	539133	23184	22922	40911	5185	5169	0.954124492472173	1.22498274672188	1.40912660326324	1.03884040966977	1.06075216972035	0.638421358096344
TCGA-BT-A2LA	2760	145	125	206	20	18	294945	12769	12710	22501	2940	2938	0.935767685500687	1.135562690892	0.983477576711251	0.915514866005955	0.680272108843537	0.612661674608577
TCGA-BT-A3PH	8543	492	455	561	71	59	772386	32691	32705	59151	7581	7470	1.10605319102107	1.50500137652565	1.39122458339703	0.948420145052493	0.936551906080992	0.789825970548862
TCGA-BT-A3PJ	8708	518	514	535	70	63	802895	34502	34640	61535	7695	7694	1.08457519351846	1.50136223987015	1.4838337182448	0.869423905094661	0.909681611435997	0.818819859630881
TCGA-CF-A27C	2573	125	122	166	26	20	248318	10669	10773	18947	2466	2416	1.03617136091624	1.17161870840754	1.13246078158359	0.87612814693619	1.05433901054339	0.827814569536424
TCGA-DK-A1A5	6701	389	403	525	50	75	664202	28267	27979	50441	6410	6458	1.0088798287268	1.37616301694555	1.4403659887773	1.04081996788327	0.78003120124805	1.16135026323939
TCGA-DK-A1A6	5008	244	271	318	35	47	497846	21180	21328	38084	4776	4921	1.00593356178417	1.15203021718602	1.27063015753938	0.834996323915555	0.732830820770519	0.955090428774639
TCGA-GD-A2C5	4391	212	205	303	38	36	411407	17834	17657	31246	3894	3996	1.06731290425297	1.18874060782774	1.16101262955202	0.96972412468796	0.975860297894196	0.900900900900901
TCGA-H4-A2HQ	6830	339	331	499	70	54	699746	30055	30289	53196	6570	6752	0.976068459126597	1.12793212443853	1.09280596916372	0.938040454169486	1.06544901065449	0.799763033175355
