Sample	Expressed_gene_body_obs	Expressed_TSS_flank_obs	Expressed_TES_Flank_obs	Silent_gene_body_obs	Silent_TSS_flank_obs	Silent_TES_Flank_obs	Expressed_gene_body_exp	Expressed_TSS_flank_exp	Expressed_TES_Flank_exp	Silent_gene_body_exp	Silent_TSS_flank_exp	Silent_TES_Flank_exp	expressed_gene_body_ratio	Expressed_TSS_flank_ratio	Expressed_TES_Flank_ratio	Silent_gene_body_ratio	Silent_TSS_flank_ratio	TES_Flank_ratio
pooled_low_WT	8637	380	392	978	98	91	1244385	61709	61705	88979	11804	11824	0.694077797466218	0.615793482312142	0.635280771412365	1.09913575113229	0.830227041680786	0.769621109607578
TCGA-BL-A13J	1662	62	57	206	23	22	254656	11804	11806	18630	2403	2359	0.652645136969088	0.525245679430701	0.482805353210232	1.105743424584	0.957136912193092	0.932598558711318
TCGA-BT-A20T	1714	86	70	221	23	24	263128	12598	12390	18932	2452	2453	0.651393998358213	0.682648039371329	0.564971751412429	1.16733572786816	0.938009787928222	0.978393803505911
TCGA-BT-A20V	1446	49	65	164	14	18	220170	10906	10737	15539	2135	2129	0.656765226870146	0.449293966623877	0.605383254167831	1.05540897097625	0.655737704918033	0.845467355565994
TCGA-BT-A2LA	1850	81	93	182	16	15	240097	13393	13219	16492	2336	2310	0.770521914059734	0.604793548868812	0.703532793706029	1.10356536502547	0.684931506849315	0.649350649350649
TCGA-BT-A3PJ	5044	254	255	375	44	47	538224	24189	23993	39739	4915	5090	0.937156276940456	1.05006407871346	1.06280998624599	0.943657364302071	0.895218718209563	0.923379174852652
TCGA-DK-A1A5	1436	83	60	191	16	21	213866	10156	10296	15325	1985	2012	0.671448477083782	0.81725088617566	0.582750582750583	1.2463295269168	0.806045340050378	1.04373757455268
TCGA-DK-A1A6	2518	98	75	315	30	42	405178	18780	18975	29628	3747	3904	0.621455261638095	0.521831735889244	0.395256916996047	1.06318347509113	0.800640512409928	1.07581967213115
TCGA-DK-A1A7	4297	239	229	302	43	30	409150	19338	19114	29928	3971	3869	1.05022607845533	1.23590857379253	1.19807470963692	1.00908847901631	1.0828506673382	0.775394158697338
TCGA-DK-A1AA	1307	46	58	209	22	35	251142	11477	11376	18241	2386	2343	0.520422709064991	0.400801603206413	0.509845288326301	1.14577051696727	0.922045264040235	1.49381135296628
TCGA-DK-A3IL	2922	131	132	321	34	41	394914	18432	18152	28457	3742	3766	0.739907929321321	0.710720486111111	0.727192595857206	1.12801771093228	0.908605024051309	1.08868826340945
TCGA-FD-A3N5	7510	348	359	605	56	62	780905	34390	34109	57801	7411	7305	0.96170468879057	1.01192207036929	1.05250813568266	1.04669469386343	0.755633517743894	0.848733744010951
TCGA-FT-A3EE	1997	106	97	165	14	20	215159	9727	9833	15746	2059	2037	0.928150809401419	1.08975017991159	0.986474117766704	1.04788517718786	0.679941719281205	0.981836033382425
TCGA-GD-A2C5	1532	71	70	197	10	15	241281	11287	11358	17657	2373	2284	0.634944318035817	0.62904226100824	0.61630568762106	1.11570481961828	0.421407501053519	0.656742556917688
TCGA-H4-A2HQ	4814	191	183	761	80	75	844834	37086	36691	62312	7924	7935	0.5698160822126	0.515019144690719	0.498759913875337	1.22127359096161	1.00959111559818	0.945179584120983
