obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	15	11079	0
1	25	11078	4
0	20	11075	0
0	19	11088	0
1	20	11087	5
1	14	11087	7.14286
1	30	11086	3.33333
1	15	11086	6.66667
3	17	11082	17.6471
0	14	11074	0
1	16	11137	6.25
1	20	11132	5
1	17	11129	5.88235
1	17	11127	5.88235
0	14	11121	0
2	18	11113	11.1111
0	20	11111	0
2	25	11109	8
0	20	11106	0
1	18	11103	5.55556
0	21	11105	0
0	18	11102	0
0	16	11098	0
2	23	11092	8.69565
1	11	11090	9.09091
0	19	11088	0
0	19	11088	0
0	20	11086	0
2	26	11084	7.69231
0	13	11084	0
1	15	11082	6.66667
1	17	11081	5.88235
0	11	11081	0
2	25	11077	8
3	22	11072	13.6364
0	16	11073	0
2	19	11075	10.5263
1	25	11079	4
3	20	11078	15
1	13	11077	7.69231
1	22	11071	4.54545
1	13	11069	7.69231
0	28	11069	0
2	21	11068	9.52381
1	19	11072	5.26316
1	20	11069	5
0	14	11069	0
0	17	11067	0
0	19	11068	0
2	19	11071	10.5263
2	22	11070	9.09091
0	22	11069	0
1	18	11068	5.55556
3	13	11075	23.0769
0	17	11075	0
1	26	11078	3.84615
1	16	11078	6.25
3	11	11079	27.2727
1	15	11082	6.66667
0	12	11089	0
0	18	11094	0
0	7	11096	0
0	22	11101	0
0	24	11105	0
0	23	11106	0
1	20	11108	5
0	13	11110	0
0	17	11113	0
2	16	11115	12.5
2	15	11119	13.3333
1	21	11120	4.7619
1	19	11124	5.26316
0	14	11125	0
3	17	11131	17.6471
1	15	11131	6.66667
1	21	11136	4.7619
1	19	11135	5.26316
0	23	11138	0
0	15	11142	0
0	17	11145	0
0	23	11146	0
2	22	11147	9.09091
2	24	11150	8.33333
0	13	11152	0
0	26	11152	0
0	16	11155	0
0	23	11156	0
2	18	11160	11.1111
1	19	11164	5.26316
0	24	11170	0
0	21	11170	0
0	13	11170	0
0	18	11171	0
0	18	11172	0
0	18	11173	0
0	14	11173	0
0	12	11174	0
0	16	11175	0
0	20	11175	0
1	26	11177	3.84615
0	22	11177	0
0	19	11178	0
0	14	11179	0
0	16	11182	0
1	19	11183	5.26316
0	18	11183	0
0	17	11183	0
0	15	11184	0
0	22	11185	0
0	12	11185	0
0	15	11186	0
1	17	11186	5.88235
0	18	11186	0
0	12	11187	0
3	21	11187	14.2857
0	23	11187	0
0	18	11187	0
1	18	11188	5.55556
0	20	11189	0
0	17	11189	0
2	20	11189	10
0	12	11190	0
0	24	11190	0
0	12	11191	0
1	28	11192	3.57143
0	13	11192	0
0	25	11192	0
0	23	11192	0
0	25	11192	0
0	16	11192	0
0	12	11192	0
0	23	11192	0
0	25	11193	0
1	24	11193	4.16667
0	20	11193	0
0	15	11193	0
0	16	11193	0
0	15	11193	0
0	14	11193	0
0	14	11193	0
0	23	11194	0
0	30	11194	0
0	22	11194	0
1	17	11194	5.88235
1	27	11194	3.7037
0	22	11194	0
0	20	11194	0
1	14	11194	7.14286
1	14	11194	7.14286
1	19	11194	5.26316
0	13	11194	0
0	26	11194	0
2	15	11194	13.3333
0	27	11194	0
0	7	11194	0
0	20	11194	0
0	18	11194	0
0	17	11194	0
0	8	11194	0
0	22	11194	0
1	11	11194	9.09091
0	17	11194	0
0	13	11193	0
0	15	11194	0
1	18	11194	5.55556
1	16	11194	6.25
3	11	11194	27.2727
0	18	11194	0
0	21	11194	0
0	22	11194	0
1	35	11194	2.85714
0	26	11194	0
0	18	11194	0
0	22	11194	0
1	23	11194	4.34783
0	18	11194	0
0	14	11194	0
0	11	11194	0
0	20	11194	0
0	15	11194	0
0	15	11194	0
0	20	11194	0
0	13	11194	0
0	19	11194	0
0	13	11194	0
0	11	11194	0
0	15	11194	0
0	24	11194	0
0	15	11194	0
1	12	11194	8.33333
0	20	11194	0
0	15	11194	0
0	17	11194	0
1	16	11194	6.25
0	22	11194	0
0	20	11194	0
0	21	11194	0
2	17	11194	11.7647
0	16	11194	0
0	22	11194	0
1	15	11194	6.66667
2	15	11194	13.3333
0	19	11194	0
0	26	11194	0
0	24	11194	0
0	19	11194	0
0	30	11194	0
1	18	11194	5.55556
0	23	11194	0
