obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
2	34	11187	5.88235
0	32	11187	0
5	32	11187	15.625
7	39	11187	17.9487
9	29	11187	31.0345
9	22	11187	40.9091
16	16	11187	100
14	35	11187	40
16	28	11187	57.1429
2	31	11187	6.45161
2	40	11187	5
4	28	11187	14.2857
0	47	11187	0
2	23	11187	8.69565
11	37	11187	29.7297
3	30	11187	10
23	29	11187	79.3103
0	25	11187	0
2	37	11187	5.40541
1	38	11187	2.63158
1	41	11187	2.43902
4	35	11187	11.4286
4	43	11187	9.30233
3	30	11187	10
9	38	11187	23.6842
6	28	11187	21.4286
10	34	11187	29.4118
5	28	11187	17.8571
2	30	11187	6.66667
3	34	11187	8.82353
3	30	11187	10
0	25	11187	0
5	27	11187	18.5185
0	38	11187	0
1	29	11187	3.44828
1	36	11187	2.77778
0	26	11187	0
1	33	11187	3.0303
1	21	11187	4.7619
