obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	136	19485	0.735294
4	140	19485	2.85714
10	153	19485	6.53595
5	139	19483	3.59712
8	164	19480	4.87805
3	130	19480	2.30769
1	152	19480	0.657895
3	141	19480	2.12766
6	130	19479	4.61538
1	121	19479	0.826446
0	126	19478	0
5	142	19478	3.52113
3	126	19478	2.38095
1	121	19477	0.826446
1	128	19477	0.78125
6	121	19479	4.95868
2	139	19479	1.43885
2	110	19479	1.81818
3	120	19479	2.5
1	163	19479	0.613497
2	135	19479	1.48148
7	143	19479	4.8951
1	122	19480	0.819672
5	160	19480	3.125
2	146	19481	1.36986
2	143	19481	1.3986
3	133	19481	2.25564
1	109	19477	0.917431
2	125	19477	1.6
6	145	19476	4.13793
2	158	19475	1.26582
9	137	19475	6.56934
1	135	19473	0.740741
6	113	19473	5.30973
0	129	19473	0
1	161	19473	0.621118
3	119	19473	2.52101
12	153	19472	7.84314
4	168	19470	2.38095
6	157	19469	3.82166
4	112	19468	3.57143
7	158	19469	4.43038
1	122	19468	0.819672
0	123	19468	0
7	144	19465	4.86111
7	148	19462	4.72973
3	128	19462	2.34375
5	174	19463	2.87356
0	161	19463	0
5	161	19462	3.10559
1	142	19460	0.704225
6	143	19457	4.1958
1	130	19458	0.769231
3	131	19457	2.29008
7	165	19457	4.24242
3	150	19456	2
2	131	19455	1.52672
3	145	19453	2.06897
4	102	19453	3.92157
2	163	19450	1.22699
0	134	19449	0
7	140	19448	5
3	132	19446	2.27273
3	129	19443	2.32558
0	155	19441	0
5	146	19440	3.42466
4	156	19438	2.5641
3	154	19436	1.94805
1	130	19436	0.769231
2	145	19435	1.37931
5	136	19434	3.67647
1	125	19434	0.8
4	128	19431	3.125
2	149	19429	1.34228
2	143	19430	1.3986
2	140	19431	1.42857
2	159	19428	1.25786
0	150	19428	0
2	143	19428	1.3986
1	158	19426	0.632911
1	116	19424	0.862069
4	106	19424	3.77358
3	131	19424	2.29008
4	126	19423	3.1746
8	162	19422	4.93827
1	131	19420	0.763359
7	153	19412	4.57516
0	153	19413	0
0	174	19410	0
3	135	19409	2.22222
6	145	19410	4.13793
0	131	19408	0
5	130	19409	3.84615
3	145	19399	2.06897
2	151	19399	1.3245
1	141	19399	0.70922
5	147	19396	3.40136
0	131	19394	0
1	168	19392	0.595238
2	128	19391	1.5625
1	148	19381	0.675676
3	150	19382	2
3	103	19382	2.91262
3	130	19385	2.30769
1	144	19385	0.694444
1	134	19384	0.746269
4	125	19385	3.2
5	157	19380	3.18471
3	111	19375	2.7027
0	125	19375	0
4	117	19372	3.4188
9	164	19369	5.4878
0	122	19362	0
2	106	19361	1.88679
2	130	19360	1.53846
0	130	19352	0
4	146	19344	2.73973
1	134	19346	0.746269
2	162	19340	1.23457
7	148	19336	4.72973
2	143	19329	1.3986
2	136	19322	1.47059
2	138	19320	1.44928
1	116	19323	0.862069
4	173	19319	2.31214
5	136	19317	3.67647
6	163	19319	3.68098
1	131	19314	0.763359
2	173	19313	1.15607
2	167	19316	1.1976
2	132	19316	1.51515
1	141	19312	0.70922
3	161	19309	1.86335
10	156	19302	6.41026
4	142	19303	2.8169
8	137	19304	5.83942
1	127	19301	0.787402
3	163	19297	1.84049
3	177	19290	1.69492
3	126	19284	2.38095
2	169	19276	1.18343
0	127	19271	0
5	132	19252	3.78788
8	142	19251	5.6338
