obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	32	5585	0
0	52	5585	0
0	43	5585	0
0	36	5585	0
0	56	5585	0
0	31	5585	0
3	39	5585	7.69231
1	43	5585	2.32558
0	43	5585	0
0	28	5585	0
0	44	5585	0
0	42	5585	0
0	38	5585	0
0	33	5585	0
0	24	5585	0
1	49	5585	2.04082
0	46	5585	0
0	41	5584	0
0	47	5584	0
0	45	5584	0
0	41	5583	0
0	35	5583	0
0	33	5583	0
1	31	5582	3.22581
0	38	5582	0
0	39	5582	0
0	36	5582	0
0	40	5582	0
0	40	5582	0
0	32	5582	0
0	42	5582	0
0	33	5581	0
0	34	5581	0
1	24	5580	4.16667
0	32	5580	0
0	47	5580	0
0	34	5580	0
0	50	5580	0
0	52	5580	0
1	43	5580	2.32558
0	41	5580	0
0	33	5580	0
1	32	5580	3.125
0	39	5580	0
0	33	5580	0
0	47	5580	0
0	38	5580	0
0	39	5580	0
0	59	5580	0
0	55	5580	0
0	50	5580	0
0	45	5580	0
0	45	5580	0
0	28	5580	0
0	44	5580	0
0	42	5580	0
2	46	5580	4.34783
0	28	5580	0
0	44	5580	0
1	40	5580	2.5
0	43	5580	0
0	34	5580	0
0	27	5580	0
0	29	5580	0
0	42	5580	0
4	31	5580	12.9032
1	53	5579	1.88679
0	45	5577	0
0	41	5577	0
0	41	5577	0
0	43	5576	0
0	21	5576	0
0	29	5576	0
0	29	5576	0
0	41	5575	0
0	34	5575	0
1	47	5574	2.12766
0	54	5574	0
0	29	5571	0
2	57	5571	3.50877
1	31	5569	3.22581
2	31	5568	6.45161
0	35	5567	0
0	41	5566	0
0	49	5563	0
1	41	5563	2.43902
1	46	5559	2.17391
0	54	5558	0
0	45	5556	0
0	34	5556	0
1	45	5554	2.22222
0	27	5551	0
0	42	5542	0
0	34	5528	0
0	41	5519	0
0	28	5507	0
1	38	5502	2.63158
0	30	5489	0
0	31	5479	0
0	34	5465	0
0	35	5457	0
1	40	5453	2.5
0	40	5446	0
0	34	5441	0
0	30	5433	0
0	50	5422	0
2	35	5404	5.71429
1	33	5395	3.0303
0	29	5390	0
1	40	5387	2.5
0	42	5378	0
0	33	5369	0
2	34	5360	5.88235
1	49	5356	2.04082
0	37	5351	0
0	36	5350	0
0	29	5337	0
0	29	5332	0
0	43	5322	0
0	44	5315	0
0	50	5307	0
0	23	5298	0
0	31	5291	0
0	33	5288	0
0	30	5282	0
0	20	5279	0
0	32	5274	0
0	28	5273	0
1	43	5268	2.32558
1	35	5263	2.85714
2	26	5257	7.69231
0	23	5255	0
0	27	5251	0
0	39	5247	0
0	34	5241	0
0	42	5240	0
0	45	5237	0
0	36	5232	0
0	34	5228	0
0	41	5226	0
1	39	5218	2.5641
0	31	5218	0
0	28	5217	0
0	29	5215	0
1	30	5210	3.33333
0	21	5209	0
0	34	5205	0
1	43	5202	2.32558
0	21	5199	0
0	40	5163	0
0	34	5161	0
0	40	5159	0
0	23	5156	0
0	50	5156	0
0	25	5156	0
0	37	5154	0
0	47	5149	0
0	30	5149	0
0	33	5148	0
0	28	5144	0
1	33	5144	3.0303
3	42	5142	7.14286
0	29	5142	0
0	28	5141	0
0	44	5140	0
0	33	5140	0
0	31	5139	0
0	43	5138	0
0	39	5136	0
0	27	5135	0
0	29	5133	0
0	36	5131	0
2	26	5126	7.69231
0	39	5125	0
0	32	5123	0
0	36	5123	0
3	44	5114	6.81818
2	34	5113	5.88235
0	34	5112	0
1	38	5112	2.63158
0	35	5112	0
1	40	5112	2.5
0	36	5112	0
0	22	5112	0
0	21	5111	0
0	21	5111	0
0	34	5109	0
0	38	5106	0
0	42	5102	0
0	33	5099	0
0	32	5098	0
0	32	5095	0
0	30	5091	0
1	36	5091	2.77778
0	27	5091	0
0	51	5091	0
0	23	5088	0
0	32	5087	0
0	28	5086	0
0	54	5081	0
3	37	5079	8.10811
0	36	5075	0
0	33	5075	0
0	22	5074	0
0	31	5072	0
0	34	5072	0
2	51	5071	3.92157
0	38	5069	0
0	45	5067	0
0	27	5064	0
0	30	5058	0
0	35	5058	0
0	27	5055	0
0	44	5054	0
0	38	5054	0
0	28	5052	0
0	41	5049	0
0	27	5049	0
0	41	5049	0
0	39	5044	0
0	21	5044	0
0	20	5041	0
0	31	5041	0
0	16	5040	0
0	39	5037	0
0	34	5036	0
0	24	5034	0
0	27	5029	0
0	26	5029	0
0	43	5024	0
0	28	5022	0
0	26	5019	0
0	36	5017	0
0	37	5016	0
0	35	5014	0
0	33	5012	0
0	25	5011	0
0	36	5010	0
1	44	5009	2.27273
0	34	5008	0
0	22	5005	0
0	26	5004	0
0	36	5004	0
0	24	5003	0
0	38	5002	0
0	22	4999	0
1	19	4997	5.26316
0	22	4995	0
1	37	4993	2.7027
0	39	4990	0
0	29	4990	0
0	25	4987	0
0	27	4985	0
0	22	4984	0
0	30	4983	0
0	39	4980	0
0	25	4970	0
0	20	4966	0
0	36	4962	0
0	24	4955	0
0	35	4953	0
0	28	4951	0
0	34	4951	0
0	32	4949	0
0	26	4945	0
0	34	4945	0
1	30	4943	3.33333
0	47	4941	0
0	31	4939	0
0	40	4938	0
0	46	4938	0
0	42	4937	0
0	35	4935	0
0	35	4935	0
0	39	4935	0
0	34	4934	0
1	30	4934	3.33333
0	30	4934	0
1	33	4929	3.0303
0	35	4924	0
0	23	4922	0
0	31	4922	0
0	27	4918	0
0	41	4915	0
0	28	4914	0
0	30	4908	0
1	23	4903	4.34783
0	29	4898	0
0	40	4896	0
0	46	4896	0
0	31	4896	0
0	34	4896	0
1	29	4892	3.44828
0	41	4888	0
1	39	4887	2.5641
0	22	4885	0
0	35	4883	0
0	33	4881	0
0	34	4877	0
2	33	4869	6.06061
0	34	4865	0
0	31	4862	0
0	38	4862	0
1	25	4861	4
1	36	4860	2.77778
1	53	4860	1.88679
0	35	4858	0
0	29	4857	0
0	27	4857	0
0	29	4852	0
0	41	4850	0
0	33	4848	0
0	39	4843	0
0	36	4843	0
0	26	4842	0
0	31	4842	0
0	37	4842	0
0	36	4839	0
0	42	4838	0
0	34	4828	0
0	30	4827	0
0	25	4827	0
1	24	4827	4.16667
0	23	4827	0
0	33	4826	0
0	28	4825	0
0	29	4817	0
0	31	4816	0
1	29	4816	3.44828
0	32	4813	0
0	30	4812	0
0	27	4812	0
0	30	4812	0
0	24	4810	0
1	42	4810	2.38095
0	31	4809	0
0	24	4805	0
0	27	4804	0
0	33	4804	0
0	22	4794	0
0	20	4791	0
0	31	4791	0
0	24	4788	0
0	29	4788	0
1	53	4788	1.88679
0	41	4786	0
0	32	4784	0
0	25	4782	0
0	37	4781	0
0	26	4778	0
0	43	4778	0
0	35	4778	0
0	33	4778	0
0	37	4776	0
0	41	4774	0
0	24	4772	0
0	32	4771	0
0	22	4767	0
0	43	4767	0
0	45	4755	0
0	25	4753	0
2	29	4752	6.89655
0	22	4751	0
0	22	4749	0
0	38	4748	0
0	26	4745	0
0	26	4741	0
0	41	4739	0
0	27	4737	0
0	37	4734	0
0	26	4734	0
0	17	4734	0
0	17	4731	0
0	27	4726	0
0	35	4725	0
0	41	4725	0
0	19	4724	0
0	49	4722	0
0	33	4722	0
0	21	4719	0
0	23	4719	0
0	34	4718	0
0	33	4716	0
0	19	4715	0
0	14	4713	0
0	31	4711	0
0	33	4711	0
0	28	4708	0
1	30	4708	3.33333
0	32	4708	0
0	32	4708	0
0	17	4706	0
0	37	4704	0
0	31	4702	0
0	35	4701	0
0	28	4701	0
0	30	4700	0
0	28	4700	0
0	19	4699	0
0	25	4687	0
0	32	4682	0
0	24	4681	0
0	48	4680	0
0	31	4680	0
0	42	4680	0
0	30	4679	0
0	40	4678	0
1	26	4676	3.84615
0	36	4676	0
0	26	4676	0
0	43	4674	0
0	42	4674	0
0	35	4671	0
1	32	4667	3.125
0	33	4667	0
0	42	4666	0
0	30	4665	0
0	20	4664	0
0	38	4661	0
0	14	4657	0
0	32	4657	0
0	34	4656	0
0	27	4655	0
0	21	4655	0
0	32	4654	0
0	28	4652	0
0	33	4650	0
1	28	4650	3.57143
0	21	4650	0
0	43	4649	0
0	36	4648	0
0	42	4646	0
0	36	4646	0
0	39	4645	0
0	28	4644	0
0	26	4644	0
0	38	4642	0
0	31	4642	0
0	31	4640	0
0	38	4634	0
0	31	4631	0
0	31	4629	0
5	35	4629	14.2857
0	43	4627	0
0	38	4627	0
0	34	4626	0
0	35	4626	0
0	42	4626	0
0	45	4625	0
0	25	4622	0
0	41	4620	0
0	40	4619	0
0	36	4616	0
1	33	4614	3.0303
0	34	4613	0
0	39	4613	0
0	26	4610	0
0	48	4609	0
1	35	4603	2.85714
0	32	4601	0
0	16	4601	0
0	36	4599	0
2	36	4598	5.55556
0	25	4598	0
0	28	4594	0
0	49	4593	0
0	29	4593	0
0	40	4590	0
0	35	4589	0
0	38	4589	0
0	32	4589	0
0	31	4589	0
0	26	4589	0
0	34	4589	0
0	29	4589	0
1	24	4589	4.16667
0	43	4587	0
0	27	4587	0
1	24	4587	4.16667
0	27	4584	0
0	28	4584	0
0	23	4584	0
0	25	4584	0
0	38	4583	0
0	35	4583	0
0	26	4583	0
0	25	4583	0
0	23	4582	0
0	23	4582	0
0	41	4581	0
0	28	4578	0
0	36	4578	0
0	39	4578	0
0	31	4578	0
0	31	4578	0
0	20	4578	0
0	41	4574	0
0	37	4572	0
0	28	4571	0
0	26	4567	0
0	37	4566	0
0	36	4566	0
0	21	4565	0
0	21	4565	0
0	43	4565	0
0	43	4565	0
0	29	4564	0
0	32	4564	0
0	26	4563	0
0	22	4562	0
0	32	4559	0
1	31	4559	3.22581
0	38	4558	0
0	25	4556	0
0	33	4555	0
0	19	4555	0
0	35	4554	0
0	28	4553	0
1	31	4551	3.22581
0	24	4542	0
0	38	4542	0
0	56	4542	0
0	26	4542	0
1	27	4542	3.7037
0	25	4540	0
0	35	4540	0
0	33	4538	0
0	36	4537	0
0	31	4532	0
0	28	4532	0
0	24	4532	0
0	24	4530	0
0	32	4530	0
0	22	4529	0
0	15	4529	0
0	52	4529	0
1	25	4529	4
0	24	4529	0
0	30	4529	0
0	34	4520	0
0	30	4520	0
0	28	4520	0
0	42	4520	0
0	21	4520	0
0	34	4519	0
0	21	4519	0
0	34	4517	0
0	31	4517	0
0	33	4517	0
0	30	4515	0
0	44	4515	0
0	23	4515	0
0	26	4512	0
0	13	4512	0
0	26	4511	0
0	37	4510	0
0	26	4510	0
2	38	4509	5.26316
2	39	4509	5.12821
0	41	4505	0
0	36	4504	0
0	32	4504	0
0	41	4502	0
0	38	4502	0
0	30	4501	0
0	36	4500	0
0	43	4498	0
0	33	4498	0
1	34	4496	2.94118
0	32	4496	0
1	14	4496	7.14286
0	37	4496	0
0	19	4495	0
1	20	4495	5
0	27	4492	0
0	24	4492	0
0	32	4490	0
0	29	4490	0
0	20	4489	0
0	33	4489	0
0	31	4489	0
0	35	4489	0
0	37	4486	0
0	27	4486	0
0	30	4486	0
0	22	4486	0
0	15	4486	0
0	41	4485	0
1	29	4485	3.44828
0	25	4485	0
1	34	4484	2.94118
0	33	4484	0
0	39	4484	0
0	23	4483	0
0	37	4483	0
1	20	4483	5
0	30	4483	0
0	35	4483	0
0	37	4483	0
0	29	4480	0
3	37	4479	8.10811
0	19	4479	0
1	34	4477	2.94118
0	26	4477	0
0	21	4475	0
0	47	4475	0
0	31	4474	0
0	36	4472	0
0	22	4472	0
0	32	4471	0
0	24	4470	0
0	40	4469	0
0	31	4468	0
0	31	4468	0
0	30	4468	0
0	42	4468	0
0	35	4468	0
0	32	4468	0
0	33	4465	0
0	31	4462	0
0	25	4461	0
0	29	4461	0
0	36	4461	0
0	33	4460	0
0	19	4460	0
0	24	4460	0
0	30	4460	0
1	34	4460	2.94118
0	24	4460	0
0	35	4458	0
0	32	4458	0
0	34	4458	0
0	43	4457	0
0	22	4455	0
0	21	4455	0
1	50	4455	2
2	25	4454	8
0	22	4453	0
0	22	4453	0
0	23	4453	0
0	34	4453	0
0	50	4453	0
1	28	4453	3.57143
0	22	4453	0
0	23	4453	0
0	28	4453	0
0	25	4453	0
0	37	4453	0
0	31	4453	0
0	23	4451	0
1	26	4451	3.84615
0	39	4451	0
0	27	4451	0
0	21	4451	0
0	35	4450	0
0	36	4450	0
0	24	4450	0
1	25	4450	4
0	27	4450	0
0	38	4448	0
0	26	4447	0
0	33	4447	0
0	28	4445	0
0	35	4444	0
0	22	4443	0
0	31	4443	0
0	34	4443	0
0	29	4443	0
0	23	4443	0
0	18	4442	0
0	28	4442	0
2	33	4441	6.06061
0	19	4441	0
0	33	4439	0
0	32	4439	0
0	19	4438	0
0	34	4438	0
0	27	4438	0
0	26	4438	0
0	26	4437	0
0	30	4436	0
0	43	4436	0
0	43	4436	0
1	29	4435	3.44828
