obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	33	5585	0
0	38	5585	0
0	28	5585	0
0	32	5585	0
0	40	5585	0
0	44	5585	0
0	35	5585	0
0	25	5585	0
0	38	5585	0
0	37	5585	0
0	38	5585	0
0	31	5585	0
0	31	5585	0
0	32	5585	0
0	30	5585	0
0	27	5585	0
0	39	5585	0
0	34	5584	0
0	38	5584	0
0	32	5584	0
0	41	5583	0
0	34	5583	0
2	28	5583	7.14286
0	34	5582	0
0	31	5582	0
0	37	5582	0
1	43	5582	2.32558
0	29	5582	0
0	32	5582	0
2	33	5582	6.06061
2	36	5582	5.55556
0	40	5581	0
0	31	5581	0
0	18	5580	0
0	36	5580	0
0	45	5580	0
0	25	5580	0
1	39	5580	2.5641
0	39	5580	0
0	39	5580	0
0	34	5580	0
0	42	5580	0
2	25	5580	8
0	39	5580	0
1	26	5580	3.84615
1	30	5580	3.33333
0	41	5580	0
0	41	5580	0
0	31	5580	0
0	42	5580	0
0	38	5580	0
1	37	5580	2.7027
0	44	5580	0
0	30	5580	0
0	35	5580	0
0	32	5580	0
0	34	5580	0
0	35	5580	0
0	45	5580	0
0	39	5580	0
0	50	5580	0
0	45	5580	0
1	21	5580	4.7619
1	48	5580	2.08333
0	34	5580	0
0	41	5580	0
0	42	5579	0
0	47	5577	0
0	36	5577	0
1	33	5577	3.0303
0	42	5576	0
0	20	5576	0
1	37	5576	2.7027
0	32	5576	0
0	53	5575	0
0	38	5575	0
0	45	5574	0
0	35	5574	0
0	35	5571	0
2	32	5571	6.25
1	33	5569	3.0303
0	32	5568	0
0	32	5566	0
0	27	5565	0
0	38	5563	0
1	34	5563	2.94118
1	44	5560	2.27273
0	32	5559	0
0	36	5558	0
1	49	5558	2.04082
0	33	5556	0
1	31	5555	3.22581
0	44	5547	0
0	31	5536	0
0	34	5526	0
0	53	5514	0
0	41	5509	0
1	33	5503	3.0303
0	35	5492	0
0	33	5480	0
0	45	5472	0
0	29	5467	0
0	31	5457	0
0	36	5451	0
0	28	5446	0
0	49	5436	0
0	46	5418	0
0	46	5406	0
1	27	5402	3.7037
0	30	5395	0
0	43	5386	0
0	43	5377	0
0	34	5368	0
0	33	5364	0
0	41	5357	0
0	21	5356	0
0	35	5345	0
0	26	5339	0
0	42	5333	0
0	31	5328	0
0	40	5321	0
0	36	5311	0
0	29	5305	0
0	41	5302	0
0	33	5296	0
0	39	5293	0
0	44	5287	0
0	32	5286	0
1	39	5274	2.5641
0	33	5268	0
0	28	5265	0
0	29	5263	0
0	26	5259	0
0	36	5257	0
0	31	5252	0
1	43	5251	2.32558
0	48	5248	0
0	34	5243	0
0	43	5238	0
0	40	5236	0
0	29	5231	0
0	27	5231	0
0	31	5230	0
1	36	5228	2.77778
0	42	5227	0
0	25	5226	0
0	47	5222	0
1	38	5219	2.63158
0	43	5218	0
0	33	5176	0
0	24	5172	0
0	30	5170	0
0	34	5167	0
0	44	5167	0
0	30	5167	0
0	32	5164	0
0	40	5158	0
0	39	5158	0
0	33	5157	0
0	29	5153	0
1	40	5153	2.5
0	30	5147	0
0	30	5147	0
0	39	5146	0
0	44	5145	0
0	26	5145	0
0	30	5144	0
0	31	5143	0
0	37	5140	0
0	40	5139	0
0	35	5138	0
1	32	5134	3.125
0	35	5129	0
0	34	5128	0
1	32	5127	3.125
0	25	5127	0
0	37	5121	0
1	46	5120	2.17391
1	49	5118	2.04082
0	29	5118	0
1	31	5118	3.22581
0	40	5118	0
0	25	5118	0
0	27	5118	0
0	27	5117	0
0	33	5117	0
0	30	5115	0
0	44	5113	0
0	32	5109	0
0	26	5105	0
1	25	5104	4
0	31	5101	0
1	47	5099	2.12766
2	30	5099	6.66667
0	36	5099	0
0	28	5099	0
0	31	5095	0
0	31	5093	0
0	27	5092	0
1	39	5087	2.5641
0	37	5084	0
0	37	5082	0
1	17	5082	5.88235
0	39	5081	0
0	40	5078	0
0	43	5078	0
0	32	5077	0
0	35	5074	0
0	34	5072	0
0	38	5069	0
0	35	5064	0
1	33	5064	3.0303
0	28	5060	0
0	22	5059	0
1	28	5059	3.57143
0	35	5057	0
0	33	5054	0
0	24	5054	0
0	33	5054	0
0	32	5047	0
0	36	5047	0
1	28	5045	3.57143
0	26	5045	0
0	34	5043	0
0	34	5039	0
0	34	5038	0
0	41	5034	0
0	22	5028	0
0	33	5028	0
0	31	5025	0
0	30	5023	0
1	26	5020	3.84615
0	40	5019	0
0	25	5017	0
0	43	5014	0
0	25	5012	0
0	39	5011	0
0	39	5010	0
0	31	5009	0
0	45	5008	0
0	39	5007	0
0	36	5006	0
0	29	5006	0
0	25	5005	0
0	43	5004	0
0	36	5001	0
0	38	4999	0
0	34	4997	0
0	20	4994	0
1	33	4989	3.0303
0	35	4989	0
0	32	4987	0
0	26	4986	0
0	37	4985	0
0	33	4984	0
0	35	4982	0
0	29	4974	0
0	29	4967	0
0	26	4963	0
0	29	4959	0
0	39	4957	0
0	35	4954	0
0	44	4954	0
0	38	4952	0
0	30	4948	0
0	39	4948	0
1	20	4945	5
0	35	4942	0
0	32	4940	0
0	32	4939	0
0	28	4939	0
0	34	4938	0
0	35	4936	0
0	23	4936	0
0	34	4936	0
0	41	4935	0
1	26	4935	3.84615
0	29	4935	0
0	29	4932	0
0	38	4925	0
0	41	4923	0
0	44	4923	0
0	27	4918	0
0	32	4916	0
1	22	4915	4.54545
1	31	4911	3.22581
0	32	4907	0
0	30	4904	0
1	46	4901	2.17391
0	46	4901	0
0	31	4901	0
0	53	4901	0
0	25	4896	0
0	30	4891	0
0	32	4890	0
0	31	4888	0
0	34	4885	0
0	35	4882	0
0	43	4880	0
0	32	4871	0
0	27	4867	0
0	39	4865	0
0	33	4865	0
2	25	4864	8
0	32	4862	0
1	38	4862	2.63158
0	31	4861	0
0	29	4860	0
0	28	4860	0
0	34	4856	0
0	35	4853	0
0	26	4851	0
0	35	4850	0
0	47	4850	0
0	34	4849	0
0	26	4849	0
0	34	4849	0
1	31	4846	3.22581
0	27	4845	0
0	34	4836	0
0	31	4835	0
0	36	4835	0
0	24	4835	0
0	23	4835	0
0	32	4834	0
0	35	4833	0
0	26	4827	0
0	32	4826	0
1	40	4826	2.5
0	28	4821	0
0	31	4820	0
0	36	4820	0
0	32	4820	0
0	29	4818	0
0	30	4818	0
1	37	4817	2.7027
0	22	4813	0
0	24	4812	0
0	35	4812	0
0	27	4801	0
0	21	4799	0
0	26	4799	0
0	24	4796	0
0	24	4796	0
0	28	4796	0
0	33	4793	0
1	27	4791	3.7037
0	26	4787	0
0	28	4786	0
0	29	4783	0
0	25	4783	0
0	15	4783	0
0	23	4783	0
0	35	4780	0
0	24	4777	0
0	34	4775	0
0	31	4774	0
0	31	4771	0
0	39	4771	0
0	25	4761	0
0	30	4759	0
0	23	4758	0
1	22	4757	4.54545
0	43	4756	0
0	25	4754	0
1	30	4750	3.33333
0	34	4745	0
1	35	4744	2.85714
0	35	4742	0
0	20	4738	0
0	33	4738	0
1	33	4738	3.0303
0	31	4735	0
0	25	4732	0
0	31	4730	0
0	24	4730	0
0	36	4728	0
0	26	4726	0
0	34	4726	0
0	26	4721	0
0	26	4721	0
0	31	4720	0
0	29	4718	0
0	28	4717	0
0	22	4715	0
0	28	4713	0
0	33	4713	0
0	30	4711	0
1	33	4711	3.0303
1	32	4711	3.125
0	28	4711	0
1	28	4710	3.57143
0	32	4709	0
0	32	4707	0
0	40	4706	0
0	36	4706	0
0	25	4705	0
0	30	4705	0
0	35	4702	0
0	22	4690	0
0	24	4681	0
0	32	4680	0
0	44	4678	0
0	36	4678	0
1	26	4678	3.84615
0	28	4677	0
0	32	4676	0
0	34	4675	0
0	27	4675	0
0	33	4675	0
0	32	4674	0
1	32	4674	3.125
0	24	4672	0
0	32	4669	0
2	30	4669	6.66667
0	35	4668	0
0	42	4667	0
0	35	4666	0
0	30	4664	0
0	21	4658	0
0	29	4658	0
0	24	4657	0
0	28	4656	0
0	38	4656	0
0	32	4655	0
0	34	4653	0
2	30	4652	6.66667
0	34	4652	0
0	35	4652	0
0	34	4651	0
0	32	4649	0
0	37	4648	0
0	25	4648	0
0	46	4646	0
0	20	4645	0
1	45	4645	2.22222
0	36	4643	0
0	39	4643	0
0	36	4642	0
0	30	4636	0
0	17	4631	0
0	43	4629	0
0	38	4629	0
0	29	4627	0
0	24	4627	0
1	28	4626	3.57143
0	30	4626	0
0	36	4626	0
0	27	4626	0
1	26	4623	3.84615
0	27	4619	0
0	32	4619	0
1	26	4616	3.84615
1	34	4614	2.94118
0	32	4611	0
0	27	4610	0
0	29	4608	0
0	32	4607	0
0	31	4604	0
0	34	4602	0
0	23	4602	0
1	41	4599	2.43902
0	28	4598	0
0	27	4598	0
0	23	4596	0
0	30	4595	0
0	35	4595	0
0	36	4591	0
0	32	4590	0
0	29	4590	0
0	30	4590	0
1	24	4590	4.16667
0	28	4590	0
0	26	4590	0
0	32	4590	0
0	32	4590	0
0	40	4589	0
0	39	4589	0
0	32	4589	0
0	21	4584	0
0	29	4584	0
0	26	4584	0
0	28	4584	0
0	30	4583	0
0	41	4583	0
0	28	4583	0
0	34	4583	0
0	28	4582	0
1	32	4582	3.125
0	35	4581	0
0	39	4579	0
0	22	4579	0
0	35	4579	0
0	35	4579	0
0	32	4579	0
0	30	4579	0
0	33	4577	0
0	37	4574	0
0	40	4573	0
0	28	4566	0
0	28	4565	0
0	38	4565	0
0	27	4564	0
0	23	4564	0
0	21	4564	0
0	30	4564	0
0	31	4563	0
1	29	4563	3.44828
0	43	4562	0
0	33	4561	0
0	43	4559	0
0	31	4559	0
0	28	4557	0
1	32	4553	3.125
0	33	4552	0
0	31	4552	0
0	36	4551	0
0	23	4550	0
0	39	4549	0
1	32	4541	3.125
0	41	4541	0
0	24	4541	0
0	35	4541	0
0	19	4541	0
