Motif	Number_mutations	Binary_mutations	Binary_Genic	Rep_Time	XPD	CTCF	DHS	POLR2A
chr1:91255-91594_-	0	0	0	61.54305	-0.713696	1.665951429	0	-0.4255686667
chr1:91263-91602_+	0	0	0	61.54305	-0.856848	1.665951429	0	-0.4255686667
chr1:91273-91612_+	0	0	0	61.54305	-0.856848	1.665951429	0	-0.4255686667
chr1:805141-805480_+	0	0	1	69.4573	0.6070625	3.53663	14.41192625	-1.614436429
chr1:839991-840330_+	0	0	0	71.8515	2.2979312	5.04195625	17.2419325	1.3507345
chr1:873459-873798_-	0	0	1	75.3853	1.024309167	3.482844286	3.384001429	-1.108293571
chr1:873516-873855_-	0	0	1	75.4421	0.5560751429	3.47955625	3.065815	-1.119694125
chr1:919530-919869_+	0	0	0	80.4477	1.695441667	4.17304125	7.3369925	-0.9430865
chr1:919540-919879_+	0	0	0	80.4477	1.695441667	4.17304125	7.3369925	-0.9430865
chr1:937243-937582_-	0	0	0	81.9807	1.107286667	4.54252125	12.17154875	2.47038375
chr1:950777-951116_+	0	0	0	82.9184	2.119951429	2.309505	4.0484475	0.0427415
chr1:999181-999520_-	0	0	1	84.45205	1.62618025	4.4833	7.49421375	0.5977184375
chr1:999189-999528_+	0	0	1	84.45205	1.62618025	4.4833	7.49421375	0.5977184375
chr1:999218-999557_-	0	0	1	84.45205	1.798989	4.42962375	7.53351875	0.5026096875
chr1:1057486-1057825_+	0	0	0	84.20765	0.9507214286	4.44976125	8.55546375	-0.06582378571
chr1:1225545-1225884_-	0	0	1	84.137	0.112326875	3.80897875	8.476849875	-0.334047075
chr1:1227235-1227574_-	0	0	1	84.145	-0.2219841	2.96690125	8.98782375	0.3322290875
chr1:1677509-1677848_-	0	0	0	82.0491	1.341436667	2.360204286	15.94673429	2.311904286
chr1:1727922-1728261_-	0	0	1	81.8171	1.941243471	1.35462545	1.811787714	0.4147393625
chr1:1728011-1728350_-	0	0	1	81.8171	2.403842	1.240142514	2.026407333	0.3215108167
chr1:1840405-1840744_-	0	0	0	82.60235	.	2.926185714	81.05135714	2.820882857
chr1:1875442-1875781_+	0	0	1	82.71735	0.164027	4.10730625	6.7080975	-0.5256491625
chr1:1976269-1976608_-	0	0	0	82.27485	0.8599856667	4.37578875	6.738051429	-0.413151
chr1:1977912-1978251_-	0	0	0	82.2679	0.948453	3.50559375	9.603605	0.290194725
chr1:2071202-2071541_-	0	0	1	82.07845	1.265511429	2.819941429	2.410725	-0.3698714143
chr1:2071405-2071744_-	0	0	1	82.07845	1.336109571	2.207567143	2.290937143	-0.498035
chr1:2105732-2106071_-	0	0	1	81.8871	0.762971525	3.2584275	4.462091429	-1.01980405
chr1:2126631-2126970_+	0	0	1	81.6653	1.435992912	4.38097125	14.98842	0.96540675
chr1:2242930-2243269_+	0	0	0	79.4275	0.783405125	2.256107	7.1535625	-0.4966538625
chr1:2243036-2243375_-	0	0	0	79.4275	0.6788581667	1.8698705	7.2976825	-0.5624666125
chr1:2313191-2313530_-	0	0	1	78.51115	1.566512625	4.58037125	10.66484375	0.1355288375
chr1:2345835-2346174_+	0	0	0	78.3965	1.577021429	4.0918575	14.67399375	0.05520535
chr1:2361512-2361851_+	0	0	1	78.4032	1.351361375	2.56439125	1.80804625	-0.6519212125
chr1:2479462-2479801_-	0	0	0	76.5201	0.4113006375	4.12754625	19.259615	1.352597
chr1:2486423-2486762_+	0	0	0	76.0653	0.8363792	2.326372125	5.25381125	-0.7496637143
chr1:2703200-2703539_-	0	0	1	52.1046	0.7403101333	3.544441429	8.786913333	-0.3971635
chr1:2703210-2703549_-	0	0	1	52.1046	0.7403101333	3.544441429	8.786913333	-0.3971635
chr1:2738569-2738908_+	0	0	0	51.9014	0.965411	2.82545	4.7821475	-0.6353225
chr1:2838606-2838945_-	0	0	0	55.1798	1.379392714	3.123392857	4.312352857	-1.5422732
chr1:2929055-2929394_+	0	0	0	58.6788	1.1115274	3.409014286	6.992594286	-0.1984386857
chr1:3236526-3236865_-	0	0	1	73.5965	0.3396136	3.511675	4.04844625	-0.05579025
chr1:3333690-3334029_-	0	0	1	72.7401	0.1616588333	0.9934171429	1.166057875	-0.8732432375
chr1:3333698-3334037_+	0	0	1	72.7401	0.1616588333	0.9934171429	1.166057875	-0.8732432375
chr1:3341270-3341609_-	1	1	1	72.6306	2.6966825	4.91466125	7.21908125	0.4031620375
chr1:3341359-3341698_+	0	0	1	72.6306	1.887386333	4.831045714	7.067474714	0.5502270429
chr1:3347841-3348180_+	0	0	1	72.5434	0.604071	0.5082527	1.6770275	-0.1434932714
chr1:3369698-3370037_+	1	1	0	72.324	1.0018036	4.68140875	10.4159225	-0.11736328
chr1:3370706-3371045_+	0	0	0	72.3173	1.44189	2.745931429	5.465311429	0.9439312857
chr1:3400438-3400777_-	0	0	0	72.2804	0.1622582125	4.157605	7.75624375	-0.0684561125
chr1:3407796-3408135_+	0	0	1	72.3227	1.735523625	4.78217125	17.3860575	-0.1482510875
chr1:3481791-3482130_-	0	0	1	73.6546	1.006136375	3.6793975	4.402195714	-0.5856638143
chr1:3481810-3482149_+	0	0	1	73.6546	1.083489	3.7661	4.646761667	-0.7574061167
chr1:3481813-3482152_+	0	0	1	73.6546	1.198734125	3.67156875	4.357274286	-0.7019069571
chr1:3531721-3532060_-	0	0	0	74.9003	1.36480525	2.83013	2.201098571	-0.5255352
chr1:3535584-3535923_-	0	0	0	74.9962	1.930877875	3.42393875	9.85252625	-0.1616010375
chr1:3537732-3538071_-	0	0	0	75.0439	0.8577455	3.22103625	2.738270625	-1.684122875
chr1:3612198-3612537_+	0	0	1	77.1681	1.342674571	3.393685	5.76478	-1.45188
chr1:3640984-3641323_-	0	0	1	78.7213	1.519782625	3.98879625	21.89305875	-0.772989375
chr1:3640992-3641331_+	0	0	1	78.7213	1.519782625	3.98879625	21.89305875	-0.772989375
chr1:3641071-3641410_+	0	0	1	78.7213	1.729432	3.76175	21.4082925	-0.7277254625
chr1:3718037-3718376_-	0	0	0	83.7275	0.28774975	3.19406875	1.2996956	-0.460603875
chr1:3827268-3827607_-	0	0	1	55.00755	2.293980625	3.6913675	6.5639925	-0.026252305
chr1:3827360-3827699_+	0	0	1	55.00755	2.542387143	3.865491429	7.172288571	0.06984808
chr1:4712557-4712896_-	0	0	0	34.6749	0.187502	3.415748571	7.037525143	0.2060304286
chr1:4712648-4712987_+	0	0	0	34.6749	0.470055625	3.47311625	7.27148475	0.2718122714
chr1:4838059-4838398_+	0	0	1	30.0531	2.098102857	-0.088968	0.9642904	-0.6435375571
chr1:4886155-4886494_-	0	0	0	29.1794	0.8123742857	2.532683286	1.512318714	-1.128863333
chr1:5346347-5346686_+	0	0	0	31.2224	1.718489625	0.5427035875	1.6246185	-0.6580788625
chr1:5569947-5570286_-	1	1	0	41.7688	0.85786875	4.12443375	6.74741	-1.439643625
chr1:5569955-5570294_+	1	1	0	41.7688	0.9624884286	4.12692	7.187254286	-1.378419857
chr1:5697260-5697599_-	0	0	1	45.2747	-0.7154764714	2.717394286	1.167931	0.07928261429
chr1:5697268-5697607_+	0	0	1	45.2747	-0.6448619125	2.50760625	1.113652	0.1101087875
chr1:5805869-5806208_-	0	0	0	55.3815	1.5364972	3.95644	4.48081125	-0.4511955
chr1:5805877-5806216_+	0	0	0	55.3815	1.5364972	3.95644	4.48081125	-0.4511955
chr1:5976061-5976400_-	0	0	1	68.8463	-1.066627714	3.711772857	1.287716	-0.3745348
chr1:6035246-6035585_-	0	0	1	72.1102	2.459146429	4.10522125	2.86928775	-0.1338192857
chr1:6101528-6101867_+	0	0	1	75.0719	0.59659625	2.219765125	3.7209025	0.326997875
chr1:6112999-6113338_+	0	0	1	75.5204	0.6449910625	2.70631	1.66392575	-0.1648763875
chr1:6231599-6231938_-	0	0	1	80.6934	1.351966125	-0.712585	2.0831805	-0.4761458
chr1:6245868-6246207_-	0	0	1	81.2355	-0.0299686875	1.382357375	2.214199	0.730998375
chr1:6265258-6265597_-	0	0	1	81.89325	0.3017876667	3.38423	13.11675143	0.1815345657
chr1:6265268-6265607_-	0	0	1	81.89325	0.72271575	3.22507625	11.6998875	0.282519245
chr1:6305114-6305453_-	0	0	1	82.8184	1.322045	4.82350375	12.9314575	-1.523741857
chr1:6306790-6307129_+	0	0	0	82.85	1.736383625	4.05135875	14.9360225	-0.0141399125
chr1:6403501-6403840_-	0	0	1	83.3698	1.613414857	4.449614286	6.753031429	-0.2864072857
chr1:6408010-6408349_+	0	0	1	83.3766	0.5957368583	3.770418571	8.295294286	-1.204303333
