obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	35	11079	2.85714
0	31	11078	0
4	34	11075	11.7647
0	33	11088	0
1	29	11087	3.44828
0	34	11087	0
1	31	11086	3.22581
0	25	11086	0
1	27	11082	3.7037
1	33	11074	3.0303
1	25	11137	4
2	32	11132	6.25
2	26	11129	7.69231
1	29	11127	3.44828
0	29	11121	0
0	31	11113	0
1	43	11111	2.32558
1	39	11109	2.5641
1	23	11106	4.34783
0	35	11103	0
2	34	11105	5.88235
0	32	11102	0
1	35	11098	2.85714
2	29	11092	6.89655
2	33	11090	6.06061
4	23	11088	17.3913
0	23	11088	0
1	34	11086	2.94118
0	32	11084	0
2	34	11084	5.88235
2	28	11082	7.14286
0	28	11081	0
2	30	11081	6.66667
2	37	11077	5.40541
2	22	11072	9.09091
2	32	11073	6.25
1	35	11075	2.85714
1	27	11079	3.7037
4	36	11078	11.1111
2	37	11077	5.40541
0	28	11071	0
3	25	11069	12
2	34	11069	5.88235
2	28	11068	7.14286
7	35	11072	20
2	20	11069	10
2	27	11069	7.40741
2	31	11067	6.45161
1	30	11068	3.33333
0	34	11071	0
1	21	11070	4.7619
1	32	11069	3.125
3	35	11068	8.57143
0	21	11075	0
1	30	11075	3.33333
3	33	11078	9.09091
1	16	11078	6.25
1	37	11079	2.7027
0	22	11082	0
3	20	11089	15
2	24	11094	8.33333
1	45	11096	2.22222
1	37	11101	2.7027
3	35	11105	8.57143
2	19	11106	10.5263
2	26	11108	7.69231
0	44	11110	0
0	33	11113	0
1	28	11115	3.57143
1	25	11119	4
1	35	11120	2.85714
0	13	11124	0
2	27	11125	7.40741
0	34	11131	0
0	28	11131	0
1	19	11136	5.26316
0	28	11135	0
2	40	11138	5
0	30	11142	0
1	23	11145	4.34783
1	26	11146	3.84615
0	26	11147	0
1	40	11150	2.5
2	38	11152	5.26316
1	30	11152	3.33333
0	28	11155	0
0	20	11156	0
0	33	11160	0
0	28	11164	0
0	31	11170	0
0	24	11170	0
0	24	11170	0
0	27	11171	0
0	33	11172	0
0	19	11173	0
0	25	11173	0
2	28	11174	7.14286
0	22	11175	0
1	29	11175	3.44828
1	24	11177	4.16667
0	31	11177	0
0	30	11178	0
2	26	11179	7.69231
1	36	11182	2.77778
0	32	11183	0
0	27	11183	0
0	28	11183	0
1	37	11184	2.7027
0	25	11185	0
2	28	11185	7.14286
0	34	11186	0
1	26	11186	3.84615
0	30	11186	0
1	26	11187	3.84615
0	26	11187	0
2	32	11187	6.25
0	22	11187	0
0	39	11188	0
1	32	11189	3.125
0	23	11189	0
0	30	11189	0
1	29	11190	3.44828
0	34	11190	0
0	34	11191	0
0	33	11192	0
0	24	11192	0
0	26	11192	0
1	36	11192	2.77778
0	32	11192	0
0	29	11192	0
0	13	11192	0
1	35	11192	2.85714
0	38	11193	0
0	31	11193	0
1	26	11193	3.84615
0	26	11193	0
1	34	11193	2.94118
0	32	11193	0
0	31	11193	0
0	29	11193	0
0	45	11194	0
0	19	11194	0
0	23	11194	0
0	38	11194	0
0	41	11194	0
1	23	11194	4.34783
0	24	11194	0
2	35	11194	5.71429
0	23	11194	0
1	21	11194	4.7619
0	33	11194	0
0	34	11194	0
1	22	11194	4.54545
1	33	11194	3.0303
0	25	11194	0
0	28	11194	0
1	28	11194	3.57143
0	29	11194	0
1	32	11194	3.125
0	36	11194	0
0	22	11194	0
0	27	11194	0
2	21	11193	9.52381
0	31	11194	0
0	39	11194	0
0	27	11194	0
0	26	11194	0
0	28	11194	0
0	30	11194	0
0	31	11194	0
0	34	11194	0
0	30	11194	0
0	31	11194	0
0	26	11194	0
0	31	11194	0
0	37	11194	0
0	25	11194	0
1	29	11194	3.44828
0	35	11194	0
0	32	11194	0
1	40	11194	2.5
0	34	11194	0
0	34	11194	0
0	22	11194	0
1	33	11194	3.0303
0	19	11194	0
0	28	11194	0
1	23	11194	4.34783
0	29	11194	0
1	24	11194	4.16667
2	32	11194	6.25
1	31	11194	3.22581
2	32	11194	6.25
0	30	11194	0
0	32	11194	0
1	21	11194	4.7619
0	27	11194	0
1	26	11194	3.84615
0	29	11194	0
1	23	11194	4.34783
0	25	11194	0
1	25	11194	4
1	41	11194	2.43902
1	21	11194	4.7619
0	28	11194	0
0	32	11194	0
0	36	11194	0
0	29	11194	0
0	29	11194	0
0	27	11194	0
1	29	11194	3.44828
0	30	11194	0
2	35	11194	5.71429
2	21	11194	9.52381
1	35	11194	2.85714
2	30	11194	6.66667
1	31	11194	3.22581
0	39	11194	0
0	31	11194	0
0	26	11193	0
0	31	11193	0
0	30	11193	0
0	28	11193	0
1	20	11193	5
1	24	11193	4.16667
0	23	11193	0
1	25	11193	4
2	27	11193	7.40741
0	29	11193	0
0	26	11193	0
2	36	11193	5.55556
2	32	11193	6.25
2	34	11191	5.88235
0	28	11191	0
1	30	11191	3.33333
0	36	11191	0
0	27	11191	0
0	30	11191	0
1	26	11191	3.84615
1	28	11191	3.57143
1	31	11191	3.22581
0	25	11190	0
0	25	11190	0
0	39	11190	0
0	24	11190	0
1	36	11190	2.77778
3	21	11190	14.2857
1	27	11190	3.7037
1	34	11190	2.94118
1	27	11190	3.7037
0	30	11190	0
1	28	11190	3.57143
