obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	71	11187	1.40845
0	112	11187	0
1	79	11187	1.26582
1	115	11187	0.869565
1	88	11187	1.13636
0	84	11187	0
2	68	11187	2.94118
0	97	11187	0
1	71	11187	1.40845
0	89	11187	0
2	52	11187	3.84615
1	28	11187	3.57143
0	67	11187	0
1	29	11187	3.44828
0	29	11187	0
2	191	11187	1.04712
0	8	11187	0
2	181	11187	1.10497
0	10	11187	0
0	17	11187	0
0	49	11187	0
1	42	11187	2.38095
1	87	11187	1.14943
0	37	11187	0
0	68	11187	0
1	58	11187	1.72414
4	88	11187	4.54545
2	105	11187	1.90476
1	70	11187	1.42857
2	73	11187	2.73973
0	73	11187	0
2	83	11187	2.40964
1	61	11187	1.63934
0	95	11187	0
2	70	11187	2.85714
2	101	11187	1.9802
1	82	11187	1.21951
1	69	11187	1.44928
1	85	11187	1.17647
