obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	45	19532	0
0	67	19532	0
0	57	19532	0
0	63	19531	0
2	57	19530	3.50877
1	61	19530	1.63934
0	62	19531	0
0	47	19531	0
2	65	19531	3.07692
0	72	19531	0
4	70	19530	5.71429
0	55	19530	0
0	58	19530	0
0	57	19529	0
0	49	19529	0
0	63	19531	0
1	57	19531	1.75439
2	59	19532	3.38983
2	57	19533	3.50877
0	69	19533	0
0	64	19533	0
0	49	19533	0
0	68	19534	0
1	58	19534	1.72414
1	49	19535	2.04082
0	67	19535	0
3	68	19535	4.41176
0	54	19533	0
1	63	19533	1.5873
3	51	19533	5.88235
0	52	19533	0
0	67	19532	0
1	49	19532	2.04082
1	82	19532	1.21951
0	73	19532	0
0	58	19532	0
2	68	19532	2.94118
1	62	19530	1.6129
2	51	19525	3.92157
1	69	19525	1.44928
3	60	19521	5
0	44	19522	0
0	62	19521	0
0	70	19521	0
0	57	19519	0
1	71	19518	1.40845
1	70	19518	1.42857
4	78	19516	5.12821
1	54	19516	1.85185
0	72	19515	0
0	52	19514	0
2	64	19511	3.125
0	54	19511	0
0	53	19510	0
0	72	19510	0
2	73	19508	2.73973
0	62	19507	0
1	58	19505	1.72414
0	73	19505	0
0	52	19502	0
0	66	19499	0
1	74	19496	1.35135
0	81	19494	0
0	51	19493	0
1	80	19491	1.25
1	58	19486	1.72414
0	63	19482	0
4	59	19473	6.77966
1	57	19474	1.75439
0	58	19472	0
0	63	19469	0
0	63	19469	0
0	48	19465	0
2	57	19463	3.50877
0	47	19465	0
1	58	19465	1.72414
0	57	19460	0
6	59	19460	10.1695
0	73	19460	0
1	59	19459	1.69492
2	38	19455	5.26316
0	77	19453	0
1	54	19452	1.85185
0	63	19451	0
1	63	19450	1.5873
5	54	19449	9.25926
3	43	19445	6.97674
0	71	19448	0
0	69	19446	0
1	57	19447	1.75439
0	84	19449	0
1	57	19445	1.75439
1	76	19445	1.31579
2	43	19439	4.65116
1	61	19439	1.63934
0	62	19440	0
1	60	19435	1.66667
2	60	19435	3.33333
0	61	19435	0
0	51	19433	0
1	64	19424	1.5625
0	76	19422	0
0	63	19419	0
1	66	19420	1.51515
0	58	19421	0
0	57	19419	0
0	65	19419	0
2	51	19418	3.92157
1	56	19415	1.78571
0	69	19407	0
0	53	19400	0
0	61	19400	0
2	73	19395	2.73973
0	63	19394	0
2	56	19393	3.57143
0	51	19391	0
0	60	19386	0
1	59	19388	1.69492
0	54	19381	0
0	44	19378	0
2	65	19376	3.07692
5	54	19368	9.25926
0	71	19366	0
0	56	19368	0
1	72	19365	1.38889
0	66	19360	0
1	57	19362	1.75439
0	62	19354	0
0	56	19348	0
1	63	19350	1.5873
2	55	19349	3.63636
0	45	19341	0
3	58	19340	5.17241
1	74	19333	1.35135
1	64	19332	1.5625
0	63	19334	0
0	58	19330	0
1	44	19326	2.27273
0	48	19318	0
0	50	19313	0
0	61	19313	0
1	60	19311	1.66667
0	60	19298	0
0	53	19297	0
1	61	19293	1.63934
2	45	19294	4.44444
0	47	19296	0
0	51	19290	0
2	66	19282	3.0303
1	69	18932	1.44928
1	68	18992	1.47059
1	67	18981	1.49254
1	70	18979	1.42857
0	67	18980	0
1	64	18979	1.5625
2	61	18972	3.27869
7	57	18971	12.2807
0	55	18969	0
1	56	18963	1.78571
0	44	18945	0
2	45	18940	4.44444
1	64	18937	1.5625
0	58	18939	0
1	53	18933	1.88679
3	43	18932	6.97674
0	50	18923	0
1	62	18924	1.6129
0	44	18919	0
0	46	18909	0
0	61	18908	0
0	60	18911	0
0	64	18904	0
2	53	18902	3.77358
1	57	18895	1.75439
3	55	18893	5.45455
0	49	18892	0
0	54	18887	0
1	61	18890	1.63934
1	50	18890	2
1	52	18878	1.92308
2	35	18873	5.71429
1	76	18871	1.31579
1	72	18854	1.38889
0	49	18850	0
0	64	18848	0
1	58	18844	1.72414
0	62	18848	0
0	51	18832	0
2	81	18828	2.46914
2	51	18819	3.92157
0	67	18818	0
2	50	18812	4
0	69	18805	0
0	59	18798	0
1	56	18787	1.78571
5	61	18780	8.19672
1	57	18775	1.75439
0	41	18764	0
0	47	18762	0
1	55	18741	1.81818
4	72	18734	5.55556
1	70	18730	1.42857
0	57	18722	0
1	64	18718	1.5625
0	53	18710	0
0	48	18706	0
0	46	18703	0
1	89	18694	1.1236
2	63	18693	3.1746
0	51	18684	0
0	56	18680	0
1	75	18678	1.33333
0	62	18675	0
0	58	18671	0
1	68	18671	1.47059
3	71	18667	4.22535
1	63	18665	1.5873
0	42	18657	0
0	65	18655	0
1	50	18613	2
2	54	18620	3.7037
0	60	18620	0
0	56	18615	0
0	66	18608	0
2	48	18599	4.16667
0	66	18601	0
0	53	18599	0
1	52	18599	1.92308
0	48	18586	0
1	57	18582	1.75439
0	46	18579	0
0	56	18569	0
2	49	18564	4.08163
