obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	46	5585	2.17391
0	48	5585	0
0	68	5585	0
1	53	5585	1.88679
1	38	5585	2.63158
0	34	5585	0
0	40	5585	0
2	53	5585	3.77358
1	30	5585	3.33333
0	45	5585	0
0	40	5585	0
0	48	5585	0
0	36	5585	0
0	39	5585	0
0	40	5585	0
1	54	5585	1.85185
2	37	5585	5.40541
0	45	5584	0
0	31	5584	0
0	46	5584	0
2	46	5583	4.34783
0	42	5583	0
1	37	5583	2.7027
0	50	5582	0
3	40	5582	7.5
2	40	5582	5
0	49	5582	0
0	31	5582	0
0	37	5582	0
0	36	5582	0
2	27	5582	7.40741
1	39	5581	2.5641
0	40	5581	0
6	47	5580	12.766
0	35	5580	0
0	36	5580	0
0	27	5580	0
0	57	5580	0
0	40	5580	0
2	38	5580	5.26316
2	62	5580	3.22581
3	39	5580	7.69231
0	39	5580	0
0	45	5580	0
0	35	5580	0
0	59	5580	0
0	32	5580	0
0	38	5580	0
0	27	5580	0
1	47	5580	2.12766
0	27	5580	0
5	40	5580	12.5
0	59	5580	0
0	44	5580	0
0	47	5580	0
1	33	5580	3.0303
0	40	5580	0
0	37	5580	0
0	59	5580	0
1	27	5580	3.7037
0	43	5580	0
0	41	5580	0
0	32	5580	0
0	42	5580	0
1	47	5580	2.12766
0	56	5580	0
1	30	5579	3.33333
2	31	5577	6.45161
1	50	5577	2
0	51	5577	0
0	58	5576	0
0	33	5576	0
0	59	5576	0
0	26	5576	0
0	44	5575	0
2	42	5575	4.7619
2	30	5574	6.66667
0	58	5574	0
0	32	5571	0
0	47	5571	0
0	30	5569	0
0	54	5568	0
0	53	5567	0
0	40	5566	0
0	35	5563	0
0	51	5563	0
0	42	5559	0
2	49	5558	4.08163
1	36	5556	2.77778
0	52	5556	0
0	40	5554	0
2	44	5551	4.54545
1	26	5542	3.84615
1	41	5528	2.43902
0	45	5519	0
0	40	5507	0
0	51	5502	0
0	51	5489	0
1	56	5479	1.78571
0	38	5465	0
0	47	5457	0
0	35	5453	0
0	41	5446	0
1	49	5441	2.04082
0	35	5433	0
0	40	5422	0
0	44	5404	0
0	65	5395	0
0	44	5390	0
1	44	5387	2.27273
0	52	5378	0
1	35	5369	2.85714
0	42	5360	0
0	32	5356	0
6	32	5351	18.75
0	39	5350	0
1	56	5337	1.78571
4	30	5332	13.3333
0	42	5322	0
0	36	5315	0
1	41	5307	2.43902
0	55	5298	0
0	37	5291	0
1	37	5288	2.7027
1	43	5282	2.32558
0	53	5279	0
1	40	5274	2.5
0	37	5273	0
0	41	5268	0
0	39	5263	0
1	46	5257	2.17391
0	53	5255	0
0	45	5251	0
1	27	5247	3.7037
0	38	5241	0
0	53	5240	0
0	39	5237	0
0	36	5232	0
0	45	5228	0
0	28	5226	0
0	49	5218	0
0	37	5218	0
0	29	5217	0
0	37	5215	0
1	31	5210	3.22581
0	45	5209	0
0	29	5205	0
0	32	5202	0
0	37	5199	0
0	51	5163	0
0	42	5161	0
1	26	5159	3.84615
1	35	5156	2.85714
2	43	5156	4.65116
0	39	5156	0
0	42	5154	0
0	36	5149	0
3	28	5149	10.7143
0	22	5148	0
0	43	5144	0
0	35	5144	0
0	40	5142	0
0	53	5142	0
0	32	5141	0
1	29	5140	3.44828
0	25	5140	0
0	46	5139	0
0	40	5138	0
0	47	5136	0
1	42	5135	2.38095
0	35	5133	0
0	38	5131	0
0	31	5126	0
0	40	5125	0
0	40	5123	0
0	59	5123	0
1	33	5114	3.0303
0	29	5113	0
0	36	5112	0
0	29	5112	0
0	42	5112	0
1	45	5112	2.22222
0	40	5112	0
0	43	5112	0
0	57	5111	0
0	37	5111	0
0	33	5109	0
0	30	5106	0
0	34	5102	0
2	40	5099	5
