obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	130	19532	0
1	155	19532	0.645161
2	142	19532	1.40845
0	140	19531	0
2	138	19530	1.44928
2	150	19530	1.33333
2	139	19531	1.43885
2	142	19531	1.40845
1	154	19531	0.649351
1	139	19531	0.719424
2	178	19530	1.1236
5	135	19530	3.7037
2	138	19530	1.44928
2	160	19529	1.25
2	114	19529	1.75439
4	162	19531	2.46914
1	151	19531	0.662252
2	148	19532	1.35135
3	158	19533	1.89873
1	164	19533	0.609756
1	134	19533	0.746269
4	131	19533	3.05344
1	152	19534	0.657895
1	164	19534	0.609756
0	139	19535	0
2	142	19535	1.40845
2	155	19535	1.29032
2	130	19533	1.53846
1	124	19533	0.806452
1	155	19533	0.645161
0	162	19533	0
5	145	19532	3.44828
3	155	19532	1.93548
4	123	19532	3.25203
1	130	19532	0.769231
2	159	19532	1.25786
2	135	19532	1.48148
12	170	19530	7.05882
1	183	19525	0.546448
0	177	19525	0
2	135	19521	1.48148
0	138	19522	0
2	133	19521	1.50376
3	135	19521	2.22222
1	126	19519	0.793651
5	146	19518	3.42466
1	167	19518	0.598802
1	143	19516	0.699301
2	158	19516	1.26582
1	140	19515	0.714286
0	132	19514	0
3	136	19511	2.20588
1	138	19511	0.724638
3	134	19510	2.23881
3	120	19510	2.5
3	160	19508	1.875
1	127	19507	0.787402
2	124	19505	1.6129
3	122	19505	2.45902
2	171	19502	1.16959
1	128	19499	0.78125
1	166	19496	0.60241
2	132	19494	1.51515
3	117	19493	2.5641
0	134	19491	0
2	155	19486	1.29032
4	137	19482	2.91971
0	163	19473	0
1	130	19474	0.769231
1	152	19472	0.657895
2	122	19469	1.63934
1	140	19469	0.714286
1	150	19465	0.666667
3	147	19463	2.04082
4	127	19465	3.14961
2	164	19465	1.21951
2	151	19460	1.3245
0	168	19460	0
4	159	19460	2.51572
2	144	19459	1.38889
4	133	19455	3.00752
1	129	19453	0.775194
2	140	19452	1.42857
0	144	19451	0
1	167	19450	0.598802
2	129	19449	1.55039
7	134	19445	5.22388
0	136	19448	0
2	153	19446	1.30719
1	131	19447	0.763359
3	135	19449	2.22222
1	171	19445	0.584795
2	128	19445	1.5625
1	156	19439	0.641026
2	153	19439	1.30719
3	122	19440	2.45902
2	144	19435	1.38889
1	125	19435	0.8
1	166	19435	0.60241
1	158	19433	0.632911
1	126	19424	0.793651
4	133	19422	3.00752
2	111	19419	1.8018
3	153	19420	1.96078
1	145	19421	0.689655
1	160	19419	0.625
1	144	19419	0.694444
1	143	19418	0.699301
3	120	19415	2.5
0	138	19407	0
4	154	19400	2.5974
1	151	19400	0.662252
2	136	19395	1.47059
2	108	19394	1.85185
2	118	19393	1.69492
1	142	19391	0.704225
2	138	19386	1.44928
5	144	19388	3.47222
0	155	19381	0
1	136	19378	0.735294
2	148	19376	1.35135
1	147	19368	0.680272
5	126	19366	3.96825
1	138	19368	0.724638
3	194	19365	1.54639
5	107	19360	4.6729
1	168	19362	0.595238
2	137	19354	1.45985
4	136	19348	2.94118
3	133	19350	2.25564
1	143	19349	0.699301
2	132	19341	1.51515
3	152	19340	1.97368
4	155	19333	2.58065
0	144	19332	0
1	138	19334	0.724638
0	118	19330	0
4	173	19326	2.31214
3	166	19318	1.80723
0	127	19313	0
1	145	19313	0.689655
0	123	19311	0
9	118	19298	7.62712
2	150	19297	1.33333
2	150	19293	1.33333
2	152	19294	1.31579
0	146	19296	0
0	158	19290	0
5	157	19282	3.18471
1	126	18932	0.793651
5	144	18992	3.47222
1	155	18981	0.645161
2	152	18979	1.31579
1	168	18980	0.595238
2	143	18979	1.3986
0	135	18972	0
1	145	18971	0.689655
3	138	18969	2.17391
0	142	18963	0
7	144	18945	4.86111
3	151	18940	1.98675
1	133	18937	0.75188
2	144	18939	1.38889
1	140	18933	0.714286
1	125	18932	0.8
2	140	18923	1.42857
0	131	18924	0
2	140	18919	1.42857
2	123	18909	1.62602
1	131	18908	0.763359
1	140	18911	0.714286
3	156	18904	1.92308
0	163	18902	0
0	139	18895	0
1	148	18893	0.675676
0	121	18892	0
0	136	18887	0
4	148	18890	2.7027
0	115	18890	0
3	122	18878	2.45902
1	137	18873	0.729927
2	150	18871	1.33333
1	110	18854	0.909091
5	138	18850	3.62319
3	149	18848	2.01342
7	153	18844	4.57516
2	116	18848	1.72414
2	116	18832	1.72414
2	128	18828	1.5625
0	130	18819	0
0	126	18818	0
1	140	18812	0.714286
3	128	18805	2.34375
0	129	18798	0
3	136	18787	2.20588
1	123	18780	0.813008
4	136	18775	2.94118
1	130	18764	0.769231
3	145	18762	2.06897
2	155	18741	1.29032
2	133	18734	1.50376
1	165	18730	0.606061
0	153	18722	0
0	126	18718	0
1	127	18710	0.787402
1	156	18706	0.641026
2	126	18703	1.5873
1	151	18694	0.662252
0	144	18693	0
1	154	18684	0.649351
3	129	18680	2.32558
2	128	18678	1.5625
3	134	18675	2.23881
0	131	18671	0
3	146	18671	2.05479
1	170	18667	0.588235
0	170	18665	0
0	115	18657	0
3	141	18655	2.12766
1	110	18613	0.909091
2	143	18620	1.3986
2	162	18620	1.23457
