obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	7	5585	0
0	13	5585	0
0	13	5585	0
0	11	5585	0
0	8	5585	0
0	5	5585	0
0	9	5585	0
0	8	5585	0
0	16	5585	0
0	7	5585	0
1	11	5585	9.09091
0	13	5585	0
0	10	5585	0
1	5	5585	20
0	5	5585	0
0	7	5585	0
0	9	5585	0
0	10	5584	0
0	8	5584	0
0	10	5584	0
0	13	5583	0
0	7	5583	0
0	12	5583	0
0	6	5582	0
0	10	5582	0
0	8	5582	0
0	14	5582	0
1	12	5582	8.33333
0	9	5582	0
1	1	5582	100
0	10	5582	0
0	11	5581	0
0	6	5581	0
0	6	5580	0
0	16	5580	0
0	16	5580	0
0	6	5580	0
0	16	5580	0
0	8	5580	0
0	11	5580	0
0	13	5580	0
0	9	5580	0
0	7	5580	0
0	8	5580	0
0	10	5580	0
0	9	5580	0
0	12	5580	0
0	5	5580	0
0	10	5580	0
0	10	5580	0
0	8	5580	0
0	7	5580	0
0	11	5580	0
0	10	5580	0
0	11	5580	0
0	6	5580	0
0	12	5580	0
0	9	5580	0
0	5	5580	0
0	15	5580	0
0	15	5580	0
0	11	5580	0
0	3	5580	0
0	9	5580	0
0	11	5580	0
0	9	5580	0
1	9	5579	11.1111
1	12	5577	8.33333
0	7	5577	0
0	7	5577	0
0	10	5576	0
0	8	5576	0
0	7	5576	0
0	11	5576	0
0	8	5575	0
0	13	5575	0
0	16	5574	0
0	3	5574	0
0	6	5571	0
0	6	5571	0
0	6	5569	0
0	15	5568	0
0	12	5566	0
0	14	5565	0
1	9	5563	11.1111
0	10	5563	0
0	6	5560	0
0	13	5559	0
0	4	5558	0
0	15	5558	0
0	9	5556	0
0	6	5555	0
0	8	5547	0
0	8	5536	0
0	10	5526	0
0	11	5514	0
0	5	5509	0
1	6	5503	16.6667
0	3	5492	0
0	8	5480	0
0	4	5472	0
0	9	5467	0
0	9	5457	0
0	9	5451	0
0	8	5446	0
0	3	5436	0
0	11	5418	0
0	13	5406	0
1	3	5402	33.3333
0	6	5395	0
0	12	5386	0
0	13	5377	0
0	13	5368	0
1	7	5364	14.2857
0	6	5357	0
0	7	5356	0
0	6	5345	0
0	7	5339	0
0	20	5333	0
0	7	5328	0
1	9	5321	11.1111
0	10	5311	0
0	21	5305	0
0	8	5302	0
0	8	5296	0
1	8	5293	12.5
0	11	5287	0
0	10	5286	0
0	8	5274	0
