Bin	TCGA-BT-A3PJ	TCGA-DK-A1A7	TCGA-FD-A3N5	TCGA-FT-A3EE	pooled_low_WT	TCGA-BL-A13J	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-CF-A27C	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
chr1-4010001-5010000	0.847009	0.706215	1.01167	0.638298	1.22699	0.518135	1.97842	0.813008	1.52091	0.617284	2.18182	1.27011	1.4275	1.97802	1.42857	0.60423	0.571429	1.09409	1.23853
chr1-5010001-6010000	0.760043	1.27841	0.748503	0.686499	1.04644	1.10294	1.3181	0.606061	1.1889	1.39603	0.845666	0.885668	0.907716	0.398406	0.886918	1.17955	1.25523	1.30577	0.983607
chr1-6010001-7010000	1.30081	1.31926	0.722543	2.18341	0.873108	0.154799	0.733272	1.15385	0.58072	0.992908	1.42276	1.77994	0.553797	1.20724	0.594059	0.739827	0.196078	0.610376	1.1542
chr1-7010001-8010000	0.921409	1.8759	0.862069	0.705882	1.45662	1.3913	1.10092	0.652174	0.658762	1.15942	1.25224	0.632911	1.63424	0.808081	0.849257	1.43266	0.361664	0.652884	1.42857
chr1-8010001-9010000	1.53358	0.969529	1.24805	1.65877	0.828553	0.353982	0.973451	0.978474	1.64159	1.0989	0.756144	1.25104	1.01089	0.217391	0.189753	0.78329	0.583658	1.08814	0.840336
chr1-10010001-11010000	1.46262	1.45503	1.1782	0.904977	0.865266	0.176367	0.645756	0.207469	1.06509	2.9526	0.614754	0.869565	0.955414	0.932401	0.635593	0.554785	0.729927	1.31723	0.963745
chr1-11010001-12010000	0.789474	0.750939	1.00937	0.886918	0.882872	1.85185	0.858369	0.604839	0.98401	1.36298	0.984252	1.51515	0.775795	1.05932	0.585938	0.656168	0.393701	0.539957	0.610042
chr1-14010001-15010000	1.03317	2.18659	1.46223	0.907029	1.22034	0.371747	1.23566	0.21978	1.10193	1.31004	1.0661	0.970874	0.672269	0.238095	1.07066	1.13636	0.203252	1.63265	0.769231
chr1-15010001-16010000	1.08639	1.78817	1.10783	1.97802	0.849673	0.559701	0.525855	1.06383	1.32802	1.23547	1.14723	0.573301	1.10323	0.431034	0.197628	0.706215	1.17417	1.02389	1.4554
chr1-18010001-19010000	1.3677	0.544959	1.02564	1.44231	0.583279	0.559701	0.748752	0.210526	1.15681	1.21342	0.743494	0.573301	0.315209	0.646552	1.02881	1.55148	0.589391	1.1259	0.828729
chr1-19010001-20010000	1.18089	2.36842	0.230415	0.697674	0.849673	0.15873	1.34048	0.632911	0.641849	1.29125	1.33588	1.82421	1.08359	0.622407	1.72043	0.806452	0.441501	0.842993	0.614657
chr1-20010001-21010000	1.01118	1.80556	0.300978	1.0917	0.84088	0.353982	0.86881	0.819672	0.383142	1.54185	0	1.26183	0.644641	0.213675	1.04167	1.05402	0.75188	0.892857	1.01196
chr1-22010001-23010000	0.897098	0.990099	0.848765	0.44843	0.955414	0.761905	1.31234	0	1.1208	1.24451	0.77821	1.82685	0.538462	0.642398	1.23711	0.135501	0.378788	0.561167	0.763016
chr1-23010001-24010000	1.24324	1.82768	0.861394	1.37931	0.753769	0.382409	1.3369	0.404858	1.5444	1.66909	1.41129	0.726979	0.404531	0.212766	1.19048	0.956284	0.595238	0.770925	0.724288
chr1-24010001-25010000	0.912017	1.90217	0.448096	1.40845	0.754243	0.331126	0.258398	0.205761	0.889454	1.49254	0.403226	0.635425	0.574713	0	1.35135	0.703235	0.393701	0.63762	0.598527
chr1-30010001-31010000	0.789889	1.10041	1.08069	1.26582	0.679348	1.31827	1.30208	0.909091	1.09739	1.04089	0.643777	1.15702	0.895765	0.875274	1.35659	1.59652	1.41129	1.21681	0.686185
chr1-31010001-32010000	0.823271	1.09141	0.923077	0.692841	0.676133	0.345423	0.619469	0	1.40665	1.69231	0.961538	0.468384	1.36109	0.220264	0.606061	1.56919	0.440529	0.965665	0.694444
chr1-32010001-33010000	1.3971	0.568182	1.03935	1.34529	0.503145	0.690846	1.01382	0.207469	0.128041	0.956586	1.42857	0.624512	1.53846	0.215983	1.39165	1.13636	0.607287	3.21543	0.640439
