Bin	TCGA-BT-A3PJ	TCGA-DK-A1A7	TCGA-FD-A3N5	TCGA-FT-A3EE	pooled_low_WT	TCGA-BL-A13J	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A3IL	TCGA-GD-A2C5	TCGA-H4-A2HQ
chr1-4010001-5010000	1.21131	0.756144	1.1396	0.946372	1.44231	0.847458	2.17391	0.600601	1.38889	2.62295	1.15132	1.68067	0.590551	2.13415	1.14437
chr1-5010001-6010000	0.821918	1.13422	0.448029	1.00671	1.21177	1.15942	0.840336	0.980392	1.18694	0.993377	1.31579	0.515464	0.998336	0.60423	0.94583
chr1-6010001-7010000	1.27065	0.830565	0.875657	1.59744	0.641975	0.235294	0.251889	0.821918	0.457666	0.555556	0.505902	1.29199	0.758725	0.950119	1.18243
chr1-7010001-8010000	0.944669	1.49533	0.899281	0.689655	0.898045	1.09589	1.5873	0.31746	0.847458	0.57971	0.332779	0.789474	1.72745	0.569801	1.31471
chr1-8010001-9010000	1.43416	1.22164	1.16505	2.08333	0.493963	0.558659	1.0989	0.589971	1.42045	0.980392	0.528169	0.280112	0.493421	1.51976	0.510638
chr1-10010001-11010000	0.817439	1.35135	1.09489	0.651466	1.05614	0.293255	0.258398	0.314465	1.66271	0.293255	0.17301	0.906344	0.687285	1.12994	0.736498
chr1-11010001-12010000	1.30039	0.961538	1.14943	0.974026	0.720535	0.862069	0.78534	0.56338	0.992556	0.934579	0.340716	0.831025	0.665557	0.547945	0.601892
chr1-14010001-15010000	0.573066	2.46212	1.81452	0.684932	0.558313	0.306748	1.3587	0.359712	1.2987	0.328947	0.557621	0	1.0582	1.51057	0.728597
chr1-15010001-16010000	1.01911	1.88356	1.08303	1.28205	0.501952	0.611621	0.496278	0.331126	1.69492	0	0.865052	0.289855	0.711744	1.23839	1.04257
chr1-18010001-19010000	0.666667	0.347222	0.930233	1.05634	0.621469	0.302115	0.263852	0.332226	1.23077	0.675676	0.353357	0.872093	1.98198	0.560224	0.6639
chr1-19010001-20010000	1.17035	2.73504	0.28463	0.328947	0.895355	0.25	0.795756	0.958466	0.533333	1.76056	0.8726	0.268097	0.995025	0.271739	0.428449
chr1-20010001-21010000	1.37552	1.41343	0.28169	1.40351	0.679887	0.589971	0	0.920245	0	0.961538	0.728597	0.292398	0.818331	0.30303	0.510204
chr1-22010001-23010000	0.979021	0.713012	0.852273	0.346021	0.626632	0.890208	0.255754	0	0.263852	0.911854	0.308642	0.278552	0.173913	0.895522	0.485044
chr1-23010001-24010000	1.36612	1.99667	1.04962	1.3468	0.665188	0.319489	1.10803	0.285714	1.41643	0.613497	0.175747	0.296736	1.0327	0.874636	0.425894
chr1-24010001-25010000	1.15237	1.91638	0.472144	0.359712	0.656814	0.255754	0.512821	0	1.07817	0.334448	0.36036	0	0.702988	0	0.249584
chr1-30010001-31010000	0.672948	0.878735	0.917431	0.740741	0.8521	0.589971	1.0989	1.06762	1.5873	1.79856	0.754717	1.12994	1.32075	0.898204	0.769231
chr1-31010001-32010000	0.796813	1.26354	0.660377	0.949367	0.645161	0	0.791557	0	0.877193	0.30581	1.03627	0.28169	1.63636	0.280112	0.344234
chr1-32010001-33010000	1.11111	0.362976	1.19926	1.33333	0.414723	0.282486	0.793651	0.297619	0.273224	0.879765	0.688468	0.293255	1.25899	0.840336	0.411523
chr1-33010001-34010000	0.937082	1.14754	1.1811	0.613497	0.454804	0.257732	0.554017	0.625	1.04712	1.00334	0	0.58651	0.347826	0.302115	0.570497
chr1-34010001-35010000	1.14943	1.08303	1.322	0.940439	0.540541	0.852273	1.53374	0.662252	1.64474	1.2	1.09689	0	1.6	1.89274	1.1236
