Motif	Number_mutations	Binary_mutations	Binary_Genic	Rep_Time	XPD	CTCF	DHS	POLR2A
chr1:91255-91594_-	0	0	0	61.54305	-1.166261983	1.00666	0.0991762	0
chr1:91263-91602_+	0	0	0	61.54305	-1.0500487	0.964993	0.0991762	0
chr1:91273-91612_+	0	0	0	61.54305	-1.0500487	0.964993	0.0991762	0
chr1:805141-805480_+	0	0	1	69.4573	0.8973683875	4.31538	3.29804	0.0316798
chr1:839991-840330_+	0	0	0	71.8515	2.086743125	5.00897	8.35771	1.04027
chr1:873459-873798_-	0	0	1	75.3853	1.424461571	2.76101	2.66874	0.724955
chr1:873516-873855_-	0	0	1	75.4421	1.432771375	2.80821	2.71161	0.841012
chr1:919530-919869_+	0	0	0	80.4477	1.825996143	4.0582	3.60219	-0.0848472
chr1:919540-919879_+	0	0	0	80.4477	1.825996143	4.0582	3.60219	-0.0848472
chr1:937243-937582_-	0	0	0	81.9807	2.015058125	4.84579	7.83875	2.35074
chr1:950777-951116_+	0	0	0	82.9184	1.050836375	2.05331	1.70119	0.680266
chr1:999181-999520_-	0	0	1	84.45205	2.030557714	4.52082	2.95197	0.856861
chr1:999189-999528_+	0	0	1	84.45205	2.030557714	4.52082	2.95197	0.856861
chr1:999218-999557_-	0	0	1	84.45205	2.048103	4.47339	3.16398	0.943305
chr1:1057486-1057825_+	0	0	0	84.20765	1.032528625	4.88688	7.55813	1.5631
chr1:1225545-1225884_-	0	0	1	84.137	1.012069712	3.65769	1.82674	0.485061
chr1:1227235-1227574_-	0	0	1	84.145	1.077714625	3.88264	7.21615	1.08929
chr1:1677509-1677848_-	0	0	0	82.0491	1.321102143	2.08315	3.88238	2.9582
chr1:1727922-1728261_-	0	0	1	81.8171	0.516505125	1.31003	0.704333	0.573847
chr1:1728011-1728350_-	0	0	1	81.8171	0.9005444286	1.46991	0.783029	0.585385
chr1:1840405-1840744_-	0	0	0	82.60235	2.156096143	4.61137	16.6233	3.50303
chr1:1875442-1875781_+	0	0	1	82.71735	0.659046625	4.43953	2.83671	1.05922
chr1:1976269-1976608_-	0	0	0	82.27485	0.9135565	4.74799	5.15222	0.794522
chr1:1977912-1978251_-	0	0	0	82.2679	1.550500429	2.70068	4.51443	0.935467
chr1:2071202-2071541_-	0	0	1	82.07845	1.437180857	3.12686	1.78053	0.727117
chr1:2071405-2071744_-	0	0	1	82.07845	1.277736643	2.60865	2.24126	0.856542
chr1:2105732-2106071_-	0	0	1	81.8871	1.0939805	4.7553	5.15239	1.48651
chr1:2126631-2126970_+	0	0	1	81.6653	1.13966025	4.91018	12.2525	2.29301
chr1:2242930-2243269_+	0	0	0	79.4275	1.030633625	3.5803	5.3841	1.60759
chr1:2243036-2243375_-	0	0	0	79.4275	0.754743925	3.07133	5.36115	1.47836
chr1:2313191-2313530_-	0	0	1	78.51115	0.571553625	5.19799	5.59228	1.98521
chr1:2345835-2346174_+	0	0	0	78.3965	1.7317025	4.50991	6.86902	0.809766
chr1:2361512-2361851_+	0	0	1	78.4032	1.427103375	1.06991	0.79987	0.494484
chr1:2479462-2479801_-	0	0	0	76.5201	1.166176875	4.79663	9.83326	2.13094
chr1:2486423-2486762_+	0	0	0	76.0653	0.69946605	2.08594	2.72555	1.47653
chr1:2703200-2703539_-	1	1	1	52.1046	0.7468707143	3.51464	2.32705	0.172351
chr1:2703210-2703549_-	1	1	1	52.1046	0.7468707143	3.51464	2.32705	0.172351
chr1:2738569-2738908_+	0	0	0	51.9014	1.530079375	3.45291	2.12235	0.40882
chr1:2838606-2838945_-	0	0	0	55.1798	2.078604286	3.37636	1.11933	0.646206
chr1:2929055-2929394_+	0	0	0	58.6788	2.031649667	4.3797	5.38473	-0.164587
chr1:3236526-3236865_-	0	0	1	73.5965	0.864680125	3.54162	7.44874	0.695659
chr1:3333690-3334029_-	0	0	1	72.7401	0.1152049	0.973281	1.66798	0.466396
chr1:3333698-3334037_+	0	0	1	72.7401	0.1152049	0.973281	1.66798	0.466396
chr1:3341270-3341609_-	0	0	1	72.6306	1.61876625	4.75843	6.4591	0.95677
chr1:3341359-3341698_+	0	0	1	72.6306	1.70253	4.51548	6.00324	0.869897
chr1:3347841-3348180_+	1	1	1	72.5434	0.1123337143	1.37312	0.587981	0.229787
chr1:3369698-3370037_+	0	0	0	72.324	1.714907625	4.37063	5.48418	0.711934
chr1:3370706-3371045_+	0	0	0	72.3173	1.178612143	2.77412	6.96562	0.505399
chr1:3400438-3400777_-	0	0	0	72.2804	0.8024243429	3.68741	3.02431	0.749911
chr1:3407796-3408135_+	0	0	1	72.3227	0.3917034625	4.61821	5.31416	0.570227
chr1:3481791-3482130_-	0	0	1	73.6546	0.7486539625	3.8093	2.92285	0.361128
chr1:3481810-3482149_+	0	0	1	73.6546	0.8574235714	3.94154	2.92766	0.249271
chr1:3481813-3482152_+	0	0	1	73.6546	0.940458125	3.77238	2.94225	0.180925
chr1:3531721-3532060_-	0	0	0	74.9003	1.082246	2.34778	2.05792	0.0760031
chr1:3535584-3535923_-	1	1	0	74.9962	0.8718755875	4.23664	9.43464	0.858292
chr1:3537732-3538071_-	0	0	0	75.0439	0.814132625	4.39624	1.87476	1.57061
chr1:3612198-3612537_+	0	0	1	77.1681	2.0813175	3.33118	2.46964	0.734287
chr1:3640984-3641323_-	0	0	1	78.7213	1.34511525	4.21389	4.94031	0.417468
chr1:3640992-3641331_+	0	0	1	78.7213	1.34511525	4.21389	4.94031	0.417468
chr1:3641071-3641410_+	0	0	1	78.7213	1.55410625	3.9616	5.12689	0.564612
chr1:3718037-3718376_-	0	0	0	83.7275	0.1430495875	3.69451	0.843293	0.270446
chr1:3827268-3827607_-	0	0	1	55.00755	1.106756	3.77149	3.99726	0.8861
chr1:3827360-3827699_+	0	0	1	55.00755	1.125311714	3.97102	4.56813	0.91129
chr1:4712557-4712896_-	0	0	0	34.6749	-0.2525431429	4.37821	2.55087	-0.232442
chr1:4712648-4712987_+	0	0	0	34.6749	0.167996375	4.45617	2.61745	-0.147865
chr1:4838059-4838398_+	0	0	1	30.0531	1.253545743	2.15473	1.57742	0.604174
chr1:4886155-4886494_-	0	0	0	29.1794	0.3661822857	1.53154	1.69843	0.416784
chr1:5346347-5346686_+	0	0	0	31.2224	1.254198	0.557931	0.492386	-0.343491
chr1:5569947-5570286_-	8	1	0	41.7688	1.219903125	4.66738	2.82168	0.634358
chr1:5569955-5570294_+	8	1	0	41.7688	1.223225	4.72437	2.93841	0.581154
chr1:5697260-5697599_-	0	0	1	45.2747	-0.9314417429	2.12749	0.838438	0.544684
chr1:5697268-5697607_+	0	0	1	45.2747	-1.020712775	2.09962	0.846489	0.511927
chr1:5805869-5806208_-	1	1	0	55.3815	2.47408625	4.96203	4.04018	1.36247
chr1:5805877-5806216_+	1	1	0	55.3815	2.47408625	4.96203	4.04018	1.36247
chr1:5976061-5976400_-	0	0	1	68.8463	-0.9246578571	3.33639	2.9352	0.226134
chr1:6035246-6035585_-	0	0	1	72.1102	1.280861871	2.84508	3.31554	0.454805
chr1:6101528-6101867_+	0	0	1	75.0719	1.1911095	2.2487	1.61994	0.577848
chr1:6112999-6113338_+	0	0	1	75.5204	0.1936358625	2.27341	2.46854	-0.13232
chr1:6231599-6231938_-	0	0	1	80.6934	1.3035325	1.21298	1.01696	1.14672
chr1:6245868-6246207_-	0	0	1	81.2355	0.5038396	2.45976	1.27784	0.20912
chr1:6265258-6265597_-	0	0	1	81.89325	1.459136143	4.31676	8.17822	1.05028
chr1:6265268-6265607_-	0	0	1	81.89325	1.579124125	4.15407	7.33611	0.987713
chr1:6305114-6305453_-	0	0	1	82.8184	1.773292125	4.49164	7.69452	0.687362
chr1:6306790-6307129_+	0	0	0	82.85	1.32162625	5.04152	8.40346	1.92504
chr1:6403501-6403840_-	0	0	1	83.3698	1.128744571	3.91552	13.2445	1.01058
chr1:6408010-6408349_+	0	0	1	83.3766	0.7601339857	3.39496	2.22619	0.537781
chr1:6423124-6423463_+	0	0	1	83.4074	0.597769	4.49911	1.97919	1.44493
chr1:6457088-6457427_-	0	0	0	83.5265	0.7074101571	-0.0576388	1.43307	-0.123826
chr1:6464733-6465072_-	0	0	0	83.5622	0.9205469	4.16646	4.95267	0.838068
chr1:6474381-6474720_-	0	0	1	83.6046	1.417715875	1.12239	2.48159	-0.0660724
chr1:6483521-6483860_+	0	0	1	83.644	1.199426375	2.61779	4.62261	0.951818
chr1:6498089-6498428_-	0	0	1	83.6912	0.526768625	4.52663	3.40905	1.15087
chr1:6535570-6535909_-	0	0	1	83.7052	1.55141675	3.81001	2.9244	0.589481
chr1:6546539-6546878_+	0	0	1	83.6663	1.5052165	4.11162	9.68227	0.731298
chr1:6549935-6550274_-	0	0	1	83.6515	1.53837125	4.03158	5.45134	0.883907
chr1:6583693-6584032_-	0	0	1	83.341	-0.05635875	2.731	2.15617	0.768467
chr1:6583702-6584041_+	0	0	1	83.341	-0.1444782857	2.96831	2.41336	0.877691
chr1:6614498-6614837_-	0	0	0	82.83805	2.007628125	4.96045	15.3158	2.67338
chr1:6694673-6695012_-	0	0	1	80.7604	0.956352	3.68847	3.03612	1.27869
chr1:6694787-6695126_-	0	0	1	80.7604	1.043134375	3.71281	2.8222	1.5045
chr1:6706586-6706925_-	0	0	1	80.3707	0.76037925	4.09045	3.2467	1.12057
chr1:6780068-6780407_+	0	0	0	77.3757	-0.189511125	4.16227	4.10651	1.06666
chr1:6787636-6787975_-	0	0	0	76.9628	0.01578728571	3.80638	2.68596	0.842536
chr1:6854236-6854575_+	0	0	1	72.9024	-1.57465025	3.18622	2.2354	-0.0137203
chr1:6949957-6950296_-	0	0	1	66.4682	0.8699309167	4.11367	3.38335	0.476468
chr1:7102797-7103136_+	0	0	1	57.4086	0.133113	2.97664	2.30795	0.498197
chr1:7130473-7130812_-	0	0	1	55.86375	0.4814942625	3.77895	3.80388	0.731548
