obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	37	5585	0
0	46	5585	0
0	50	5585	0
0	44	5585	0
0	49	5585	0
0	51	5585	0
0	47	5585	0
1	36	5585	2.77778
0	39	5585	0
1	31	5585	3.22581
2	30	5585	6.66667
0	46	5585	0
0	45	5585	0
2	51	5585	3.92157
0	64	5585	0
0	39	5585	0
0	51	5585	0
1	45	5584	2.22222
0	35	5584	0
0	35	5584	0
0	44	5583	0
0	44	5583	0
1	42	5583	2.38095
0	37	5582	0
0	30	5582	0
2	52	5582	3.84615
0	34	5582	0
0	47	5582	0
0	49	5582	0
0	33	5582	0
1	49	5582	2.04082
0	42	5581	0
2	39	5581	5.12821
1	34	5580	2.94118
0	41	5580	0
0	39	5580	0
0	37	5580	0
1	24	5580	4.16667
0	50	5580	0
0	36	5580	0
2	51	5580	3.92157
0	36	5580	0
0	43	5580	0
1	38	5580	2.63158
1	46	5580	2.17391
1	43	5580	2.32558
0	35	5580	0
0	38	5580	0
0	39	5580	0
1	45	5580	2.22222
0	31	5580	0
2	49	5580	4.08163
0	45	5580	0
1	37	5580	2.7027
0	39	5580	0
1	45	5580	2.22222
0	53	5580	0
2	44	5580	4.54545
1	46	5580	2.17391
2	47	5580	4.25532
0	36	5580	0
1	37	5580	2.7027
0	39	5580	0
0	41	5580	0
0	37	5580	0
0	35	5580	0
0	51	5579	0
0	41	5577	0
0	30	5577	0
0	39	5577	0
0	43	5576	0
0	48	5576	0
0	57	5576	0
0	48	5576	0
1	38	5575	2.63158
0	35	5575	0
0	40	5574	0
0	60	5574	0
1	36	5571	2.77778
0	36	5571	0
1	38	5569	2.63158
0	55	5568	0
0	38	5566	0
1	35	5565	2.85714
0	41	5563	0
0	49	5563	0
1	53	5560	1.88679
0	55	5559	0
0	45	5558	0
1	30	5558	3.33333
0	48	5556	0
1	43	5555	2.32558
2	42	5547	4.7619
0	44	5536	0
0	47	5526	0
1	41	5514	2.43902
0	41	5509	0
1	52	5503	1.92308
3	41	5492	7.31707
0	43	5480	0
0	46	5472	0
0	44	5467	0
0	35	5457	0
0	46	5451	0
0	43	5446	0
0	45	5436	0
0	38	5418	0
0	55	5406	0
0	45	5402	0
1	27	5395	3.7037
0	39	5386	0
0	30	5377	0
1	31	5368	3.22581
0	43	5364	0
1	34	5357	2.94118
1	39	5356	2.5641
0	44	5345	0
1	29	5339	3.44828
1	29	5333	3.44828
0	30	5328	0
0	29	5321	0
0	39	5311	0
0	36	5305	0
0	41	5302	0
0	33	5296	0
0	41	5293	0
0	32	5287	0
3	37	5286	8.10811
0	31	5274	0
0	36	5268	0
0	42	5265	0
0	53	5263	0
2	45	5259	4.44444
0	40	5257	0
0	38	5252	0
0	40	5251	0
0	52	5248	0
0	45	5243	0
1	50	5238	2
0	40	5236	0
3	39	5231	7.69231
0	32	5231	0
1	44	5230	2.27273
1	42	5228	2.38095
0	30	5227	0
0	46	5226	0
0	40	5222	0
0	43	5219	0
0	42	5218	0
0	29	5176	0
0	38	5172	0
0	34	5170	0
0	31	5167	0
0	52	5167	0
3	41	5167	7.31707
0	36	5164	0
0	43	5158	0
0	29	5158	0
0	39	5157	0
0	44	5153	0
1	44	5153	2.27273
0	41	5147	0
0	42	5147	0
0	39	5146	0
0	42	5145	0
0	36	5145	0
0	40	5144	0
0	35	5143	0
2	41	5140	4.87805
1	32	5139	3.125
0	41	5138	0
0	41	5134	0
0	26	5129	0
0	51	5128	0
1	43	5127	2.32558
0	39	5127	0
0	51	5121	0
0	30	5120	0
0	45	5118	0
0	39	5118	0
0	46	5118	0
4	37	5118	10.8108
0	42	5118	0
1	36	5118	2.77778
1	48	5117	2.08333
0	34	5117	0
0	34	5115	0
1	31	5113	3.22581
1	34	5109	2.94118
1	40	5105	2.5
0	43	5104	0
2	39	5101	5.12821
0	36	5099	0
0	43	5099	0
0	45	5099	0
1	51	5099	1.96078
0	33	5095	0
0	45	5093	0
0	46	5092	0
1	51	5087	1.96078
1	38	5084	2.63158
1	49	5082	2.04082
1	41	5082	2.43902
1	35	5081	2.85714
1	47	5078	2.12766
0	39	5078	0
1	41	5077	2.43902
0	29	5074	0
0	37	5072	0
0	43	5069	0
2	35	5064	5.71429
0	33	5064	0
1	50	5060	2
0	40	5059	0
0	27	5059	0
2	49	5057	4.08163
0	32	5054	0
2	33	5054	6.06061
0	42	5054	0
0	37	5047	0
1	42	5047	2.38095
0	39	5045	0
1	28	5045	3.57143
0	39	5043	0
1	49	5039	2.04082
1	35	5038	2.85714
0	41	5034	0
0	36	5028	0
1	33	5028	3.0303
2	32	5025	6.25
0	34	5023	0
0	25	5020	0
0	31	5019	0
0	32	5017	0
1	46	5014	2.17391
0	35	5012	0
0	37	5011	0
0	49	5010	0
0	33	5009	0
0	43	5008	0
0	44	5007	0
1	46	5006	2.17391
0	27	5006	0
0	38	5005	0
0	30	5004	0
0	35	5001	0
0	30	4999	0
0	41	4997	0
5	35	4994	14.2857
1	26	4989	3.84615
1	29	4989	3.44828
1	44	4987	2.27273
0	25	4986	0
3	41	4985	7.31707
1	44	4984	2.27273
0	42	4982	0
0	37	4974	0
0	39	4967	0
0	37	4963	0
1	38	4959	2.63158
0	37	4957	0
0	44	4954	0
0	29	4954	0
0	39	4952	0
1	40	4948	2.5
2	29	4948	6.89655
0	33	4945	0
0	44	4942	0
0	39	4940	0
0	35	4939	0
0	35	4939	0
2	40	4938	5
0	48	4936	0
2	29	4936	6.89655
2	40	4936	5
0	43	4935	0
0	45	4935	0
0	45	4935	0
1	37	4932	2.7027
1	41	4925	2.43902
0	35	4923	0
1	30	4923	3.33333
2	52	4918	3.84615
2	26	4916	7.69231
0	41	4915	0
0	31	4911	0
0	54	4907	0
2	40	4904	5
1	34	4901	2.94118
1	43	4901	2.32558
0	28	4901	0
0	45	4901	0
0	31	4896	0
0	31	4891	0
0	32	4890	0
0	33	4888	0
0	34	4885	0
1	38	4882	2.63158
0	35	4880	0
1	39	4871	2.5641
1	29	4867	3.44828
0	46	4865	0
0	35	4865	0
0	45	4864	0
0	44	4862	0
0	35	4862	0
1	33	4861	3.0303
0	41	4860	0
2	32	4860	6.25
0	38	4856	0
0	40	4853	0
0	42	4851	0
0	41	4850	0
0	40	4850	0
0	38	4849	0
0	43	4849	0
0	41	4849	0
0	37	4846	0
1	35	4845	2.85714
0	38	4836	0
1	37	4835	2.7027
0	32	4835	0
1	39	4835	2.5641
0	53	4835	0
0	40	4834	0
0	37	4833	0
0	31	4827	0
0	36	4826	0
0	31	4826	0
0	31	4821	0
1	41	4820	2.43902
1	33	4820	3.0303
0	35	4820	0
0	31	4818	0
0	35	4818	0
1	29	4817	3.44828
0	35	4813	0
0	38	4812	0
0	38	4812	0
